% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.021155843e+01 +8.021155843e+01 +1.209915584e+02 +1.209915584e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +7.819646529e+01 +7.819646529e+01 +1.189764653e+02 +1.189764653e+02 -2.8523e+00 -4.3356e-01 -1.8313e+00 -6.7903e+00 -1.6229e+00 +3.4715e+00 -6.3740e+00 +1.3283e+00 -6.7309e-01 +1.6595e-01 -1.7031e-01 -1.8764e+00 +3.6927e+00 -1.1245e-01 +9.7636e-01 -6.3355e-02 -9.6650e-01 +3.6676e-01 -6.8014e-02 -2.4983e+00
5 +7.756343441e+01 +7.756343441e+01 +1.183434344e+02 +1.183434344e+02 -2.6906e+00 -5.6233e-01 -1.6574e+00 -6.8540e+00 -1.4719e+00 +3.5959e+00 -6.4106e+00 +1.3261e+00 -5.0683e-01 +1.9814e-01 -4.2824e-01 -1.6703e+00 +3.7493e+00 -2.2342e-01 +1.2215e+00 -4.8687e-02 -9.2243e-01 +1.8292e-01 -2.8099e-01 -2.7788e+00
50 +7.573078492e+01 +7.573078492e+01 +1.165107849e+02 +1.165107849e+02 -2.7835e+00 -5.5437e-01 -1.5556e+00 -6.7270e+00 -1.5002e+00 +3.6165e+00 -6.2612e+00 +1.4118e+00 -5.0265e-01 +2.4918e-01 -4.0614e-01 -1.8503e+00 +3.6734e+00 -1.1471e-01 +9.0122e-01 +9.0646e-02 -1.0493e+00 +3.0488e-01 -2.7331e-01 -2.7147e+00
94 +7.384756286e+01 +7.384756286e+01 +1.146275629e+02 +1.146275629e+02 -2.6563e+00 -6.4417e-01 -1.4405e+00 -6.4954e+00 -1.5617e+00 +3.4623e+00 -6.2709e+00 +1.3613e+00 -6.1940e-01 +7.6708e-02 -4.0423e-01 -1.8837e+00 +3.4109e+00 -4.7045e-02 +1.0091e+00 +3.0544e-01 -1.3751e+00 +3.8847e-01 -2.6156e-01 -2.5846e+00
116 +7.064806091e+01 +7.064806091e+01 +1.114280609e+02 +1.114280609e+02 -2.8963e+00 -4.5066e-01 -1.4219e+00 -6.0471e+00 -1.5440e+00 +3.3814e+00 -6.4686e+00 +1.2829e+00 -6.8124e-01 +2.9151e-01 -6.3605e-01 -2.3081e+00 +3.5467e+00 -1.3304e-01 +8.3485e-01 -1.4015e-02 -1.3522e+00 +3.1802e-01 -4.1818e-01 -2.7362e+00
146 +6.909847708e+01 +6.909847708e+01 +1.098784771e+02 +1.098784771e+02 -2.7687e+00 -8.4113e-01 -1.1376e+00 -6.1945e+00 -1.2369e+00 +3.2376e+00 -6.1903e+00 +1.0439e+00 -8.7753e-01 +3.8614e-01 -3.3810e-01 -1.7874e+00 +3.5816e+00 -3.4257e-01 +7.8305e-01 +4.7407e-01 -1.4375e+00 +5.5451e-01 -6.7927e-01 -2.7719e+00
163 +6.728350232e+01 +6.728350232e+01 +1.080635023e+02 +1.080635023e+02 -3.1534e+00 -7.7238e-01 -1.4237e+00 -5.3628e+00 -1.2840e+00 +3.4672e+00 -6.3298e+00 +9.9937e-01 -1.6720e-01 +3.9245e-01 -5.9661e-01 -1.9220e+00 +3.6340e+00 -3.9720e-01 +7.0771e-01 +2.4743e-01 -1.7642e+00 +4.4855e-01 -1.2844e-01 -2.5354e+00
173 +6.536888032e+01 +6.536888032e+01 +1.061488803e+02 +1.061488803e+02 -2.5287e+00 -4.0593e-01 -1.4035e+00 -5.6295e+00 -1.4538e+00 +3.4251e+00 -6.4328e+00 +1.2989e+00 -7.0124e-01 +3.8316e-01 -7.5514e-01 -1.8828e+00 +3.2946e+00 -5.1392e-02 +8.6776e-01 +2.6313e-01 -1.6285e+00 +7.5270e-01 -3.0853e-01 -2.7521e+00
175 +6.449589954e+01 +6.449589954e+01 +1.052758995e+02 +1.052758995e+02 -3.0851e+00 -5.3547e-01 -1.4911e+00 -5.4071e+00 -1.5516e+00 +3.6149e+00 -6.6022e+00 +1.5497e+00 -5.3276e-01 +7.3046e-01 -5.8047e-01 -1.9586e+00 +3.7883e+00 -2.1648e-02 +9.5105e-01 +5.1396e-01 -1.3228e+00 +5.4126e-01 -8.7656e-01 -2.4137e+00
