% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.581765120e+02 +1.581765120e+02 +1.412365120e+02 +1.412365120e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2312 +1.548345596e+02 +1.548345596e+02 +1.378945596e+02 +1.378945596e+02 -5.2823e-01 +7.1482e-01 +1.6498e+00 -1.8653e+00 -3.2616e-02 +2.2120e+00 -1.8601e+00 +2.0774e+00 +2.0987e+00 -2.1766e-01 -2.3439e+00 +4.4684e+00 +3.6749e+00 +1.5867e+00 -5.2623e-01 -3.0751e+00 +3.5376e-02 +1.1734e+00 -1.1873e+00 +9.4892e-02
2494 +1.509517043e+02 +1.509517043e+02 +1.340117043e+02 +1.340117043e+02 -4.9360e-01 +6.8261e-01 +1.6804e+00 -1.8216e+00 -5.0950e-02 +2.1804e+00 -1.8252e+00 +2.0900e+00 +2.0874e+00 -1.6032e-01 -2.3221e+00 +4.4843e+00 +3.6099e+00 +1.5908e+00 -4.6920e-01 -3.0847e+00 +3.7118e-02 +1.1778e+00 -1.1552e+00 +6.0404e-02
2684 +1.478204718e+02 +1.478204718e+02 +1.308804718e+02 +1.308804718e+02 -5.0590e-01 +7.0166e-01 +1.6864e+00 -1.8140e+00 -4.5932e-02 +2.2153e+00 -1.8306e+00 +2.0410e+00 +2.0848e+00 -1.3471e-01 -2.3207e+00 +4.5242e+00 +3.6389e+00 +1.5589e+00 -4.6987e-01 -3.0496e+00 +1.1869e-02 +1.1598e+00 -1.1399e+00 +1.0681e-01
3286 +1.445326197e+02 +1.445326197e+02 +1.275926197e+02 +1.275926197e+02 -4.4902e-01 +7.1863e-01 +1.6888e+00 -1.8100e+00 -4.0716e-03 +2.2223e+00 -1.8154e+00 +2.0065e+00 +2.0893e+00 -1.6255e-02 -2.3290e+00 +4.6202e+00 +3.6412e+00 +1.5307e+00 -4.7613e-01 -3.0781e+00 +2.3561e-02 +1.1692e+00 -1.1041e+00 +1.0158e-01
3916 +1.409493516e+02 +1.409493516e+02 +1.240093516e+02 +1.240093516e+02 -4.8999e-01 +7.3116e-01 +1.7269e+00 -1.8043e+00 +6.5702e-02 +2.2106e+00 -1.8355e+00 +2.0573e+00 +2.0966e+00 +3.5962e-02 -2.3471e+00 +4.6737e+00 +3.6197e+00 +1.5123e+00 -4.6704e-01 -3.0626e+00 +5.6677e-02 +1.1758e+00 -1.0840e+00 +1.0385e-01
4813 +1.379209784e+02 +1.379209784e+02 +1.209809784e+02 +1.209809784e+02 -5.1590e-01 +7.3755e-01 +1.7709e+00 -1.8084e+00 +1.2841e-01 +2.2273e+00 -1.9205e+00 +2.0872e+00 +2.0530e+00 -2.0015e-02 -2.4232e+00 +4.7509e+00 +3.6454e+00 +1.4710e+00 -4.5773e-01 -3.0289e+00 +3.8504e-02 +1.1388e+00 -1.0551e+00 +1.2111e-01
6964 +1.348198505e+02 +1.348198505e+02 +1.178798505e+02 +1.178798505e+02 -5.2544e-01 +7.7282e-01 +1.8134e+00 -1.7413e+00 +1.7149e-01 +2.2562e+00 -1.9074e+00 +2.1280e+00 +2.0433e+00 +5.7920e-02 -2.3718e+00 +4.8305e+00 +3.6456e+00 +1.4837e+00 -4.3830e-01 -3.0358e+00 +2.9652e-02 +1.1680e+00 -1.0466e+00 +1.3985e-01
14854 +1.318196033e+02 +1.318196033e+02 +1.148796033e+02 +1.148796033e+02 -4.9647e-01 +7.8172e-01 +1.8608e+00 -1.6324e+00 +2.5314e-01 +2.2906e+00 -1.8644e+00 +2.1574e+00 +2.0396e+00 +2.0381e-01 -2.3568e+00 +4.9287e+00 +3.6586e+00 +1.4323e+00 -4.4065e-01 -3.0396e+00 -2.4092e-03 +1.1745e+00 -1.0021e+00 +2.8866e-01
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
