% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.817093392e+01 +1.817093392e+01 +2.504093392e+01 +2.504093392e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
6 +1.645534680e+01 +1.645534680e+01 +2.332534680e+01 +2.332534680e+01 -1.6259e+00 -4.6024e+00 +2.9953e+00 +1.9152e+00 -1.7183e+00 -1.3331e+00 +2.4732e+00 -1.5697e+00 +3.4243e+00 +2.3429e-01 -2.2132e+00 +4.5441e-02 +2.5402e+00 +5.6555e+00 -3.5351e-01 +4.9115e-01 +6.1803e+00 -1.2533e+00 -3.2128e+00 +2.1247e+00
7 +7.566258305e+00 +7.566258305e+00 +1.443625831e+01 +1.443625831e+01 -1.8194e+00 -4.5200e+00 +2.9975e+00 +1.8811e+00 -1.5597e+00 -1.4373e+00 +2.5576e+00 -1.4970e+00 +3.1860e+00 +2.6185e-01 -2.2347e+00 -1.3388e-01 +2.2998e+00 +5.8672e+00 -3.3472e-01 +5.9663e-01 +6.2074e+00 -1.0442e+00 -2.9611e+00 +2.2531e+00
49 +6.941673250e+00 +6.941673250e+00 +1.381167325e+01 +1.381167325e+01 -1.7591e+00 -4.5821e+00 +2.7629e+00 +1.5630e+00 -1.5151e+00 -1.3545e+00 +2.4970e+00 -1.3949e+00 +3.3080e+00 +3.7343e-01 -2.1158e+00 -1.1671e-02 +2.2038e+00 +5.8291e+00 -2.9586e-01 +4.7684e-01 +6.2532e+00 -1.4081e+00 -3.0865e+00 +2.2364e+00
355 +6.786631415e+00 +6.786631415e+00 +1.365663141e+01 +1.365663141e+01 -1.9115e+00 -4.3107e+00 +3.0015e+00 +1.3117e+00 -1.5280e+00 -1.2126e+00 +2.6095e+00 -1.4880e+00 +3.4821e+00 +3.8045e-01 -2.2517e+00 -2.0921e-01 +2.1601e+00 +5.9356e+00 -3.0737e-01 +4.2610e-01 +6.3009e+00 -8.5738e-01 -2.5781e+00 +2.0750e+00
722 +5.964851656e+00 +5.964851656e+00 +1.283485166e+01 +1.283485166e+01 -1.9503e+00 -4.4291e+00 +2.6645e+00 +1.1835e+00 -1.1632e+00 -1.1665e+00 +2.6590e+00 -1.7735e+00 +3.4740e+00 -1.7491e-02 -2.5323e+00 -1.2371e-01 +2.4161e+00 +5.4470e+00 -2.0963e-01 +8.8556e-01 +5.6255e+00 -7.8197e-01 -3.0443e+00 +2.5577e+00
773 +5.096970222e+00 +5.096970222e+00 +1.196697022e+01 +1.196697022e+01 -1.9488e+00 -4.9401e+00 +2.8095e+00 +7.3268e-01 -1.3412e+00 -9.3760e-01 +2.4815e+00 -1.7451e+00 +3.1415e+00 +4.1148e-01 -2.5004e+00 -5.0247e-01 +2.1632e+00 +5.6429e+00 -2.5429e-01 +8.7240e-01 +5.5402e+00 -8.3343e-01 -3.0087e+00 +2.3582e+00
1056 +4.733434299e+00 +4.733434299e+00 +1.160343430e+01 +1.160343430e+01 -1.9006e+00 -4.7767e+00 +2.9354e+00 +6.1775e-01 -1.5998e+00 -9.8463e-01 +2.7586e+00 -1.2596e+00 +3.3250e+00 +3.5454e-01 -2.3816e+00 -6.5270e-01 +2.4420e+00 +5.4244e+00 -4.6394e-01 +6.4811e-01 +4.9767e+00 -1.1243e+00 -2.9436e+00 +1.9358e+00
1269 +4.467811744e+00 +4.467811744e+00 +1.133781174e+01 +1.133781174e+01 -1.9172e+00 -4.9025e+00 +3.0361e+00 +5.3828e-01 -1.2247e+00 -9.5841e-01 +2.7371e+00 -1.4933e+00 +3.3564e+00 +4.2215e-01 -2.4518e+00 -7.6506e-01 +2.4643e+00 +5.2574e+00 -3.7408e-01 +3.6818e-01 +4.7169e+00 -9.1835e-01 -3.3304e+00 +1.9164e+00
1614 +4.408479479e+00 +4.408479479e+00 +1.127847948e+01 +1.127847948e+01 -1.7253e+00 -4.8446e+00 +3.4337e+00 +5.7924e-01 -1.1465e+00 -1.1102e+00 +2.8267e+00 -1.4358e+00 +3.4160e+00 +3.6366e-01 -2.6382e+00 -5.1314e-01 +2.5991e+00 +5.3579e+00 -3.6647e-01 +4.2088e-01 +4.4861e+00 -9.6629e-01 -3.6644e+00 +1.4411e+00
2887 +3.476667770e+00 +3.476667770e+00 +1.034666777e+01 +1.034666777e+01 -1.5891e+00 -5.4785e+00 +3.5489e+00 +3.9159e-01 -1.6200e+00 -5.0426e-01 +2.9276e+00 -1.5310e+00 +3.7405e+00 +2.5956e-01 -2.7472e+00 -1.0661e+00 +2.3903e+00 +5.7773e+00 -6.2945e-01 +4.5386e-02 +5.0711e+00 -1.2124e+00 -3.6747e+00 +1.4403e+00
