% function evaluation | noise-free fitness - Fopt (9.294000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
483 +5.919124522e+002 +5.919124522e+002 +6.848524522e+002 +6.848524522e+002 -2.4978e+000 -7.5815e-001 -1.3750e+000 -2.4226e+000 -5.4215e-001 +2.4201e+000 -1.8931e+000 -2.1066e+000 +8.5052e+000 -1.6839e+000 +3.7291e+000 -4.0012e+000 -1.5521e+000 +3.0593e+000 -5.6443e-001 +3.3951e+000 +5.5329e+000 -2.7416e+000 -3.5430e+000 +3.2394e+000
488 +5.849025523e+002 +5.849025523e+002 +6.778425523e+002 +6.778425523e+002 -6.5123e-001 -3.8098e-001 -2.4334e+000 -1.9300e+000 +4.6859e-001 +1.3967e+000 -8.8365e-001 -2.7935e+000 +9.4445e+000 -1.4891e+000 +2.2451e+000 -4.0493e+000 -1.1303e+000 +2.8299e+000 -7.2236e-001 +3.4370e+000 +8.3272e+000 -2.1827e+000 -3.4738e+000 +2.9512e+000
489 +3.625439204e+002 +3.625439204e+002 +4.554839204e+002 +4.554839204e+002 -3.7983e-001 +7.5006e-001 -1.7415e+000 -1.5388e+000 +1.3788e-001 +2.1943e+000 -1.4036e+000 -1.9374e+000 +8.1107e+000 +3.4153e-001 +3.5746e+000 -4.0825e+000 -1.7015e+000 +2.7026e+000 -8.0555e-001 +3.6316e+000 +6.8699e+000 -3.3510e+000 -2.3960e+000 +3.4591e+000
521 +3.504586134e+002 +3.504586134e+002 +4.433986134e+002 +4.433986134e+002 -7.4240e-001 +3.0615e-001 -3.0240e+000 -1.8927e+000 +8.6622e-001 +9.8100e-001 -7.7123e-001 -1.7357e+000 +8.6072e+000 -5.6789e-001 +1.9128e+000 -4.7947e+000 -1.1147e+000 +2.0373e+000 +1.5384e+000 +4.4243e+000 +6.9302e+000 -2.6403e+000 -3.0262e+000 +3.6789e+000
547 +3.379532459e+002 +3.379532459e+002 +4.308932459e+002 +4.308932459e+002 -7.3398e-001 +4.4670e-001 -3.2310e+000 -1.0714e+000 +1.8177e+000 +1.3232e+000 +3.3535e-002 -3.8162e+000 +9.4113e+000 -1.6859e+000 +2.7267e+000 -2.9656e+000 +1.1797e-001 +1.8440e+000 +1.9833e-001 +4.1310e+000 +7.0630e+000 -4.8551e+000 -3.3226e+000 +9.9642e-001
550 +2.847100527e+002 +2.847100527e+002 +3.776500527e+002 +3.776500527e+002 -8.9216e-001 -9.3221e-002 -3.3634e+000 -1.2456e+000 +1.0765e+000 +1.4945e+000 -9.5382e-001 -2.7729e+000 +8.6334e+000 -8.3037e-001 +2.4053e+000 -4.3112e+000 -1.2201e+000 +2.7726e+000 +1.8782e+000 +3.9632e+000 +5.5546e+000 -3.8000e+000 -3.2453e+000 +2.1877e+000
572 +2.683850207e+002 +2.683850207e+002 +3.613250207e+002 +3.613250207e+002 -6.5424e-002 +2.5492e-001 -3.3611e+000 -7.6202e-001 +6.2567e-001 +1.6617e+000 -5.3427e-001 -3.0328e+000 +7.8769e+000 -8.6712e-001 +1.5178e+000 -3.9887e+000 -6.8767e-001 +2.8757e+000 +1.8448e+000 +3.9193e+000 +4.9986e+000 -4.2276e+000 -3.5605e+000 +2.1722e+000
597 +2.310141672e+002 +2.310141672e+002 +3.239541672e+002 +3.239541672e+002 -2.2440e-001 -8.2169e-001 -5.9078e+000 +2.5362e-001 +1.1922e+000 +2.0878e+000 +2.3886e+000 -1.1816e+000 +4.6152e+000 +2.7191e-001 +4.3488e-001 -5.1743e+000 -2.6640e+000 +3.0215e+000 +1.7461e+000 +2.6900e+000 +6.7110e+000 -3.6027e+000 -2.7421e+000 +1.9830e+000
616 +1.583239192e+002 +1.583239192e+002 +2.512639192e+002 +2.512639192e+002 +8.0580e-002 -1.8016e-001 -2.9642e+000 -4.7237e-001 +1.2747e+000 +1.7691e+000 +7.7644e-001 -1.9931e+000 +6.0888e+000 -1.4250e-001 +8.0080e-001 -4.5222e+000 -8.4528e-001 +1.3222e+000 +1.7629e+000 +2.8907e+000 +4.6472e+000 -2.9264e+000 -2.9229e+000 +2.4954e+000
638 +1.385965851e+002 +1.385965851e+002 +2.315365851e+002 +2.315365851e+002 +6.8493e-002 +1.0189e-001 -2.9554e+000 -7.7473e-002 +1.9330e+000 +2.3514e+000 +1.8582e+000 -1.9716e+000 +5.9469e+000 +5.0647e-002 +5.5767e-001 -4.0455e+000 -1.0056e+000 +1.5090e+000 +1.7216e+000 +2.3253e+000 +3.8855e+000 -2.5453e+000 -3.2140e+000 +1.9908e+000
660 +1.127050978e+002 +1.127050978e+002 +2.056450978e+002 +2.056450978e+002 +9.8360e-002 -2.2304e-001 -3.3136e+000 +1.4629e+000 +2.3506e+000 +3.0319e+000 +2.0137e+000 -2.4973e+000 +5.8305e+000 +9.0833e-001 +5.3535e-001 -4.0845e+000 -8.8733e-001 +1.5770e+000 +1.7759e+000 +1.8255e+000 +4.6276e+000 -2.9866e+000 -3.7230e+000 +1.8224e+000
726 +7.052936769e+001 +7.052936769e+001 +1.634693677e+002 +1.634693677e+002 +6.5459e-001 -7.3010e-001 -2.8608e+000 +2.0293e+000 +1.6514e+000 +3.3403e+000 +9.2444e-001 -1.8930e+000 +3.3572e+000 +2.6682e+000 +8.5896e-001 -4.9812e+000 -1.3738e+000 +1.1921e+000 +2.5990e+000 +1.2026e+000 +3.0539e+000 -3.6879e+000 -2.4712e+000 +1.1458e+000
1078 +6.352040823e+001 +6.352040823e+001 +1.564604082e+002 +1.564604082e+002 +7.6655e-001 -1.2195e+000 -3.4057e+000 +2.7111e+000 +1.6529e+000 +2.6751e+000 +1.5726e+000 -2.5161e+000 +3.0435e+000 +3.2094e+000 +1.7723e+000 -4.5807e+000 -5.9934e-001 +1.7441e+000 +2.8084e+000 +4.1789e-001 +3.9286e+000 -3.6118e+000 -3.2134e+000 +2.1448e+000
1100 +5.933173734e+001 +5.933173734e+001 +1.522717373e+002 +1.522717373e+002 +6.3527e-001 -1.0852e+000 -3.3856e+000 +2.7039e+000 +1.5582e+000 +2.9272e+000 +1.9743e+000 -2.7994e+000 +3.5403e+000 +2.9814e+000 +1.6359e+000 -4.5526e+000 -5.3849e-001 +1.7103e+000 +2.5273e+000 +2.4231e-001 +4.3793e+000 -3.8293e+000 -3.2435e+000 +1.9435e+000
1122 +5.716301344e+001 +5.716301344e+001 +1.501030134e+002 +1.501030134e+002 +7.9135e-001 -9.5911e-001 -2.8754e+000 +2.8253e+000 +1.3814e+000 +3.1409e+000 +2.1207e+000 -3.0599e+000 +3.1032e+000 +3.0837e+000 +1.9277e+000 -4.3920e+000 -4.6041e-001 +1.8701e+000 +2.4741e+000 +2.5039e-001 +4.3983e+000 -3.9744e+000 -3.1221e+000 +2.2545e+000
1144 +5.073080205e+001 +5.073080205e+001 +1.436708020e+002 +1.436708020e+002 +5.3253e-001 -8.7251e-001 -3.0596e+000 +2.2549e+000 +1.7870e+000 +3.0340e+000 +2.2944e+000 -2.6876e+000 +3.2871e+000 +3.0555e+000 +2.3909e+000 -4.4098e+000 -6.1368e-001 +1.6007e+000 +2.3285e+000 +2.2132e-001 +4.8249e+000 -3.7390e+000 -2.7152e+000 +2.0832e+000
1195 +4.688884801e+001 +4.688884801e+001 +1.398288480e+002 +1.398288480e+002 -8.7319e-001 +4.0421e-001 -1.5864e+000 +2.7552e+000 +2.0421e+000 +3.8337e+000 +2.3341e+000 -2.5931e+000 +3.1426e+000 +2.6395e+000 +1.3185e+000 -4.5667e+000 -4.3871e-001 +2.3359e+000 +1.8545e+000 +8.5414e-001 +3.3717e+000 -3.9162e+000 -2.6918e+000 +1.1206e+000
1210 +4.145631067e+001 +4.145631067e+001 +1.343963107e+002 +1.343963107e+002 +1.0892e+000 -1.4623e-001 -2.3022e+000 +2.6495e+000 +1.7560e+000 +3.5954e+000 +2.6391e+000 -2.3362e+000 +3.7192e+000 +3.1421e+000 +1.5829e+000 -4.4122e+000 -1.0034e+000 +1.9572e+000 +2.6103e+000 +2.7619e-001 +3.7588e+000 -4.2296e+000 -2.6402e+000 +1.5417e+000
1283 +3.775211069e+001 +3.775211069e+001 +1.306921107e+002 +1.306921107e+002 +1.2351e+000 +3.7663e-001 -1.7144e+000 +1.9908e+000 +2.0630e+000 +3.8638e+000 +1.0754e+000 -2.1122e+000 +4.2825e+000 +3.0610e+000 +1.5658e+000 -3.8523e+000 -1.3318e+000 +1.9183e+000 +2.4276e+000 +1.6395e-002 +3.9444e+000 -3.9766e+000 -2.2115e+000 +1.3790e+000
1408 +3.594422153e+001 +3.594422153e+001 +1.288842215e+002 +1.288842215e+002 +1.3470e+000 -2.3901e-001 -1.4693e+000 +2.0497e+000 +1.6652e+000 +3.3714e+000 +2.0319e+000 -2.4305e+000 +3.9736e+000 +3.0766e+000 +1.9655e+000 -4.4823e+000 -1.4070e+000 +1.4811e+000 +2.5763e+000 +4.2042e-001 +3.7972e+000 -4.1402e+000 -1.8936e+000 +1.6231e+000
1430 +2.925350360e+001 +2.925350360e+001 +1.221935036e+002 +1.221935036e+002 +1.3692e+000 -5.7209e-002 -1.5057e+000 +2.1359e+000 +1.8954e+000 +3.6176e+000 +2.1597e+000 -2.3296e+000 +3.7901e+000 +3.0664e+000 +1.6270e+000 -4.3231e+000 -1.4860e+000 +1.6742e+000 +2.6200e+000 +3.4202e-001 +3.5037e+000 -4.2575e+000 -1.7595e+000 +1.5676e+000
1496 +2.638825534e+001 +2.638825534e+001 +1.193282553e+002 +1.193282553e+002 +1.2375e+000 +9.3562e-002 -1.4805e+000 +2.4150e+000 +1.9351e+000 +4.0318e+000 +2.0503e+000 -1.9628e+000 +3.1428e+000 +3.3903e+000 +1.9612e+000 -4.1162e+000 -1.2601e+000 +1.9111e+000 +2.1204e+000 +6.0588e-001 +4.0266e+000 -4.3540e+000 -1.3598e+000 +1.8599e+000
1606 +2.466055017e+001 +2.466055017e+001 +1.176005502e+002 +1.176005502e+002 +1.5167e+000 +6.3382e-001 -1.2352e+000 +2.5173e+000 +1.8554e+000 +3.9518e+000 +1.3834e+000 -2.1355e+000 +3.0155e+000 +3.0901e+000 +1.6898e+000 -3.9931e+000 -1.4435e+000 +1.5918e+000 +2.1571e+000 +6.1776e-001 +3.9173e+000 -3.9870e+000 -1.2303e+000 +1.5631e+000
1650 +2.246092312e+001 +2.246092312e+001 +1.154009231e+002 +1.154009231e+002 +1.4724e+000 +4.2950e-001 -1.3033e+000 +2.5402e+000 +1.8952e+000 +3.9858e+000 +2.1252e+000 -2.3137e+000 +3.2012e+000 +2.8779e+000 +2.1587e+000 -3.8058e+000 -1.0538e+000 +1.6593e+000 +1.8934e+000 +5.0654e-001 +4.1531e+000 -3.8279e+000 -9.8717e-001 +1.2419e+000
1665 +1.955883970e+001 +1.955883970e+001 +1.124988397e+002 +1.124988397e+002 +8.1832e-001 +6.3951e-001 -1.3379e+000 +2.6345e+000 +2.1323e+000 +3.7853e+000 +1.9274e+000 -2.5095e+000 +3.5497e+000 +2.7380e+000 +1.7050e+000 -3.6419e+000 -1.2316e+000 +1.7560e+000 +2.0073e+000 +9.3174e-001 +3.6277e+000 -4.1252e+000 -2.1110e-001 +1.5613e+000
1743 +1.923251449e+001 +1.923251449e+001 +1.121725145e+002 +1.121725145e+002 +7.7480e-001 -1.9647e-001 -7.1394e-001 +3.1177e+000 +2.3939e+000 +4.0684e+000 +1.6938e+000 -2.0877e+000 +3.4708e+000 +3.1391e+000 +2.2643e+000 -3.1953e+000 -1.3553e+000 +1.7386e+000 +1.1934e+000 +5.7580e-001 +3.5618e+000 -3.9050e+000 -8.8895e-002 +9.7302e-001
1748 +1.663131136e+001 +1.663131136e+001 +1.095713114e+002 +1.095713114e+002 +7.0123e-001 +5.0614e-001 -7.5001e-001 +2.1657e+000 +1.8392e+000 +4.0641e+000 +1.8516e+000 -1.9414e+000 +3.4550e+000 +3.3749e+000 +7.8840e-001 -3.7203e+000 -1.2492e+000 +1.8858e+000 +1.8597e+000 +6.7909e-001 +4.2009e+000 -4.0852e+000 -6.9869e-001 +1.2547e+000
1892 +1.460650990e+001 +1.460650990e+001 +1.075465099e+002 +1.075465099e+002 +4.3650e-001 +2.7229e-001 -4.2511e-001 +2.1731e+000 +1.6706e+000 +4.4438e+000 +1.8842e+000 -1.4376e+000 +3.2980e+000 +2.7730e+000 +1.7204e+000 -3.8161e+000 -1.3919e+000 +1.3865e+000 +1.8515e+000 +6.7870e-001 +3.8578e+000 -3.8206e+000 +5.7866e-001 +1.2702e+000
1904 +1.266918112e+001 +1.266918112e+001 +1.056091811e+002 +1.056091811e+002 +1.6270e-001 +4.4855e-001 -4.9828e-001 +2.2091e+000 +2.2409e+000 +4.2028e+000 +1.2226e+000 -1.3164e+000 +2.7863e+000 +3.0060e+000 +1.5838e+000 -3.3698e+000 -1.4675e+000 +1.2955e+000 +1.6036e+000 +6.2167e-001 +4.3469e+000 -3.4184e+000 +1.0714e+000 +9.2121e-001
1936 +1.174165633e+001 +1.174165633e+001 +1.046816563e+002 +1.046816563e+002 +3.4355e-001 +3.3409e-001 -3.8421e-001 +2.2915e+000 +2.1927e+000 +4.3962e+000 +1.5069e+000 -1.3266e+000 +3.6094e+000 +2.8634e+000 +1.2354e+000 -3.7687e+000 -1.2571e+000 +1.3891e+000 +1.9249e+000 +7.0162e-001 +3.5487e+000 -3.3982e+000 +6.0946e-001 +1.0227e+000
1958 +1.092051546e+001 +1.092051546e+001 +1.038605155e+002 +1.038605155e+002 +3.0002e-001 +3.4413e-001 -5.4134e-001 +2.4306e+000 +2.2589e+000 +4.2303e+000 +1.3185e+000 -1.4238e+000 +3.5295e+000 +2.8863e+000 +1.3815e+000 -3.7867e+000 -1.3708e+000 +1.4937e+000 +1.9046e+000 +6.7975e-001 +3.5587e+000 -3.4425e+000 +6.9344e-001 +9.7798e-001
2266 +9.059737112e+000 +9.059737112e+000 +1.019997371e+002 +1.019997371e+002 +4.4604e-002 +5.8275e-001 +4.6530e-002 +2.8839e+000 +2.1989e+000 +4.2356e+000 +1.9870e+000 -2.4477e+000 +3.3859e+000 +3.1572e+000 +1.1445e+000 -3.3245e+000 -8.8055e-001 +1.6793e+000 +1.3975e+000 +7.7876e-001 +3.7561e+000 -3.6681e+000 +6.6105e-001 +9.8920e-001
2288 +8.364151813e+000 +8.364151813e+000 +1.013041518e+002 +1.013041518e+002 +1.0782e-001 +6.2831e-001 -3.5829e-003 +2.9149e+000 +2.1427e+000 +4.3050e+000 +1.9927e+000 -2.4365e+000 +3.2275e+000 +3.0385e+000 +1.0831e+000 -3.3510e+000 -9.2348e-001 +1.8062e+000 +1.3056e+000 +8.6697e-001 +3.9619e+000 -3.6197e+000 +6.0109e-001 +1.0008e+000
2298 +7.660878256e+000 +7.660878256e+000 +1.006008783e+002 +1.006008783e+002 -1.2125e-002 +7.1463e-001 -3.3516e-002 +2.9400e+000 +2.2011e+000 +4.3163e+000 +1.8584e+000 -2.5674e+000 +3.0866e+000 +3.0031e+000 +1.3317e+000 -3.4889e+000 -1.1272e+000 +1.7390e+000 +1.4740e+000 +7.6592e-001 +3.9238e+000 -3.6639e+000 +2.1808e-001 +7.1720e-001
2510 +7.381491061e+000 +7.381491061e+000 +1.003214911e+002 +1.003214911e+002 -2.0599e-003 +4.6122e-001 -2.1402e-001 +2.8664e+000 +2.2217e+000 +4.2267e+000 +2.4083e+000 -2.4485e+000 +3.5131e+000 +3.0260e+000 +6.8567e-001 -3.6000e+000 -3.4941e-001 +1.8084e+000 +1.6887e+000 +8.6371e-001 +3.9041e+000 -3.6078e+000 +5.0239e-001 +9.4230e-001
2521 +7.151786794e+000 +7.151786794e+000 +1.000917868e+002 +1.000917868e+002 +3.5007e-001 +5.6643e-001 -2.9999e-001 +2.8414e+000 +2.2118e+000 +4.4402e+000 +2.4367e+000 -2.4075e+000 +3.1484e+000 +2.9896e+000 +8.2572e-001 -3.5569e+000 -5.5406e-001 +1.3833e+000 +1.9848e+000 +8.4253e-001 +3.8365e+000 -3.7325e+000 +5.9340e-001 +1.0539e+000
2530 +6.974462443e+000 +6.974462443e+000 +9.991446244e+001 +9.991446244e+001 +2.7272e-001 +5.7854e-001 -2.2636e-001 +2.9093e+000 +2.1967e+000 +4.4283e+000 +2.3389e+000 -2.2774e+000 +3.1791e+000 +3.0137e+000 +7.5382e-001 -3.5895e+000 -5.3378e-001 +1.6232e+000 +1.7834e+000 +8.7157e-001 +3.7700e+000 -3.7480e+000 +6.5093e-001 +9.6021e-001
2570 +5.701785815e+000 +5.701785815e+000 +9.864178581e+001 +9.864178581e+001 +1.3144e-001 +5.0750e-001 -1.9996e-001 +3.0990e+000 +1.9688e+000 +4.3121e+000 +2.2787e+000 -2.0648e+000 +3.4202e+000 +2.8876e+000 +7.1520e-001 -3.3683e+000 -6.5574e-001 +1.6928e+000 +1.6347e+000 +8.7575e-001 +3.8459e+000 -3.5935e+000 +4.5622e-001 +9.4137e-001
2739 +5.613894110e+000 +5.613894110e+000 +9.855389411e+001 +9.855389411e+001 -1.4909e-001 +4.5753e-001 -2.2973e-001 +3.1351e+000 +2.0235e+000 +4.2721e+000 +2.6902e+000 -1.5132e+000 +3.5608e+000 +2.8598e+000 +6.3436e-001 -3.3629e+000 -6.4582e-001 +1.5842e+000 +1.7286e+000 +8.9635e-001 +3.8399e+000 -3.5998e+000 +1.0857e+000 +7.2284e-001
2750 +5.479011280e+000 +5.479011280e+000 +9.841901128e+001 +9.841901128e+001 -2.3349e-001 +5.2044e-001 -1.6016e-001 +3.1120e+000 +1.9610e+000 +4.2505e+000 +2.5416e+000 -1.9394e+000 +3.4543e+000 +2.8224e+000 +6.3323e-001 -3.5649e+000 -6.7351e-001 +1.4772e+000 +1.7693e+000 +8.3359e-001 +3.7418e+000 -3.5673e+000 +8.3179e-001 +9.5356e-001
2772 +5.269676207e+000 +5.269676207e+000 +9.820967621e+001 +9.820967621e+001 -1.9025e-001 +5.1434e-001 -1.6171e-001 +3.0407e+000 +2.0093e+000 +4.2312e+000 +2.4682e+000 -1.8594e+000 +3.4877e+000 +2.7982e+000 +6.6947e-001 -3.5796e+000 -5.3695e-001 +1.4715e+000 +1.8180e+000 +8.4748e-001 +3.8146e+000 -3.5771e+000 +8.5207e-001 +8.5710e-001
2799 +5.006804082e+000 +5.006804082e+000 +9.794680408e+001 +9.794680408e+001 -1.7812e-001 +4.5492e-001 -3.6741e-001 +2.9030e+000 +1.8687e+000 +4.2029e+000 +2.2960e+000 -1.8523e+000 +3.4595e+000 +2.6993e+000 +7.2229e-001 -3.5598e+000 -7.0060e-001 +1.4027e+000 +1.8458e+000 +9.8537e-001 +3.6981e+000 -3.4110e+000 +1.0031e+000 +7.5971e-001
2816 +4.832132198e+000 +4.832132198e+000 +9.777213220e+001 +9.777213220e+001 -1.4743e-001 +5.4810e-001 -3.0202e-001 +2.9556e+000 +1.9233e+000 +4.1041e+000 +2.3988e+000 -1.9046e+000 +3.4186e+000 +2.7943e+000 +5.6458e-001 -3.5941e+000 -6.6038e-001 +1.4562e+000 +1.7785e+000 +8.4635e-001 +3.7426e+000 -3.5277e+000 +7.9706e-001 +8.6156e-001
3089 +4.668941077e+000 +4.668941077e+000 +9.760894108e+001 +9.760894108e+001 -1.2724e-001 +6.5247e-001 -3.8586e-001 +2.9134e+000 +1.8018e+000 +4.0283e+000 +2.3208e+000 -1.9266e+000 +3.5304e+000 +2.8318e+000 +7.6642e-001 -3.8565e+000 -4.6800e-001 +1.4689e+000 +1.8145e+000 +9.1766e-001 +3.6545e+000 -3.3355e+000 +4.5042e-001 +1.0119e+000
8817 +4.524959975e+000 +4.524959975e+000 +9.746495997e+001 +9.746495997e+001 -2.6692e-001 +1.7542e-001 +6.3851e-001 +2.7715e+000 +3.2787e+000 +3.5330e+000 +2.8226e-001 -3.3830e+000 +5.1765e+000 +1.9307e+000 +2.5563e+000 -4.2252e+000 -1.7411e+000 +5.3913e-001 +1.4788e+000 +4.1220e+000 +3.1973e+000 -2.4132e+000 +4.9068e+000 +1.2102e+000
8870 +4.335273116e+000 +4.335273116e+000 +9.727527312e+001 +9.727527312e+001 -2.4475e-001 +1.9769e-001 +7.0508e-001 +2.8140e+000 +3.2342e+000 +3.5042e+000 +2.3537e-001 -3.4058e+000 +5.1542e+000 +2.0088e+000 +2.5954e+000 -4.2454e+000 -1.7760e+000 +5.1826e-001 +1.5501e+000 +4.1823e+000 +3.2219e+000 -2.4809e+000 +4.8542e+000 +1.0121e+000
9105 +4.246693902e+000 +4.246693902e+000 +9.718669390e+001 +9.718669390e+001 -2.3993e-001 +1.7131e-001 +7.0135e-001 +2.6949e+000 +3.2141e+000 +3.5085e+000 +3.8717e-001 -3.4501e+000 +5.0805e+000 +1.9696e+000 +2.5601e+000 -4.2224e+000 -1.7596e+000 +4.8426e-001 +1.6216e+000 +4.0781e+000 +3.2287e+000 -2.3916e+000 +4.8888e+000 +1.1400e+000
12315 +4.105374581e+000 +4.105374581e+000 +9.704537458e+001 +9.704537458e+001 +6.4406e-001 +1.2288e+000 -2.7514e-001 +2.3776e+000 +1.8898e+000 +4.0454e+000 +1.6427e+000 -2.5217e+000 +3.9028e+000 +2.2979e+000 +2.1013e+000 -4.0485e+000 -1.8385e+000 +4.4515e-001 +1.8403e+000 +1.8634e+000 +3.7627e+000 -3.4988e+000 +1.4930e+000 +9.2757e-001
36630 +3.584808243e+000 +3.584808243e+000 +9.652480824e+001 +9.652480824e+001 +2.4072e-001 +8.2927e-001 +6.3031e-001 +2.9735e+000 +2.1792e+000 +4.0556e+000 +1.5572e+000 -1.8954e+000 +3.1161e+000 +2.6273e+000 +2.0096e+000 -3.8002e+000 -2.0624e+000 +5.4862e-001 +1.0440e+000 +2.6957e+000 +3.7724e+000 -3.2151e+000 +2.4158e+000 +9.8162e-002
36806 +3.387308740e+000 +3.387308740e+000 +9.632730874e+001 +9.632730874e+001 +3.1870e-001 +7.8006e-001 +5.9809e-001 +3.1465e+000 +2.2274e+000 +4.0988e+000 +1.3604e+000 -2.0481e+000 +3.2946e+000 +2.4496e+000 +2.5058e+000 -3.8190e+000 -1.9495e+000 +4.5437e-001 +9.6053e-001 +2.8703e+000 +3.8064e+000 -3.2453e+000 +2.4260e+000 +2.1444e-001
