% function evaluation | noise-free fitness - Fopt (9.294000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.756574751e+003 +1.756574751e+003 +1.849514751e+003 +1.849514751e+003 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
273 +1.688774314e+003 +1.688774314e+003 +1.781714314e+003 +1.781714314e+003 -2.4091e+000 +7.4790e-002 -4.7743e+000 -2.6477e+000 -1.5706e+000 +8.0698e-001 -2.8805e+000 -1.6971e+000 +8.3728e+000 -4.8479e-001 +4.7542e+000 -1.6827e+000 -5.9756e-001 +4.0334e+000 -2.7126e+000 +3.2827e+000 +3.0785e+000 -1.5030e+000 -2.9370e+000 +1.4896e+000
283 +1.521452639e+003 +1.521452639e+003 +1.614392639e+003 +1.614392639e+003 -2.4132e+000 +4.5242e-002 -4.6326e+000 -2.8234e+000 -1.9874e+000 +9.1556e-001 -2.9885e+000 -1.7226e+000 +7.7113e+000 -5.4717e-001 +4.2509e+000 -2.1417e+000 -8.0550e-001 +3.8429e+000 -2.8846e+000 +3.1505e+000 +3.5245e+000 -2.1914e+000 -3.7989e+000 +1.4550e+000
301 +1.509362659e+003 +1.509362659e+003 +1.602302659e+003 +1.602302659e+003 -2.0136e+000 -2.2391e-001 -4.2301e+000 -3.3407e+000 -2.0738e+000 +1.0434e+000 -3.2278e+000 -2.1743e+000 +7.6598e+000 -6.3863e-001 +4.5682e+000 -1.9648e+000 -1.0318e+000 +3.5492e+000 -2.4267e+000 +3.1783e+000 +3.1162e+000 -1.4641e+000 -2.9017e+000 +1.1989e+000
314 +1.372271865e+003 +1.372271865e+003 +1.465211865e+003 +1.465211865e+003 -2.8160e+000 -5.3068e-001 -4.7355e+000 -2.3977e+000 -2.1915e+000 +4.3627e-001 -3.4252e+000 -1.5426e+000 +8.4250e+000 -7.1406e-001 +3.9191e+000 -2.8535e+000 -8.9107e-001 +3.6538e+000 -2.0022e+000 +3.4557e+000 +2.8718e+000 -1.7058e+000 -2.8654e+000 +1.9722e+000
318 +1.333833421e+003 +1.333833421e+003 +1.426773421e+003 +1.426773421e+003 -2.5832e+000 +3.6454e-001 -4.7913e+000 -2.3564e+000 -1.3263e+000 +7.4890e-001 -3.4678e+000 -1.9880e+000 +8.9519e+000 -8.1850e-001 +5.0823e+000 -3.2334e+000 -8.0918e-001 +3.4100e+000 -2.4179e+000 +2.9876e+000 +2.5669e+000 -1.7867e+000 -3.1219e+000 +1.7844e+000
333 +1.101867716e+003 +1.101867716e+003 +1.194807716e+003 +1.194807716e+003 -1.9782e+000 -1.8557e-001 -4.1253e+000 -2.2087e+000 -1.8000e+000 +4.8569e-001 -2.3470e+000 -1.9225e+000 +8.5453e+000 -6.7708e-001 +4.2616e+000 -3.1805e+000 -1.2730e+000 +2.7180e+000 -3.0039e+000 +3.1032e+000 +3.6426e+000 -1.6938e+000 -2.9334e+000 +2.4770e+000
363 +9.606412378e+002 +9.606412378e+002 +1.053581238e+003 +1.053581238e+003 -3.1430e+000 -1.4233e-001 -3.7604e+000 -2.9272e+000 -1.3947e+000 +1.1138e+000 -2.9140e+000 -1.4439e+000 +1.0084e+001 -2.3035e-001 +4.7191e+000 -3.8887e+000 -1.1359e+000 +3.6037e+000 -2.0243e+000 +3.6030e+000 +5.1530e+000 -2.0334e+000 -2.4770e+000 +1.9723e+000
377 +7.750267264e+002 +7.750267264e+002 +8.679667264e+002 +8.679667264e+002 -2.8205e+000 +1.1390e-001 -2.8539e+000 -3.0421e+000 -1.5476e+000 +1.1001e+000 -2.3318e+000 -1.6458e+000 +8.4336e+000 -1.4842e+000 +4.4896e+000 -3.7878e+000 -6.7392e-001 +3.2820e+000 -1.4396e+000 +3.6680e+000 +6.9220e+000 -2.4486e+000 -2.0275e+000 +1.1344e+000
400 +6.832831866e+002 +6.832831866e+002 +7.762231866e+002 +7.762231866e+002 -2.6172e+000 -5.7113e-001 -3.1346e+000 -2.0506e+000 -1.5510e+000 +9.9760e-001 -1.6610e+000 -1.0079e+000 +1.0114e+001 -1.5713e+000 +4.3634e+000 -2.8880e+000 -1.3059e+000 +3.0030e+000 -1.2315e+000 +3.4929e+000 +7.6260e+000 -2.9168e+000 -1.9705e+000 +2.4732e+000
454 +6.398093188e+002 +6.398093188e+002 +7.327493188e+002 +7.327493188e+002 -3.3008e+000 +2.0478e-001 -2.2878e+000 -1.2510e+000 -8.6339e-002 +1.0380e+000 -2.2870e+000 -8.7727e-001 +9.1325e+000 -1.0112e+000 +4.7828e+000 -4.5030e+000 -8.3717e-001 +3.9917e+000 -6.2877e-001 +3.2880e+000 +6.3224e+000 -2.5322e+000 -2.2604e+000 +1.6575e+000
473 +6.298435474e+002 +6.298435474e+002 +7.227835474e+002 +7.227835474e+002 -2.0806e+000 -1.3498e-001 -3.7541e+000 -2.0893e+000 -1.5711e-001 +1.3700e-001 -2.8563e+000 -2.5833e+000 +9.1933e+000 +2.9191e-002 +4.1098e+000 -3.2699e+000 -1.3092e+000 +3.7006e+000 -6.9448e-001 +3.7194e+000 +6.0394e+000 -3.6064e+000 -2.6415e+000 +2.6350e+000
