% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.076966042e+05 +2.076966042e+05 +2.074867242e+05 +2.074867242e+05 +0.0000e+00 +0.0000e+00
102 +1.986706852e+05 +1.986706852e+05 +1.984608052e+05 +1.984608052e+05 +4.7343e-01 +1.2024e-02
119 +9.503471787e+04 +9.503471787e+04 +9.482483787e+04 +9.482483787e+04 -1.3139e-01 +7.4752e-01
132 +1.307006035e+04 +1.307006035e+04 +1.286018035e+04 +1.286018035e+04 -9.9687e-03 +3.3438e-01
146 +6.326232705e+03 +6.326232705e+03 +6.116352705e+03 +6.116352705e+03 +6.4539e-01 +3.6139e-01
176 +4.527797992e+02 +4.527797992e+02 +2.428997992e+02 +2.428997992e+02 +3.2567e-01 +4.6919e-01
202 +4.010282177e+01 +4.010282177e+01 -1.697771782e+02 -1.697771782e+02 +2.6841e-01 +4.4155e-01
352 +2.060242953e+01 +2.060242953e+01 -1.892775705e+02 -1.892775705e+02 +3.7326e-01 +4.4392e-01
418 +4.569396596e+00 +4.569396596e+00 -2.053106034e+02 -2.053106034e+02 +4.0312e-01 +4.4591e-01
462 +2.059002127e+00 +2.059002127e+00 -2.078209979e+02 -2.078209979e+02 +4.0668e-01 +4.4676e-01
506 +1.507908515e+00 +1.507908515e+00 -2.083720915e+02 -2.083720915e+02 +4.0765e-01 +4.4698e-01
564 +1.190983124e+00 +1.190983124e+00 -2.086890169e+02 -2.086890169e+02 +4.2002e-01 +4.4714e-01
596 +6.472796586e-01 +6.472796586e-01 -2.092327203e+02 -2.092327203e+02 +4.1143e-01 +4.4832e-01
626 +5.669311583e-01 +5.669311583e-01 -2.093130688e+02 -2.093130688e+02 +4.3238e-01 +4.4774e-01
704 +5.195024074e-01 +5.195024074e-01 -2.093604976e+02 -2.093604976e+02 +4.2511e-01 +4.4800e-01
756 +5.019732980e-01 +5.019732980e-01 -2.093780267e+02 -2.093780267e+02 +4.3691e-01 +4.4802e-01
919 +4.969601729e-01 +4.969601729e-01 -2.093830398e+02 -2.093830398e+02 +4.4413e-01 +4.4808e-01
1187 +4.891638697e-01 +4.891638697e-01 -2.093908361e+02 -2.093908361e+02 +4.4595e-01 +4.4803e-01
1390 +4.678721104e-01 +4.678721104e-01 -2.094121279e+02 -2.094121279e+02 +4.6062e-01 +4.4800e-01
1412 +4.674882555e-01 +4.674882555e-01 -2.094125117e+02 -2.094125117e+02 +4.6092e-01 +4.4800e-01
1445 +4.517513635e-01 +4.517513635e-01 -2.094282486e+02 -2.094282486e+02 +4.7553e-01 +4.4806e-01
1479 +4.315335829e-01 +4.315335829e-01 -2.094484664e+02 -2.094484664e+02 +4.9795e-01 +4.4790e-01
1504 +4.089829076e-01 +4.089829076e-01 -2.094710171e+02 -2.094710171e+02 +5.4188e-01 +4.4817e-01
1510 +3.857945047e-01 +3.857945047e-01 -2.094942055e+02 -2.094942055e+02 +5.4183e-01 +4.4812e-01
1526 +2.987105268e-01 +2.987105268e-01 -2.095812895e+02 -2.095812895e+02 +6.4317e-01 +4.4809e-01
1533 +2.587680787e-01 +2.587680787e-01 -2.096212319e+02 -2.096212319e+02 +6.8695e-01 +4.4799e-01
1549 +1.542448184e-01 +1.542448184e-01 -2.097257552e+02 -2.097257552e+02 +8.3610e-01 +4.4791e-01
1552 +1.387689632e-01 +1.387689632e-01 -2.097412310e+02 -2.097412310e+02 +9.7856e-01 +4.4770e-01
1568 +7.886958221e-02 +7.886958221e-02 -2.098011304e+02 -2.098011304e+02 +9.5016e-01 +4.4789e-01
1584 +5.610285755e-02 +5.610285755e-02 -2.098238971e+02 -2.098238971e+02 +9.9758e-01 +4.4810e-01
1602 +4.429731758e-02 +4.429731758e-02 -2.098357027e+02 -2.098357027e+02 +1.0495e+00 +4.4787e-01
1628 +1.320765111e-02 +1.320765111e-02 -2.098667923e+02 -2.098667923e+02 +1.1779e+00 +4.4812e-01
1650 +2.338359398e-03 +2.338359398e-03 -2.098776616e+02 -2.098776616e+02 +1.1646e+00 +4.4798e-01
1782 +7.742558753e-05 +7.742558753e-05 -2.098799226e+02 -2.098799226e+02 +1.2113e+00 +4.4799e-01
1952 +4.462628789e-05 +4.462628789e-05 -2.098799554e+02 -2.098799554e+02 +1.2063e+00 +4.4799e-01
1963 +7.825225424e-06 +7.825225424e-06 -2.098799922e+02 -2.098799922e+02 +1.2056e+00 +4.4800e-01
2002 +3.417679437e-06 +3.417679437e-06 -2.098799966e+02 -2.098799966e+02 +1.2090e+00 +4.4800e-01
2090 +2.041469372e-06 +2.041469372e-06 -2.098799980e+02 -2.098799980e+02 +1.2080e+00 +4.4800e-01
2118 +1.296708035e-06 +1.296708035e-06 -2.098799987e+02 -2.098799987e+02 +1.2064e+00 +4.4800e-01
2142 +1.085288574e-06 +1.085288574e-06 -2.098799989e+02 -2.098799989e+02 +1.2062e+00 +4.4800e-01
2156 +4.855561997e-08 +4.855561997e-08 -2.098800000e+02 -2.098800000e+02 +1.2070e+00 +4.4800e-01
2278 +5.937209835e-09 +5.937209835e-09 -2.098800000e+02 -2.098800000e+02 +1.2071e+00 +4.4800e-01
% function evaluation | noise-free fitness - Fopt (-9.209000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.430618442e+06 +6.430618442e+06 +6.430526352e+06 +6.430526352e+06 +0.0000e+00 +0.0000e+00
90 +8.364863768e+05 +8.364863768e+05 +8.363942868e+05 +8.363942868e+05 -4.6719e+00 +1.6827e+00
95 +3.250426688e+05 +3.250426688e+05 +3.249505788e+05 +3.249505788e+05 -4.3808e+00 +2.0104e+00
132 +2.356099666e+04 +2.356099666e+04 +2.346890666e+04 +2.346890666e+04 -4.0347e+00 +2.7791e+00
170 +1.688220747e+04 +1.688220747e+04 +1.679011747e+04 +1.679011747e+04 -4.0560e+00 +2.7567e+00
217 +1.340816121e+04 +1.340816121e+04 +1.331607121e+04 +1.331607121e+04 -4.1421e+00 +2.5070e+00
222 +1.418120690e+03 +1.418120690e+03 +1.326030690e+03 +1.326030690e+03 -4.0680e+00 +2.5864e+00
308 +1.087192403e+02 +1.087192403e+02 +1.662924033e+01 +1.662924033e+01 -3.7104e+00 +2.6309e+00
376 +1.971173098e+01 +1.971173098e+01 -7.237826902e+01 -7.237826902e+01 -3.6901e+00 +2.6221e+00
545 +1.840434961e+01 +1.840434961e+01 -7.368565039e+01 -7.368565039e+01 -3.5571e+00 +2.6218e+00
1280 +1.808827774e+01 +1.808827774e+01 -7.400172226e+01 -7.400172226e+01 -3.5220e+00 +2.6215e+00
1313 +1.749397514e+01 +1.749397514e+01 -7.459602486e+01 -7.459602486e+01 -3.4435e+00 +2.6218e+00
1341 +1.727302530e+01 +1.727302530e+01 -7.481697470e+01 -7.481697470e+01 -3.4046e+00 +2.6220e+00
1350 +1.626045543e+01 +1.626045543e+01 -7.582954457e+01 -7.582954457e+01 -3.1649e+00 +2.6226e+00
1351 +1.600104776e+01 +1.600104776e+01 -7.608895224e+01 -7.608895224e+01 -3.0548e+00 +2.6203e+00
1353 +1.317174146e+01 +1.317174146e+01 -7.891825854e+01 -7.891825854e+01 -2.8183e+00 +2.6207e+00
1366 +5.585301722e+00 +5.585301722e+00 -8.650469828e+01 -8.650469828e+01 -1.5160e+00 +2.6207e+00
1393 +1.443236597e-01 +1.443236597e-01 -9.194567634e+01 -9.194567634e+01 +5.6657e-01 +2.6213e+00
1430 +7.759397062e-02 +7.759397062e-02 -9.201240603e+01 -9.201240603e+01 +8.7585e-01 +2.6213e+00
1496 +1.461533017e-03 +1.461533017e-03 -9.208853847e+01 -9.208853847e+01 +7.4044e-01 +2.6216e+00
1602 +3.473889109e-04 +3.473889109e-04 -9.208965261e+01 -9.208965261e+01 +7.2140e-01 +2.6216e+00
1782 +1.948791809e-04 +1.948791809e-04 -9.208980512e+01 -9.208980512e+01 +7.1249e-01 +2.6216e+00
1826 +9.355268332e-06 +9.355268332e-06 -9.208999064e+01 -9.208999064e+01 +7.2593e-01 +2.6216e+00
1870 +3.181665662e-06 +3.181665662e-06 -9.208999682e+01 -9.208999682e+01 +7.2431e-01 +2.6216e+00
1946 +2.319978179e-06 +2.319978179e-06 -9.208999768e+01 -9.208999768e+01 +7.2522e-01 +2.6216e+00
1980 +1.055735424e-06 +1.055735424e-06 -9.208999894e+01 -9.208999894e+01 +7.2503e-01 +2.6216e+00
1987 +3.787531000e-08 +3.787531000e-08 -9.208999996e+01 -9.208999996e+01 +7.2541e-01 +2.6216e+00
2112 +3.039943408e-09 +3.039943408e-09 -9.209000000e+01 -9.209000000e+01 +7.2562e-01 +2.6216e+00
% function evaluation | noise-free fitness - Fopt (-8.789000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.325850294e+07 +1.325850294e+07 +1.325841505e+07 +1.325841505e+07 +0.0000e+00 +0.0000e+00
56 +1.209217564e+07 +1.209217564e+07 +1.209208775e+07 +1.209208775e+07 +2.2853e+00 +1.4977e-01
62 +7.086683034e+06 +7.086683034e+06 +7.086595144e+06 +7.086595144e+06 +1.9985e+00 +8.9686e-01
71 +4.975295215e+06 +4.975295215e+06 +4.975207325e+06 +4.975207325e+06 +1.5851e+00 +1.3679e+00
80 +8.326937727e+04 +8.326937727e+04 +8.318148727e+04 +8.318148727e+04 +2.1391e+00 +3.3587e+00
90 +6.312643210e+02 +6.312643210e+02 +5.433743210e+02 +5.433743210e+02 +2.3297e+00 +3.6692e+00
180 +6.268040193e+02 +6.268040193e+02 +5.389140193e+02 +5.389140193e+02 +8.8960e-01 +3.6692e+00
198 +3.849191074e+02 +3.849191074e+02 +2.970291074e+02 +2.970291074e+02 +1.9945e+00 +3.6656e+00
264 +2.165982797e+02 +2.165982797e+02 +1.287082797e+02 +1.287082797e+02 +1.7559e+00 +3.6602e+00
312 +1.109901417e+02 +1.109901417e+02 +2.310014168e+01 +2.310014168e+01 +1.4286e+00 +3.6561e+00
396 +2.912543737e+01 +2.912543737e+01 -5.876456263e+01 -5.876456263e+01 +1.5827e+00 +3.6509e+00
471 +1.814849389e+01 +1.814849389e+01 -6.974150611e+01 -6.974150611e+01 +1.7077e+00 +3.6419e+00
487 +4.859103710e+00 +4.859103710e+00 -8.303089629e+01 -8.303089629e+01 +1.6688e+00 +3.6473e+00
616 +3.301551947e+00 +3.301551947e+00 -8.458844805e+01 -8.458844805e+01 +1.7542e+00 +3.6445e+00
638 +3.226277975e+00 +3.226277975e+00 -8.466372203e+01 -8.466372203e+01 +1.7579e+00 +3.6466e+00
660 +2.134379813e+00 +2.134379813e+00 -8.575562019e+01 -8.575562019e+01 +1.7731e+00 +3.6458e+00
755 +2.072500034e+00 +2.072500034e+00 -8.581749997e+01 -8.581749997e+01 +1.7360e+00 +3.6455e+00
