% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.100943907e+07 +1.100943907e+07 +1.100922919e+07 +1.100922919e+07 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
222 +1.080629363e+07 +1.080629363e+07 +1.080608375e+07 +1.080608375e+07 +4.8645e-01 -8.5600e-01 -1.5207e+00 +9.3223e-02 +1.3332e+00 +2.7679e+00 +5.6077e-02 -3.1250e+00 -3.0265e-01 +1.9846e+00 +2.4406e+00 -2.2923e+00 +3.1392e+00 +1.5852e+00 -2.2713e+00 -2.8088e+00 +1.9386e+00 +9.5971e-01 +1.2690e+00 +2.7570e+00
226 +9.140437983e+06 +9.140437983e+06 +9.140228103e+06 +9.140228103e+06 +6.4642e-01 -1.5440e+00 -2.0774e+00 -6.9582e-01 +3.0876e-01 +2.0303e+00 +1.2836e+00 -3.0316e+00 +6.8087e-02 +1.8586e+00 +2.4087e+00 -2.1516e+00 +3.9930e+00 +1.0360e+00 -2.5517e+00 -2.3745e+00 +1.3086e+00 +2.6098e-01 +1.1168e-01 +3.0866e+00
232 +8.588677289e+06 +8.588677289e+06 +8.588467409e+06 +8.588467409e+06 +5.5858e-01 -1.7349e+00 -1.4544e+00 -9.0665e-01 +9.9015e-01 +2.2585e+00 +1.3228e+00 -2.5788e+00 +1.2662e+00 +2.2505e+00 +2.7383e+00 -2.4855e+00 +3.6132e+00 +1.0428e+00 -3.1237e+00 -2.5405e+00 +1.7417e+00 +7.8504e-01 +6.3422e-01 +2.4445e+00
250 +5.677174739e+06 +5.677174739e+06 +5.676964859e+06 +5.676964859e+06 +5.3377e-01 -1.8698e+00 -1.7461e+00 +3.3398e-01 +6.3955e-01 +2.5165e+00 +9.2345e-01 -2.5020e+00 +8.8178e-01 +2.1863e+00 +3.5068e+00 -2.4218e+00 +3.3097e+00 +1.8252e+00 -3.1969e+00 -2.3571e+00 +1.8301e+00 +2.9322e-01 -1.2448e+00 +2.3979e+00
273 +4.905282328e+06 +4.905282328e+06 +4.905072448e+06 +4.905072448e+06 +1.7405e+00 -2.5338e+00 -1.3939e+00 -6.3253e-01 +2.0545e+00 +2.6749e+00 +2.0461e+00 -2.7043e+00 +4.4195e-01 +1.5711e+00 +3.6574e+00 -2.1205e+00 +4.0295e+00 +9.4180e-01 -2.8316e+00 -3.3980e+00 +1.1604e+00 -2.8835e-01 -1.9944e+00 +2.1558e+00
288 +3.939752102e+06 +3.939752102e+06 +3.939542222e+06 +3.939542222e+06 +3.6533e-01 -1.5938e+00 -1.2748e+00 +9.5988e-01 +9.8763e-01 +1.7497e+00 +1.2689e+00 -2.5827e+00 +1.1418e+00 +2.9078e+00 +2.6162e+00 -2.8054e+00 +3.5368e+00 +8.8044e-01 -2.7945e+00 -3.2136e+00 +1.6903e+00 +1.7309e+00 -3.0045e+00 +2.7409e+00
308 +3.647296847e+06 +3.647296847e+06 +3.647086967e+06 +3.647086967e+06 +4.8972e-01 -1.6817e+00 -1.2202e+00 +1.4713e-01 +9.8102e-01 +2.1710e+00 +6.8616e-01 -2.8883e+00 +7.8029e-01 +2.1367e+00 +3.5938e+00 -2.4736e+00 +3.6379e+00 +8.2942e-01 -2.8536e+00 -2.9690e+00 +1.3875e+00 +1.1808e+00 -2.0534e+00 +2.4252e+00
311 +3.375776960e+06 +3.375776960e+06 +3.375567080e+06 +3.375567080e+06 +1.5778e+00 -1.7177e+00 -1.3021e+00 +6.9680e-01 +1.8143e+00 +1.7921e+00 +1.7046e-01 -1.8812e+00 +1.4388e+00 +3.2094e+00 +3.1673e+00 -2.5718e+00 +3.5634e+00 +6.2586e-01 -3.0618e+00 -3.2502e+00 +8.0625e-01 +1.2802e+00 -1.7774e+00 +2.5819e+00
330 +3.283679079e+06 +3.283679079e+06 +3.283469199e+06 +3.283469199e+06 +1.1429e+00 -1.2158e+00 -1.2916e+00 -1.5628e-01 +9.0693e-01 +2.3132e+00 +3.4080e-01 -2.3643e+00 +1.0427e+00 +2.2739e+00 +3.9339e+00 -2.2993e+00 +3.2870e+00 +8.9660e-01 -3.0110e+00 -3.3888e+00 +1.1007e+00 +1.0832e+00 -2.5497e+00 +2.3314e+00
339 +3.005175611e+06 +3.005175611e+06 +3.004965731e+06 +3.004965731e+06 +4.6371e-01 -7.5415e-01 -2.4786e+00 -6.4427e-01 +6.4334e-01 +1.9278e+00 +8.4581e-04 -2.9650e+00 +1.5613e+00 +2.2988e+00 +4.1368e+00 -1.8160e+00 +2.7107e+00 +1.2637e+00 -2.9635e+00 -2.8475e+00 -1.6486e-01 +3.2281e-01 -2.9830e+00 +1.9570e+00
360 +2.753840479e+06 +2.753840479e+06 +2.753630599e+06 +2.753630599e+06 +1.9143e+00 -1.0054e+00 -1.1603e+00 -1.6458e+00 +2.1098e+00 +1.1801e+00 -2.8974e-02 -1.7339e+00 +1.3394e+00 +2.5320e+00 +4.3403e+00 -2.4792e+00 +3.9198e+00 +1.1895e+00 -3.8342e+00 -3.2623e+00 +1.0501e+00 +2.0951e+00 -1.7323e+00 +1.6216e+00
362 +2.082392095e+06 +2.082392095e+06 +2.082182215e+06 +2.082182215e+06 +5.0696e-01 -8.4645e-02 -1.6752e+00 -1.1015e+00 +1.3934e+00 +3.0346e+00 +3.6256e-01 -2.8998e+00 +8.4154e-01 +1.7886e+00 +4.1887e+00 -1.6041e+00 +3.5290e+00 +1.0010e+00 -3.8974e+00 -3.6307e+00 +4.7654e-01 +1.8434e+00 -2.2575e+00 +2.1444e+00
368 +1.938464046e+06 +1.938464046e+06 +1.938254166e+06 +1.938254166e+06 +1.1220e+00 -1.5768e-01 -2.7924e+00 -1.4062e+00 +5.7570e-01 +2.7287e+00 +2.9061e-01 -1.8335e+00 +5.2852e-01 +2.0292e+00 +2.6948e+00 -1.8816e+00 +2.9765e+00 +1.4664e+00 -3.2622e+00 -1.0968e+00 +1.5914e-01 +2.4983e+00 -2.8142e+00 +2.0455e+00
374 +1.726839364e+06 +1.726839364e+06 +1.726629484e+06 +1.726629484e+06 +9.0306e-01 -8.0220e-01 -2.1421e+00 -7.7599e-01 +1.1570e+00 +2.6973e+00 +2.5778e-01 -2.0317e+00 +9.9858e-01 +2.4303e+00 +3.7441e+00 -2.1725e+00 +3.4157e+00 +1.1284e+00 -3.4433e+00 -3.0242e+00 +2.8507e-01 +2.0385e+00 -2.3417e+00 +1.9946e+00
398 +1.626790402e+06 +1.626790402e+06 +1.626580522e+06 +1.626580522e+06 +9.0658e-01 +1.0255e-01 -2.5308e+00 -3.0577e-01 +1.2470e+00 +3.1237e+00 +6.2013e-01 -1.1448e+00 +1.4189e+00 +1.8975e+00 +4.1079e+00 -1.3922e+00 +2.0966e+00 -8.6699e-01 -3.4208e+00 -3.2105e+00 +4.9751e-01 +2.5348e+00 -2.4709e+00 +1.8571e+00
