% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.773964217e+03 +1.773964217e+03 +1.803934217e+03 +1.803934217e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
491 +1.712905060e+03 +1.712905060e+03 +1.742875060e+03 +1.742875060e+03 +3.3160e+00 +6.2737e-01 -3.5892e+00 +1.2703e+00 -2.1371e+00 -1.1754e+00 +1.8989e+00 -3.1279e+00 -9.5819e-01 -2.8661e+00 +1.6363e+00 +1.7965e+00 +1.2905e+00 +1.5754e+00 -2.4505e+00 +1.2619e+00 +2.6342e-01 -1.4846e+00 -1.4419e+00 +1.0532e+00
506 +1.651313698e+03 +1.651313698e+03 +1.681283698e+03 +1.681283698e+03 +3.6795e+00 -8.1093e-02 -2.0891e+00 +8.2464e-01 -2.8351e+00 -1.2804e+00 +7.9593e-01 -3.2414e+00 +9.5854e-02 -2.1523e+00 +1.0901e+00 +1.5209e+00 +2.0583e+00 +2.2239e+00 -3.0379e+00 +2.6781e+00 +2.7526e-01 -1.5378e+00 -2.0180e+00 +5.4612e-02
528 +1.463391471e+03 +1.463391471e+03 +1.493361471e+03 +1.493361471e+03 +4.9508e+00 -1.7093e+00 -3.4237e+00 +3.6464e-01 -1.4723e+00 -7.3175e-01 -4.4621e-01 -3.9245e+00 -4.5262e-01 -2.7821e+00 +1.8335e+00 +1.7132e+00 +1.0164e+00 +3.3578e+00 -2.7792e+00 +3.2227e+00 -8.5887e-01 -1.9198e+00 -1.7214e+00 -5.2245e-01
550 +1.362865078e+03 +1.362865078e+03 +1.392835078e+03 +1.392835078e+03 +5.8533e+00 -7.7248e-01 -3.4340e+00 +6.3422e-01 +5.1707e-01 -7.9600e-01 -5.0689e-01 -3.4950e+00 -4.7474e-01 -2.4233e+00 +1.8498e+00 +1.5825e+00 +1.5199e+00 +3.2035e+00 -2.9475e+00 +2.0067e+00 -4.9974e-01 -1.4643e+00 -4.2900e-01 -7.8144e-01
572 +1.156553085e+03 +1.156553085e+03 +1.186523085e+03 +1.186523085e+03 +3.3966e+00 -2.3455e+00 -3.3088e+00 +1.8800e-01 +3.2949e-01 +6.2709e-01 -1.4079e+00 -4.6933e+00 -2.4491e-01 -2.2224e+00 +1.7010e+00 +7.1031e-01 +2.1040e+00 +3.3257e+00 -3.5885e+00 +2.3602e+00 -5.8473e-01 -1.7078e+00 -7.6084e-01 -1.5826e+00
594 +1.083696537e+03 +1.083696537e+03 +1.113666537e+03 +1.113666537e+03 +2.3479e+00 -2.4648e+00 -4.1851e+00 -4.2803e-01 +6.0829e-01 +4.5516e-01 -1.6124e+00 -3.1961e+00 -2.1317e-01 -1.4501e+00 +1.7266e+00 +1.1683e-01 +2.4300e+00 +3.2864e+00 -3.3066e+00 +3.2508e+00 -1.9091e+00 -2.1312e+00 -2.2825e+00 -1.8066e+00
638 +9.477429823e+02 +9.477429823e+02 +9.777129823e+02 +9.777129823e+02 +2.1491e+00 -3.2941e-01 -6.6455e+00 -6.3631e-02 +2.4113e+00 +1.3747e+00 -1.7238e+00 -2.1358e+00 -1.2819e+00 -2.7761e+00 +1.4406e+00 +1.6556e-01 +2.2280e+00 +2.4060e+00 -2.8633e+00 +3.3313e+00 -1.2787e+00 -1.0525e+00 -2.2859e-01 -3.3438e+00
682 +8.408779071e+02 +8.408779071e+02 +8.708479071e+02 +8.708479071e+02 +2.5061e+00 -1.9848e-01 -4.6696e+00 -4.8639e-01 +1.7416e+00 +1.8904e+00 -1.6657e+00 -2.3355e+00 -1.5569e+00 -3.4778e+00 +9.5445e-01 -8.1620e-02 +2.2611e+00 +3.7720e+00 -2.6675e+00 +3.1612e+00 -1.9359e+00 -4.5425e-01 +3.2035e-01 -3.0098e+00
726 +7.116606571e+02 +7.116606571e+02 +7.416306571e+02 +7.416306571e+02 +3.0298e+00 -2.0809e+00 -5.6730e+00 -1.4044e+00 +2.4633e+00 +2.0627e+00 -2.3998e+00 -1.8588e+00 +1.8274e-01 -2.4497e+00 +1.6295e+00 -4.6128e-01 +2.1257e+00 +3.3675e+00 -1.9957e+00 +2.5115e+00 -1.4598e+00 -1.0230e+00 +5.5471e-01 -3.0740e+00
