% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.707168231e+01 +3.707168231e+01 +2.013168231e+01 +2.013168231e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.544776293e+01 +1.544776293e+01 +3.425776293e+01 +3.425776293e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
286 +1.441619493e+01 +1.441619493e+01 +3.322619493e+01 +3.322619493e+01 +5.1827e+00 -2.0574e+00 +3.2424e-01 -1.2376e+00 -2.6004e+00 -5.1573e+00 +3.0365e+00 -8.7637e-01 -2.4204e-01 +3.5472e+00 -9.5223e-01 +3.8802e+00 +5.8295e-01 +5.6110e-01 +2.5494e+00 +5.0008e+00 +4.0420e-01 +2.2874e+00 -3.6687e+00 -1.8861e+00
323 +1.264309940e+01 +1.264309940e+01 +3.145309940e+01 +3.145309940e+01 +5.1311e+00 -2.2070e+00 -5.4688e-01 -1.3479e+00 -1.8203e+00 -5.1081e+00 +2.9535e+00 -1.1847e+00 +2.2161e-01 +3.6587e+00 -1.9606e+00 +3.8870e+00 +3.3146e-01 +1.6240e-02 +2.6707e+00 +3.8468e+00 -8.4557e-04 +3.0579e+00 -3.6693e+00 -1.7075e+00
354 +9.910779890e+00 +9.910779890e+00 +2.872077989e+01 +2.872077989e+01 +4.1037e+00 -1.7169e+00 +2.2159e-02 -2.2546e+00 -5.5379e-01 -3.2989e+00 +3.4397e+00 -1.4346e+00 -1.3343e-01 +3.4956e+00 -1.4871e+00 +3.8292e+00 +8.3636e-01 +1.0665e+00 +2.8950e+00 +3.1575e+00 +4.9738e-01 +2.9853e+00 -3.7898e+00 -1.5717e+00
488 +8.841907378e+00 +8.841907378e+00 +2.765190738e+01 +2.765190738e+01 +2.4968e+00 -1.3068e+00 +9.0955e-01 -8.6523e-01 -6.4230e-01 -3.9303e+00 +2.3390e+00 -1.0971e+00 +1.2434e-01 +4.0537e+00 -2.3621e+00 +3.8434e+00 +1.6384e+00 +5.4582e-01 +1.5565e+00 +2.6428e+00 -9.0051e-01 +3.9400e+00 -2.2614e+00 -1.2562e+00
548 +7.553277536e+00 +7.553277536e+00 +2.636327754e+01 +2.636327754e+01 +4.3611e+00 -2.3598e+00 -1.4013e-01 -1.8392e+00 -2.2150e+00 -2.5385e+00 +3.6310e+00 -1.2506e+00 -7.9490e-01 +3.4310e+00 -2.2392e+00 +3.7499e+00 +1.6154e+00 +4.5971e-01 +1.0275e+00 +2.2205e+00 -1.8078e+00 +3.7081e+00 -2.1508e+00 +3.1352e-01
594 +6.738928287e+00 +6.738928287e+00 +2.554892829e+01 +2.554892829e+01 +1.3461e+00 -9.6716e-01 +3.3906e-01 -1.4596e+00 -1.3084e+00 -1.6681e+00 +3.0766e+00 -7.0015e-01 -7.4295e-01 +3.6625e+00 -2.7971e+00 +4.3278e+00 +1.4176e+00 +6.9265e-01 +1.3890e+00 +1.0269e+00 -9.4018e-01 +3.4819e+00 -2.2355e+00 -2.1475e-01
686 +6.451057527e+00 +6.451057527e+00 +2.526105753e+01 +2.526105753e+01 +3.4364e+00 -2.2693e-01 -3.9900e-02 -1.4902e+00 -1.1517e+00 -2.4905e+00 +2.2375e+00 -4.3434e-01 +2.6803e-01 +4.3521e+00 -2.8130e+00 +3.9964e+00 +2.9228e+00 +4.3300e-01 +2.5751e-01 +1.4395e+00 -2.0271e+00 +4.2581e+00 +9.3173e-02 -1.2125e+00
