% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.396983841e+02 +6.396983841e+02 +1.776083841e+02 +1.776083841e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
503 +6.215494520e+02 +6.215494520e+02 +1.594594520e+02 +1.594594520e+02 -9.5039e-01 -4.7012e+00 +2.5427e+00 -9.8354e-01 -8.6173e-01 -6.8220e-01 -3.3810e+00 +4.3552e-01 -2.8579e+00 -2.1247e+00 +1.4444e+00 -2.9379e+00 -1.7824e+00 -2.8388e+00 +9.8249e-01 -2.6033e+00 -1.1893e+00 +3.5611e-01 +8.7799e-01 -3.1809e-01
515 +6.066593818e+02 +6.066593818e+02 +1.445693818e+02 +1.445693818e+02 +4.2937e-01 -2.3747e+00 +2.2110e+00 -1.4783e+00 +9.7210e-01 +1.0529e+00 -3.1644e+00 +1.4325e+00 -1.7181e+00 -1.0576e+00 +2.6736e+00 -1.4012e+00 -1.6657e+00 -2.9078e+00 -5.5006e-02 -1.9688e+00 -8.1341e-01 -3.5886e-01 +2.0822e-01 -1.4472e+00
520 +5.044432237e+02 +5.044432237e+02 +4.235322375e+01 +4.235322375e+01 +9.4270e-01 -3.0979e+00 +2.1872e+00 -8.1338e-02 -2.3328e+00 +2.0443e-01 -3.5013e+00 +6.8934e-01 -3.1180e+00 -2.2369e+00 +1.0537e+00 -2.1398e+00 -1.0693e+00 -3.5077e+00 +1.2737e+00 -1.2829e+00 -7.8359e-01 +3.1984e+00 +1.2482e+00 +7.9186e-01
554 +4.831674855e+02 +4.831674855e+02 +2.107748552e+01 +2.107748552e+01 +2.3066e+00 -1.1413e-01 +6.2684e-01 -2.1163e+00 -7.9487e-01 +5.6701e-02 -1.5422e+00 +1.2159e+00 -1.0451e+00 -8.1574e-01 +1.2213e+00 -9.6160e-01 +1.3833e-01 -3.2781e+00 +1.3601e+00 -3.6884e+00 -1.7947e+00 +7.1701e-01 +1.1937e+00 -1.9770e-01
594 +4.137230509e+02 +4.137230509e+02 -4.836694913e+01 -4.836694913e+01 +1.5115e+00 -2.3014e+00 +1.3266e+00 -2.1538e+00 -8.3821e-01 +6.2667e-02 -2.0911e+00 +1.7554e+00 -1.5805e+00 -1.4564e+00 +1.1153e+00 -1.6500e+00 -8.6746e-01 -3.3386e+00 +4.3610e-01 -2.4396e+00 -1.3974e+00 +1.6330e+00 +1.5909e+00 +9.8569e-01
688 +3.782028841e+02 +3.782028841e+02 -8.388711595e+01 -8.388711595e+01 +1.7967e+00 -6.2075e-01 +8.1537e-01 -7.6768e-01 -6.7598e-01 -6.9131e-01 -1.0834e+00 +1.9068e+00 -6.2588e-01 -1.6840e+00 +1.5865e+00 -1.5301e+00 -1.6205e+00 -3.0268e+00 -4.4492e-01 -2.2903e+00 -1.0203e+00 +1.2906e+00 +2.3825e+00 +1.1958e+00
717 +3.651319517e+02 +3.651319517e+02 -9.695804827e+01 -9.695804827e+01 +2.1302e+00 -1.2249e-01 +1.1328e+00 -5.9146e-01 -2.2084e+00 -2.3654e-01 -1.5522e+00 +2.0576e+00 -1.3839e+00 -1.4121e+00 +2.0562e+00 -4.9876e-01 -6.7611e-01 -3.4782e+00 +1.3535e+00 -2.9590e+00 -1.0939e+00 +2.3063e+00 +2.0641e+00 +2.0440e+00
728 +3.024174478e+02 +3.024174478e+02 -1.596725522e+02 -1.596725522e+02 +1.2439e+00 +3.7059e-01 +1.3395e+00 -8.5322e-01 -1.8769e+00 +1.0452e-01 -2.4105e+00 +1.7009e+00 -5.5569e-01 -1.1428e+00 +3.8603e-01 -1.7241e+00 -1.6298e+00 -3.9272e+00 +1.1086e+00 -3.0736e+00 -4.7955e-01 +2.1864e+00 +2.5445e+00 +1.3217e+00
772 +2.989073214e+02 +2.989073214e+02 -1.631826786e+02 -1.631826786e+02 +7.5027e-01 +8.7261e-01 +1.1624e+00 -6.9712e-01 -1.6152e+00 +8.9478e-01 -2.3079e+00 +2.3587e+00 -1.9331e-01 -1.4120e+00 +1.2753e+00 -2.2770e+00 -1.3003e+00 -2.7613e+00 +1.0232e+00 -3.0008e+00 -7.9661e-01 +2.6415e+00 +2.0283e+00 +1.5575e+00
827 +2.805303606e+02 +2.805303606e+02 -1.815596394e+02 -1.815596394e+02 +3.8612e-01 -1.3805e+00 +9.7838e-01 -1.8674e+00 -2.0499e+00 -1.7777e-01 -8.4629e-01 +1.3623e+00 +6.1901e-01 -3.7580e-01 +1.2467e+00 -2.0252e+00 -3.2128e-01 -3.4854e+00 +7.8485e-01 -2.3398e+00 +2.1622e-01 +3.0875e+00 +2.0354e+00 +2.1529e+00
836 +2.687287253e+02 +2.687287253e+02 -1.933612747e+02 -1.933612747e+02 +7.1053e-01 +6.6361e-01 +1.1904e+00 -1.9127e+00 -1.7844e+00 +9.0613e-01 -1.0978e+00 +2.0505e+00 +2.4003e-01 -5.9756e-01 +1.4812e+00 -2.0747e+00 -4.4178e-01 -2.9928e+00 +5.9958e-01 -3.0224e+00 -6.5225e-01 +2.7059e+00 +2.0057e+00 +1.7578e+00
954 +2.563454440e+02 +2.563454440e+02 -2.057445560e+02 -2.057445560e+02 +2.3973e+00 +4.9197e-01 +2.4287e+00 -1.8709e+00 -1.1183e-01 +1.0316e+00 -8.0309e-01 +1.9185e+00 +1.0865e+00 -5.5368e-01 +1.8094e+00 -2.7215e+00 -4.0679e-01 -2.9035e+00 +5.9689e-01 -4.1105e+00 -4.6700e-01 +3.1262e+00 +2.6238e+00 +1.0029e+00
1012 +2.436539846e+02 +2.436539846e+02 -2.184360154e+02 -2.184360154e+02 +1.5175e+00 -4.5107e-01 +2.0284e+00 -1.8840e+00 -8.4723e-01 +7.5202e-01 +6.5230e-01 +1.4488e+00 +1.3874e+00 -1.4859e+00 +1.6747e+00 -2.6870e+00 -7.0819e-01 -3.1472e+00 +5.0760e-01 -3.8461e+00 -4.6742e-01 +3.1559e+00 +2.3734e+00 +9.3262e-01
1247 +2.353371004e+02 +2.353371004e+02 -2.267528996e+02 -2.267528996e+02 +4.4509e-01 +7.2874e-01 +2.5677e-01 -1.7800e+00 -1.5602e-02 +1.9575e+00 +2.3542e+00 +1.4023e+00 +2.3769e-01 -4.9721e-01 +2.1282e+00 -2.4195e+00 +3.6088e-01 -2.7546e+00 +1.0127e+00 -3.8210e+00 -1.5290e-01 +1.8591e+00 +1.8574e+00 +2.0989e+00
1256 +2.168572681e+02 +2.168572681e+02 -2.452327319e+02 -2.452327319e+02 +1.2946e-01 +3.6710e-01 +1.1921e+00 +4.8925e-02 +3.7311e-01 +2.1307e+00 +1.6700e+00 +1.7744e+00 +9.1829e-01 -3.5602e-01 +1.2624e+00 -2.2832e+00 -3.4457e-01 -1.7578e+00 +1.0384e+00 -3.6639e+00 -4.6547e-02 +2.9836e+00 +1.1416e+00 +2.2107e+00
1264 +1.830026345e+02 +1.830026345e+02 -2.790873655e+02 -2.790873655e+02 +7.4326e-02 -4.6472e-01 +5.3352e-01 -8.7887e-01 +7.8270e-01 +1.9766e+00 +1.3867e+00 +1.4660e+00 +6.5491e-01 -6.3042e-01 +1.8944e+00 -2.1153e+00 -1.2611e+00 -3.5341e+00 +1.2367e+00 -3.9414e+00 +1.0844e-03 +3.3819e+00 +1.9952e+00 +1.4797e+00
1547 +1.741513709e+02 +1.741513709e+02 -2.879386291e+02 -2.879386291e+02 +5.7733e-01 +1.5628e-01 +2.1397e+00 -7.8937e-01 +5.0885e-01 +2.9387e+00 +2.2321e+00 +2.5957e+00 +6.2981e-01 +6.6842e-01 +2.1621e+00 -3.2984e+00 -3.1716e-01 -4.2481e+00 +1.0245e+00 -3.7160e+00 -7.1874e-01 +4.4758e+00 +1.8391e+00 +1.4203e+00
1874 +1.722714254e+02 +1.722714254e+02 -2.898185746e+02 -2.898185746e+02 +3.2856e-01 -4.8887e-01 +1.0753e+00 +4.2948e-02 +7.1783e-01 +3.1259e+00 +2.5075e+00 +1.7205e+00 +8.9060e-01 +5.5472e-01 +1.4317e+00 -2.2834e+00 +1.1398e-01 -4.2708e+00 +9.3565e-01 -3.9438e+00 -4.6282e-01 +3.5689e+00 +2.5151e+00 +1.8563e+00
2411 +1.475293092e+02 +1.475293092e+02 -3.145606908e+02 -3.145606908e+02 +2.7311e-01 +1.5696e+00 +5.5063e-01 -1.2559e-01 +8.6310e-01 +2.8762e+00 +1.6656e+00 +1.8856e+00 +5.3118e-01 +6.1327e-01 +1.1575e+00 -2.0920e+00 -3.0997e-02 -4.1497e+00 +1.0112e+00 -3.9373e+00 -8.3218e-01 +3.3164e+00 +2.1548e+00 +2.0951e+00
2446 +1.336108208e+02 +1.336108208e+02 -3.284791792e+02 -3.284791792e+02 +4.2171e-01 +1.5182e+00 +5.4487e-01 -1.5598e-01 +9.2689e-01 +3.0047e+00 +1.8802e+00 +2.0094e+00 +6.1102e-01 +5.3137e-01 +1.2056e+00 -2.2763e+00 +6.9611e-02 -3.9661e+00 +1.3328e+00 -3.7823e+00 -1.2176e-01 +3.6555e+00 +2.0540e+00 +1.8853e+00
2904 +1.106362504e+02 +1.106362504e+02 -3.514537496e+02 -3.514537496e+02 +5.0179e-01 +8.6353e-01 +4.9282e-01 -4.2899e-02 +7.9264e-01 +2.9071e+00 +1.6509e+00 +1.9737e+00 +6.6466e-01 +6.3654e-01 +1.2150e+00 -2.2814e+00 +1.1837e-01 -3.4329e+00 +9.8494e-01 -4.7656e+00 -1.9191e-02 +3.2869e+00 +2.4678e+00 +1.9095e+00
3471 +1.029853441e+02 +1.029853441e+02 -3.591046559e+02 -3.591046559e+02 +3.3031e-01 +5.2293e-01 +5.4743e-01 -1.6530e-01 +8.3598e-01 +2.9141e+00 +2.1152e+00 +1.9012e+00 +9.7856e-01 +5.9886e-01 +1.3725e+00 -2.2895e+00 -2.9684e-01 -3.4801e+00 +1.3544e+00 -4.2361e+00 -1.3724e-02 +3.3628e+00 +2.5115e+00 +2.1318e+00
