% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.831961742e+04 +1.831961742e+04 +1.777311742e+04 +1.777311742e+04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
332 +1.459833730e+04 +1.459833730e+04 +1.405183730e+04 +1.405183730e+04 +5.4317e-01 -2.3631e+00 -1.6902e+00 -3.3279e+00 +1.7933e+00 -3.1882e+00 -2.0811e+00 +7.1537e-01 -1.1347e+00 +4.3722e-01 +1.3300e+00 -1.3515e+00 -7.7194e-01 -3.3615e+00 -1.0232e+00 -2.8153e-01 +3.1693e+00 +5.0913e-01 -2.9424e+00 -2.3368e-01
362 +9.374979416e+03 +9.374979416e+03 +8.828479416e+03 +8.828479416e+03 +1.3190e+00 -1.1472e+00 -1.0747e+00 -3.5406e+00 +1.2762e+00 -4.0320e+00 -1.8568e+00 +5.2245e-01 -1.2810e-01 -2.3789e-01 +1.2814e+00 -3.6601e-01 -1.3477e-01 -2.7610e+00 +1.4070e+00 -3.6693e-01 +3.4268e+00 +1.1824e+00 -3.1372e+00 +1.3332e+00
374 +6.050650793e+03 +6.050650793e+03 +5.504150793e+03 +5.504150793e+03 +9.0434e-01 -1.6760e+00 -1.1063e+00 -3.4557e+00 +1.5945e+00 -3.6855e+00 -1.7896e+00 +1.1980e+00 -9.3903e-01 +1.2422e-01 +1.2104e+00 -1.1571e+00 -1.7199e-01 -3.4774e+00 -1.6296e-02 -7.3940e-01 +2.9427e+00 +2.2562e-01 -2.8785e+00 +1.0826e+00
396 +2.910079988e+03 +2.910079988e+03 +2.363579988e+03 +2.363579988e+03 +1.0887e+00 -1.2906e+00 -1.1113e+00 -3.3155e+00 +1.3934e+00 -3.3757e+00 -1.6394e+00 +9.6800e-01 -1.1025e+00 +3.1349e-01 +1.1321e+00 -8.4274e-01 +5.5888e-01 -3.2218e+00 +1.3260e+00 -1.1865e+00 +2.8282e+00 -4.8879e-02 -3.0468e+00 +6.2488e-01
418 +2.220970042e+03 +2.220970042e+03 +1.674470042e+03 +1.674470042e+03 +1.4028e+00 -1.5262e+00 -7.9106e-01 -3.7296e+00 +1.8242e+00 -3.4779e+00 -1.2959e+00 +1.6161e+00 -1.1784e+00 +2.8190e-01 +9.3940e-01 -6.8674e-01 +7.3224e-01 -2.8081e+00 +1.5623e+00 -1.7750e+00 +2.3193e+00 -3.4759e-01 -1.8730e+00 +3.8698e-01
440 +1.382006955e+03 +1.382006955e+03 +8.355069551e+02 +8.355069551e+02 +1.2664e+00 -1.6305e+00 -7.6881e-01 -3.4073e+00 +1.3816e+00 -3.0313e+00 -1.0007e+00 +1.7070e+00 -1.0592e+00 +1.0872e+00 +8.6105e-01 -7.1226e-02 +4.5677e-01 -2.5180e+00 +1.1735e+00 -1.3430e+00 +2.1698e+00 +1.4696e-01 -1.5391e+00 +6.8834e-01
448 +1.027622324e+03 +1.027622324e+03 +4.811223240e+02 +4.811223240e+02 -3.5694e-01 -1.0577e+00 -7.4415e-01 -3.9318e+00 +2.7773e-01 -3.2924e+00 -1.3285e+00 +1.5654e+00 +3.7528e-02 +2.0817e+00 +8.7701e-01 +1.8246e+00 +2.3588e+00 -2.7438e+00 +1.5740e+00 -2.0733e+00 +1.6371e+00 -8.9090e-01 -2.1584e+00 +1.1335e+00
462 +1.448474499e+02 +1.448474499e+02 -4.016525501e+02 -4.016525501e+02 +1.1024e+00 -1.7620e+00 -1.1179e+00 -3.4853e+00 +1.4862e+00 -2.6697e+00 -3.5145e-01 +2.1822e+00 -1.4820e-01 +7.1195e-01 +9.5367e-01 +1.0699e+00 +9.7541e-01 -2.7083e+00 +1.4766e+00 -1.8825e+00 +1.7849e+00 -8.0151e-01 -1.6923e+00 +1.4608e+00
506 +7.561736122e+00 +7.561736122e+00 -5.389382639e+02 -5.389382639e+02 +1.2351e+00 -1.3532e+00 -5.3580e-01 -3.1215e+00 +1.5787e+00 -2.5847e+00 -9.8967e-01 +1.4371e+00 +5.7300e-01 +1.2708e+00 +8.3302e-01 +1.9976e+00 +1.0554e+00 -1.6387e+00 +4.9988e-01 -7.8258e-01 +2.3854e+00 -1.1981e+00 -1.5200e+00 +1.8284e+00
616 +3.710114126e+00 +3.710114126e+00 -5.427898859e+02 -5.427898859e+02 +3.9133e-01 -1.5466e+00 -5.3774e-01 -3.0183e+00 +1.6683e+00 -2.1570e+00 -2.1475e+00 +2.2430e+00 +2.2613e-01 +4.5272e-01 +8.4068e-01 +2.0742e+00 +2.2075e+00 -1.6676e+00 +1.8847e+00 -1.8734e+00 +1.5587e+00 -1.2462e+00 -1.7895e+00 +2.1786e+00
