% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.960016909e+06 +4.960016909e+06 +4.959961969e+06 +4.959961969e+06 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
126 +4.851482222e+06 +4.851482222e+06 +4.851427282e+06 +4.851427282e+06 -2.1948e+00 -1.4130e-01 +8.8646e-01 +6.4068e-01 +5.8872e+00 +1.2124e+00 -1.2417e+00 -4.9194e+00 -3.2161e+00 +3.0861e+00 +3.1403e+00 -5.9401e-01 +1.1314e+00 -3.1462e+00 +3.5125e+00 +2.3741e-01 -6.1025e-01 -1.4273e+00 +2.5854e+00 +3.9118e+00
127 +4.623505944e+06 +4.623505944e+06 +4.623451004e+06 +4.623451004e+06 -2.2925e+00 -3.3974e-01 +1.1693e+00 +6.3869e-01 +6.0194e+00 +1.2444e+00 -1.3538e+00 -4.6535e+00 -3.0380e+00 +3.5698e+00 +3.3748e+00 -6.5550e-01 +1.0832e+00 -2.9119e+00 +3.5475e+00 +2.6092e-01 -3.1265e-01 -1.3038e+00 +2.4439e+00 +3.3140e+00
134 +4.467037258e+06 +4.467037258e+06 +4.466982318e+06 +4.466982318e+06 -2.1122e+00 -2.2224e-01 +8.9443e-01 +7.4009e-01 +6.0504e+00 +1.1282e+00 -1.2872e+00 -4.4614e+00 -3.1088e+00 +3.1285e+00 +3.5030e+00 -6.4260e-01 +1.1085e+00 -2.9395e+00 +3.3131e+00 +4.1760e-02 -1.8706e-01 -1.3780e+00 +2.4743e+00 +3.1360e+00
135 +3.915254649e+06 +3.915254649e+06 +3.915199709e+06 +3.915199709e+06 -2.4599e+00 -4.5617e-01 +1.0944e+00 +3.6098e-01 +5.6466e+00 +1.3266e+00 -1.6049e+00 -4.5977e+00 -2.9412e+00 +3.1193e+00 +3.0653e+00 -1.0071e+00 +8.5121e-01 -3.2142e+00 +3.6952e+00 +9.0108e-02 -5.2381e-01 -1.3908e+00 +2.4603e+00 +3.4759e+00
142 +3.583484153e+06 +3.583484153e+06 +3.583429213e+06 +3.583429213e+06 -2.4359e+00 -4.5857e-01 +1.0851e+00 +7.4615e-01 +6.2288e+00 +1.4690e+00 -1.2435e+00 -5.0337e+00 -3.1730e+00 +3.1301e+00 +3.0599e+00 -8.2305e-01 +9.2134e-01 -3.1104e+00 +3.5947e+00 +3.3849e-01 -4.0712e-01 -1.5598e+00 +2.5590e+00 +3.2173e+00
158 +3.418603939e+06 +3.418603939e+06 +3.418548999e+06 +3.418548999e+06 -2.2400e+00 -8.5124e-01 +1.3865e+00 +5.2174e-01 +6.4163e+00 +1.6025e+00 -1.2248e+00 -4.5755e+00 -2.8648e+00 +3.3380e+00 +3.2485e+00 -4.2291e-01 +8.6775e-01 -3.5559e+00 +3.5523e+00 +3.0064e-01 -1.1002e-01 -1.1208e+00 +2.2523e+00 +3.6403e+00
165 +3.107175111e+06 +3.107175111e+06 +3.107120171e+06 +3.107120171e+06 -1.6057e+00 -3.9876e-01 +8.4902e-01 +7.5568e-01 +5.5017e+00 +1.5398e+00 -8.9265e-01 -4.9329e+00 -3.4683e+00 +3.4054e+00 +3.0949e+00 -1.1901e+00 +8.6732e-01 -3.5337e+00 +4.0395e+00 +2.4727e-01 -6.4468e-01 -1.3935e+00 +2.4888e+00 +3.2988e+00
167 +2.396847278e+06 +2.396847278e+06 +2.396792338e+06 +2.396792338e+06 -2.2071e+00 -4.2552e-01 +7.5709e-01 +7.9436e-01 +5.9202e+00 +1.7607e+00 -1.4253e+00 -4.9841e+00 -2.8543e+00 +3.1201e+00 +3.0582e+00 -6.1034e-01 +1.2549e+00 -3.1548e+00 +3.7622e+00 +3.5159e-01 +7.2124e-01 -1.3813e+00 +2.3357e+00 +3.1508e+00
189 +2.180990538e+06 +2.180990538e+06 +2.180935598e+06 +2.180935598e+06 -1.6181e+00 -9.6911e-01 +8.8387e-01 +7.0818e-01 +5.9392e+00 +1.2253e+00 -1.1852e+00 -5.0385e+00 -2.5912e+00 +3.0307e+00 +3.5362e+00 -7.7808e-01 +1.1388e+00 -3.3751e+00 +4.2219e+00 +4.7064e-01 +7.2898e-01 -1.8104e+00 +2.4508e+00 +3.1736e+00
205 +1.827407740e+06 +1.827407740e+06 +1.827352800e+06 +1.827352800e+06 -1.9863e+00 -8.3004e-01 +6.4050e-01 +1.0382e+00 +5.5348e+00 +1.3056e+00 -8.3370e-01 -5.0976e+00 -2.7616e+00 +3.0608e+00 +2.8783e+00 -9.3926e-01 +4.2963e-01 -3.3792e+00 +4.1543e+00 +4.5390e-01 +1.3171e+00 -1.7599e+00 +2.3749e+00 +3.3784e+00
222 +1.735545035e+06 +1.735545035e+06 +1.735490095e+06 +1.735490095e+06 -2.5718e+00 -3.9215e-01 +2.8942e-01 +1.0263e+00 +5.6284e+00 +1.5193e+00 -7.7839e-01 -4.9774e+00 -3.0389e+00 +3.0163e+00 +2.4135e+00 -1.0589e+00 +1.2779e+00 -2.1449e+00 +3.4816e+00 +6.4241e-01 +1.8127e+00 -1.7045e+00 +2.0378e+00 +3.7282e+00
223 +1.619523444e+06 +1.619523444e+06 +1.619468504e+06 +1.619468504e+06 -1.4574e+00 -1.4519e+00 +4.5930e-01 +1.4018e+00 +5.3119e+00 +1.7583e+00 -1.5651e+00 -4.5611e+00 -3.0821e+00 +3.0119e+00 +3.2719e+00 -2.7023e-01 +1.2591e+00 -3.5740e+00 +4.5192e+00 +2.2418e-01 +1.3500e+00 -1.7811e+00 +2.5715e+00 +3.9182e+00
226 +1.472886139e+06 +1.472886139e+06 +1.472831199e+06 +1.472831199e+06 -3.2324e+00 -1.2497e+00 -2.0687e-01 +1.2115e+00 +5.9179e+00 +2.0011e+00 -6.1410e-01 -4.7974e+00 -2.0971e+00 +2.5413e+00 +3.0692e+00 -6.4271e-01 +1.7690e+00 -3.3526e+00 +3.5214e+00 -2.2932e-01 +1.4400e+00 -2.1340e+00 +2.5135e+00 +2.9100e+00
278 +1.282193665e+06 +1.282193665e+06 +1.282138725e+06 +1.282138725e+06 -2.2438e+00 -1.8649e+00 -3.9871e-01 +1.8013e+00 +5.4011e+00 +1.3302e+00 -1.6753e+00 -4.0547e+00 -3.2972e+00 +2.5359e+00 +2.5388e+00 -5.8966e-01 +5.3289e-01 -2.9948e+00 +4.0292e+00 +9.2930e-02 +2.3416e+00 -2.6994e+00 +2.0623e+00 +3.4506e+00
302 +1.236154028e+06 +1.236154028e+06 +1.236099088e+06 +1.236099088e+06 -2.1307e+00 -2.1091e+00 -5.4648e-01 +2.6082e+00 +5.6060e+00 +1.1264e+00 +5.3591e-01 -4.0571e+00 -2.7925e+00 +2.1234e+00 +3.3395e+00 +1.6281e-01 +4.4434e-01 -3.1835e+00 +4.0400e+00 -9.0860e-01 +2.4691e+00 -2.2552e+00 +2.3178e+00 +4.2063e+00
303 +9.849691326e+05 +9.849691326e+05 +9.849141926e+05 +9.849141926e+05 -2.4220e+00 -1.4091e+00 -2.9560e-01 +1.5215e+00 +5.3887e+00 +8.8763e-01 -9.0057e-01 -4.6776e+00 -3.2238e+00 +2.3823e+00 +3.7544e+00 -6.0982e-01 +2.4275e-01 -3.4804e+00 +2.7488e+00 +8.0294e-01 +2.1299e+00 -2.2713e+00 +1.4510e+00 +3.3575e+00
329 +8.722894240e+05 +8.722894240e+05 +8.722344840e+05 +8.722344840e+05 -2.6222e+00 -1.0898e+00 -9.0383e-01 +1.0434e+00 +6.0257e+00 +1.6124e+00 -4.2486e-01 -3.9235e+00 -3.3457e+00 +1.6777e+00 +1.9615e+00 -5.3282e-01 -3.4079e-01 -3.0364e+00 +3.2204e+00 +1.1977e+00 +2.8197e+00 -2.0455e+00 +1.4799e+00 +4.1610e+00
349 +7.357571271e+05 +7.357571271e+05 +7.357021871e+05 +7.357021871e+05 -2.3126e+00 -6.5369e-01 -1.4633e+00 +1.1891e+00 +3.7998e+00 +2.0802e+00 -2.6688e-01 -3.8221e+00 -3.9919e+00 +1.9493e+00 +2.1325e+00 -2.0412e-01 +2.9879e-01 -2.2930e+00 +3.5742e+00 +2.9336e-01 +2.0271e+00 -1.6057e+00 +2.0736e+00 +3.6324e+00
355 +4.647473829e+05 +4.647473829e+05 +4.646924429e+05 +4.646924429e+05 -2.7830e+00 -1.9405e+00 -7.0558e-01 +1.7199e+00 +5.0905e+00 +2.2965e+00 -6.7910e-01 -3.7682e+00 -4.4633e+00 +5.4039e-01 +2.5371e+00 -1.3672e-01 +3.4620e-02 -2.9358e+00 +3.2667e+00 +1.3187e+00 +3.2189e+00 -2.2094e+00 +2.5497e+00 +5.1039e+00
396 +4.217534915e+05 +4.217534915e+05 +4.216985515e+05 +4.216985515e+05 -2.6899e+00 -1.4627e+00 -7.7787e-01 +1.7815e+00 +4.6177e+00 +1.6522e+00 -8.8319e-01 -3.7202e+00 -4.2380e+00 +2.6010e+00 +2.8066e+00 +1.9516e-01 +7.3694e-01 -2.3168e+00 +3.4878e+00 +7.4154e-01 +2.9861e+00 -2.1862e+00 +2.5200e+00 +4.2285e+00
440 +3.862410882e+05 +3.862410882e+05 +3.861861482e+05 +3.861861482e+05 -2.8197e+00 -1.8541e+00 -6.6343e-01 +2.3543e+00 +4.4622e+00 +1.6367e+00 -1.2250e+00 -3.3715e+00 -4.1980e+00 +2.3928e+00 +2.8298e+00 +1.3429e-01 +6.1569e-01 -2.2936e+00 +3.6312e+00 +1.2679e+00 +3.3065e+00 -2.5352e+00 +2.8043e+00 +4.6005e+00
445 +2.570805973e+05 +2.570805973e+05 +2.570256573e+05 +2.570256573e+05 -2.3310e+00 -1.9743e+00 -9.4289e-01 +2.4867e+00 +3.9925e+00 +1.5431e+00 -9.1979e-01 -3.1668e+00 -4.7931e+00 +2.5867e+00 +3.8883e+00 +7.5107e-01 +1.5052e+00 -3.7083e+00 +3.9870e+00 +5.5028e-01 +2.9449e+00 -2.9094e+00 +3.2146e+00 +4.4125e+00
531 +2.442196746e+05 +2.442196746e+05 +2.441647346e+05 +2.441647346e+05 -3.5395e+00 -2.3132e+00 -2.8792e-01 +2.8696e+00 +4.1763e+00 +2.5416e+00 +2.2404e-01 -3.1629e+00 -4.8543e+00 +2.6439e+00 +3.1817e+00 +5.2596e-02 +4.5237e-01 -3.2511e+00 +2.9724e+00 +1.9042e+00 +2.6179e+00 -3.0062e+00 +2.9104e+00 +4.4999e+00
546 +2.392387608e+05 +2.392387608e+05 +2.391838208e+05 +2.391838208e+05 -2.5231e+00 -2.9248e+00 -1.1947e+00 +2.8130e+00 +3.5427e+00 +1.6184e+00 -1.1956e+00 -3.0322e+00 -4.5676e+00 +1.4841e+00 +2.9974e+00 -1.9773e-01 +4.1239e-01 -2.2797e+00 +3.3818e+00 +5.6494e-01 +5.1114e-01 -2.9655e+00 +2.7056e+00 +2.8927e+00
550 +2.024283314e+05 +2.024283314e+05 +2.023733914e+05 +2.023733914e+05 -3.1214e+00 -2.2572e+00 -5.8321e-01 +2.5428e+00 +3.9278e+00 +1.6560e+00 -3.5949e-01 -3.2620e+00 -4.1889e+00 +2.2962e+00 +3.1541e+00 +1.3831e-01 +1.0558e+00 -2.4729e+00 +3.3230e+00 +9.4185e-01 +2.3254e+00 -2.5484e+00 +2.8212e+00 +3.9800e+00
