% function evaluation | noise-free fitness - Fopt (-4.620900000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.124201902e+002 +9.124201902e+002 +4.503301902e+002 +4.503301902e+002 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
143 +8.523029324e+002 +8.523029324e+002 +3.902129324e+002 +3.902129324e+002 +1.6950e+000 +6.0964e-001 -4.9335e-001 +6.1545e+000 +3.8635e+000 -1.0022e+000 -6.1307e-001 +4.4104e-002 +3.6349e-002 -4.2302e-002 -3.3614e+000 -2.3655e+000 +1.1090e+000 -1.7069e+000 -2.0080e+000 -3.0881e-001 -2.7685e+000 -2.0992e+000 +2.9335e-001 +1.7418e+000
172 +8.507567779e+002 +8.507567779e+002 +3.886667779e+002 +3.886667779e+002 +1.6031e+000 +6.3650e-001 -1.9281e-001 +5.8835e+000 +3.9407e+000 -1.0330e+000 -1.9028e-001 +1.4944e-002 +6.3119e-002 -2.8869e-001 -3.2250e+000 -2.8613e+000 +1.4657e+000 -1.6494e+000 -1.9773e+000 -1.7139e-001 -2.7376e+000 -2.1317e+000 -2.5474e-001 +1.7094e+000
183 +7.955073954e+002 +7.955073954e+002 +3.334173954e+002 +3.334173954e+002 +1.5086e+000 +4.0682e-001 -3.5073e-001 +5.8909e+000 +3.7939e+000 -7.6720e-001 -2.0324e-001 -2.6306e-002 +3.5163e-002 -6.3673e-002 -2.7870e+000 -2.6034e+000 +1.1349e+000 -1.4462e+000 -1.7542e+000 -3.2782e-001 -3.1370e+000 -2.0801e+000 -2.5500e-001 +1.5927e+000
200 +7.907537722e+002 +7.907537722e+002 +3.286637722e+002 +3.286637722e+002 +1.6174e+000 +3.7568e-001 -3.4703e-001 +5.9036e+000 +3.9085e+000 -9.9253e-001 -4.4283e-001 -2.7855e-001 +1.2069e-001 +2.2453e-001 -3.2056e+000 -2.3619e+000 +1.2480e+000 -1.7925e+000 -2.1419e+000 -6.4640e-001 -2.6587e+000 -1.9942e+000 +2.2342e-001 +1.5887e+000
222 +7.719657009e+002 +7.719657009e+002 +3.098757009e+002 +3.098757009e+002 +1.6182e+000 +8.1514e-001 -3.7014e-001 +5.4462e+000 +3.4406e+000 -9.9587e-001 -2.8149e-001 -3.0473e-001 +3.0367e-001 +1.4914e-001 -2.9185e+000 -2.6478e+000 +9.9536e-001 -2.0161e+000 -2.0779e+000 -4.6737e-001 -3.0748e+000 -1.9301e+000 -7.5148e-001 +1.4878e+000
223 +7.460486424e+002 +7.460486424e+002 +2.839586424e+002 +2.839586424e+002 +1.4801e+000 +7.8872e-001 -4.3408e-001 +5.7701e+000 +4.0077e+000 -6.9380e-001 -3.1083e-001 -2.3197e-001 +1.6186e-001 -7.4688e-002 -3.0011e+000 -2.8316e+000 +1.8168e+000 -1.6683e+000 -1.9073e+000 -8.3506e-001 -2.7351e+000 -1.6651e+000 -1.7155e-001 +1.7741e+000
227 +7.364597300e+002 +7.364597300e+002 +2.743697300e+002 +2.743697300e+002 +1.3642e+000 +5.7142e-001 -3.3859e-001 +5.8815e+000 +3.7918e+000 -9.1133e-001 -3.6552e-001 -1.7701e-001 -1.7695e-001 -1.1371e-001 -2.9692e+000 -2.2931e+000 +1.4007e+000 -1.9917e+000 -1.9476e+000 -6.0170e-001 -3.0226e+000 -2.2289e+000 -5.5802e-001 +1.5215e+000
248 +6.962947422e+002 +6.962947422e+002 +2.342047422e+002 +2.342047422e+002 +1.6392e+000 +5.4423e-001 -3.8539e-001 +5.8220e+000 +3.7504e+000 -4.8397e-001 -5.2979e-001 -2.1567e-001 +2.3865e-001 +5.2949e-002 -2.7167e+000 -2.3053e+000 +1.7049e+000 -1.7204e+000 -1.8533e+000 -9.6042e-001 -3.2427e+000 -1.8282e+000 -7.9951e-001 +2.0320e+000
270 +5.790813099e+002 +5.790813099e+002 +1.169913099e+002 +1.169913099e+002 +1.2401e+000 +1.1062e+000 -4.4947e-001 +5.4521e+000 +4.3542e+000 -8.5349e-001 -2.8409e-001 +6.0305e-001 +2.5754e-002 +9.9630e-002 -2.6977e+000 -1.9955e+000 +1.2547e+000 -1.4602e+000 -1.6757e+000 -1.2666e+000 -2.6521e+000 -1.3330e+000 -8.3752e-001 +1.8256e+000
317 +5.611301625e+002 +5.611301625e+002 +9.904016253e+001 +9.904016253e+001 +1.8237e+000 +1.1170e+000 -6.2791e-001 +5.8180e+000 +3.8904e+000 -9.8388e-001 -9.3329e-002 +9.7586e-002 +6.6175e-001 +4.6891e-002 -2.2674e+000 -2.0859e+000 +1.1134e+000 -1.6648e+000 -1.9493e+000 -1.4291e+000 -2.6460e+000 -1.3443e+000 -1.7488e+000 +1.8263e+000
334 +4.895165752e+002 +4.895165752e+002 +2.742657520e+001 +2.742657520e+001 +1.0586e+000 +4.8663e-001 +3.8133e-001 +4.6809e+000 +3.5800e+000 -1.4282e+000 +1.5548e-002 +3.4635e-001 +6.8365e-001 +1.4593e-001 -3.4553e+000 -2.2076e+000 +1.0681e+000 -1.7150e+000 -1.8406e+000 -2.2636e+000 -2.8915e+000 -1.0946e+000 -1.9326e+000 +1.6488e+000
336 +4.659645870e+002 +4.659645870e+002 +3.874587002e+000 +3.874587002e+000 +5.8813e-001 +9.1996e-001 -3.3596e-001 +5.3500e+000 +3.6432e+000 -1.7988e+000 +7.2550e-001 -1.2785e-002 +1.2367e+000 +1.2888e-001 -3.4649e+000 -2.3889e+000 +1.2827e+000 -1.9152e+000 -1.8599e+000 -1.1581e+000 -2.5144e+000 -2.4623e-002 -2.3797e+000 +1.2284e+000
382 +4.308815986e+002 +4.308815986e+002 -3.120840143e+001 -3.120840143e+001 +7.4322e-002 +1.4745e+000 -6.0127e-001 +4.9209e+000 +2.9991e+000 -1.3018e+000 +3.7736e-001 -2.5629e-001 +3.6703e-001 -5.9423e-001 -2.1727e+000 -3.5800e+000 +1.3989e+000 -1.9128e+000 -1.3039e+000 -1.9001e+000 -2.0335e+000 -1.8266e-001 -2.0498e+000 +1.8012e+000
391 +4.249451859e+002 +4.249451859e+002 -3.714481412e+001 -3.714481412e+001 +1.0826e+000 +1.1279e+000 -6.2311e-001 +5.1853e+000 +3.2175e+000 -8.5964e-001 +3.1301e-001 -7.0005e-001 +5.3436e-001 -5.7379e-001 -2.2100e+000 -2.4436e+000 +1.0625e+000 -1.1461e+000 -9.4805e-001 -2.5140e+000 -2.9888e+000 -6.7006e-001 -1.6547e+000 +1.4327e+000
