% function evaluation | noise-free fitness - Fopt (1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.423771670e+002 +6.423771670e+002 +1.642377167e+003 +1.642377167e+003 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
446 +6.128243083e+002 +6.128243083e+002 +1.612824308e+003 +1.612824308e+003 +3.3704e-001 -1.1718e+000 +2.9938e+000 +4.3359e+000 +3.0332e+000 -1.6038e+000 -1.4300e+000 +2.6863e+000 +1.9731e-001 +2.2910e+000 +1.8311e+000 -1.8416e+000 -8.0128e-001 -1.0477e+000 +1.4751e+000 -1.1616e+000 +5.2909e-001 +1.2653e+000 +2.7426e+000 +2.0602e+000
464 +5.806328797e+002 +5.806328797e+002 +1.580632880e+003 +1.580632880e+003 +7.5552e-002 -6.0952e-002 +2.2208e+000 +4.2056e+000 +1.6943e+000 -2.0824e+000 -1.1312e+000 +1.7149e+000 +1.0591e+000 +2.4006e+000 +1.1546e+000 -2.5376e+000 -1.3937e+000 -2.3224e-001 +2.3466e+000 -3.8419e-002 +2.1179e+000 +2.1620e+000 +2.4575e+000 +1.2187e+000
474 +5.676226100e+002 +5.676226100e+002 +1.567622610e+003 +1.567622610e+003 +1.1135e+000 +1.7718e+000 +2.3700e+000 +1.9950e+000 +7.9853e-001 -1.7206e+000 +2.4089e-001 +1.3874e+000 +1.5841e+000 +1.4098e+000 -3.5505e-001 -1.0229e+000 -2.7044e-001 -6.2775e-001 +4.2293e+000 -2.1175e+000 +2.8757e+000 +1.8636e+000 +1.7988e+000 +1.1119e-001
484 +5.532468159e+002 +5.532468159e+002 +1.553246816e+003 +1.553246816e+003 +3.9382e-001 +5.7752e-001 +1.6673e+000 +3.5801e+000 +1.0968e+000 -2.4815e+000 -2.4736e-001 +2.1161e+000 +1.4362e+000 +2.6943e+000 +1.6910e+000 -2.0723e+000 -9.5699e-001 -1.4383e+000 +2.9533e+000 -9.4588e-001 +2.2660e+000 +9.9516e-001 +1.7311e+000 +9.7132e-001
505 +4.835808353e+002 +4.835808353e+002 +1.483580835e+003 +1.483580835e+003 -1.2038e+000 -5.4711e-001 +2.9679e+000 +5.7304e+000 +1.2616e+000 -2.7088e+000 -5.4924e-001 +2.1569e+000 -1.1424e+000 +3.8914e+000 -1.0094e-001 -1.6907e+000 -1.0450e-002 -7.9300e-001 +3.8043e+000 -3.0605e-001 +5.7456e+000 +1.5138e+000 +7.5281e-001 +1.7143e+000
528 +4.741496885e+002 +4.741496885e+002 +1.474149688e+003 +1.474149688e+003 -3.7700e-001 +7.2536e-001 +2.4045e+000 +4.6940e+000 +1.1498e+000 -1.9883e+000 +1.2280e+000 +1.9429e+000 +8.5005e-001 +2.5684e+000 +1.4659e-001 -2.5836e+000 -8.0479e-001 -2.7425e+000 +2.2249e+000 +1.1430e-001 +2.6437e+000 +5.8447e-001 +6.1481e-001 +1.0935e+000
538 +4.610071764e+002 +4.610071764e+002 +1.461007176e+003 +1.461007176e+003 +2.8736e-001 +3.0007e+000 +1.4604e+000 +4.0864e+000 +2.1423e+000 -7.1050e-001 +1.8099e+000 +2.3847e+000 +9.4297e-001 +2.1660e+000 -1.1744e+000 -1.6860e+000 -1.1234e+000 -3.5640e+000 +1.6886e+000 +7.6242e-001 +1.6168e+000 +2.0409e-001 -9.1797e-001 -3.8881e-001
542 +3.778627170e+002 +3.778627170e+002 +1.377862717e+003 +1.377862717e+003 +4.1600e-001 +2.4625e-001 +3.0797e+000 +4.4677e+000 +2.3702e+000 -6.9526e-001 +1.4884e+000 +2.3418e+000 +1.3664e+000 +2.4081e+000 -1.8122e+000 -3.1376e+000 -1.3449e+000 -2.7557e+000 +3.4266e+000 +5.6270e-001 +1.7082e+000 -1.9900e+000 -2.0444e+000 +1.5633e+000
550 +3.626514657e+002 +3.626514657e+002 +1.362651466e+003 +1.362651466e+003 -8.1836e-001 +1.7836e+000 +2.0424e+000 +4.5590e+000 +1.8804e+000 -1.1868e+000 +1.6572e+000 +1.3912e+000 +1.2909e+000 +1.3739e+000 -8.9032e-001 -2.6141e+000 -1.3053e+000 -3.2770e+000 +2.7672e+000 +8.7555e-001 +1.1475e+000 -1.1608e+000 -4.1416e-002 +7.9001e-001
562 +3.501365696e+002 +3.501365696e+002 +1.350136570e+003 +1.350136570e+003 -1.9341e+000 +3.4924e+000 +3.9010e+000 +5.0873e+000 +3.4363e+000 -9.3638e-001 +3.5388e-001 +1.0664e+000 +1.3186e+000 +2.3147e+000 -1.1041e+000 -3.0783e+000 -1.3503e+000 -1.4847e+000 +1.2791e+000 +1.8616e+000 +2.0323e+000 -6.5863e-001 -1.4779e+000 +2.9916e-001
572 +3.406516786e+002 +3.406516786e+002 +1.340651679e+003 +1.340651679e+003 -8.9042e-001 +2.0628e+000 +2.7568e+000 +4.5579e+000 +2.2975e+000 -8.3069e-001 +5.7943e-001 +1.7531e+000 +1.3562e+000 +9.7667e-001 -5.4709e-001 -3.0519e+000 -1.7909e+000 -2.4802e+000 +4.0705e+000 +1.7526e+000 +2.4249e-001 -1.6195e+000 -8.6754e-001 +1.1019e+000
616 +3.288869983e+002 +3.288869983e+002 +1.328886998e+003 +1.328886998e+003 -1.7908e+000 +3.1477e+000 +4.0342e+000 +5.1668e+000 +2.1762e+000 -2.0868e+000 +4.0316e-001 +2.1153e+000 +2.8791e-001 +6.5254e-002 -2.0985e+000 -2.9722e+000 -2.3895e+000 -1.6938e+000 +3.1495e+000 +9.8656e-001 +2.1895e+000 -1.0047e+000 -2.4791e+000 +2.9604e-001
638 +2.898753025e+002 +2.898753025e+002 +1.289875303e+003 +1.289875303e+003 -1.8814e+000 +2.8729e+000 +3.4082e+000 +4.3087e+000 +2.3594e+000 -1.3336e+000 -4.0958e-001 +2.4559e+000 +7.9266e-001 -9.5416e-001 -2.6155e+000 -2.1991e+000 -4.7951e-001 +2.8568e-001 +2.3257e+000 +1.3788e+000 +4.6163e+000 -7.5075e-001 -1.6785e+000 -2.4990e-002
726 +2.556286967e+002 +2.556286967e+002 +1.255628697e+003 +1.255628697e+003 -1.3253e+000 +1.9611e+000 +3.1571e+000 +4.7957e+000 +2.7120e+000 -2.2082e+000 -1.0669e+000 +1.7936e+000 -1.1342e+000 +1.2257e+000 -1.1851e+000 -3.0000e+000 -6.1107e-001 -1.9403e+000 +2.9799e+000 +2.4890e+000 +2.9584e+000 -1.9844e+000 -2.1863e+000 -7.9781e-001
748 +2.373980678e+002 +2.373980678e+002 +1.237398068e+003 +1.237398068e+003 -1.4829e+000 +2.0091e+000 +3.7606e+000 +4.3978e+000 +2.5481e+000 -1.9770e+000 -6.1449e-001 +9.2105e-001 -7.0109e-001 +1.2879e+000 -1.6241e+000 -2.8200e+000 -7.3605e-001 -1.7621e+000 +3.5228e+000 +2.1527e+000 +2.6919e+000 -2.0892e+000 -2.0659e+000 -6.2228e-001
946 +2.301318042e+002 +2.301318042e+002 +1.230131804e+003 +1.230131804e+003 -2.4646e+000 +3.5509e+000 +4.3698e+000 +2.8430e+000 +2.6320e+000 -2.2370e+000 -7.2490e-001 +4.0085e-001 -1.3484e+000 -2.3105e+000 -2.6733e+000 -1.9230e+000 -1.4632e+000 -3.7133e+000 +4.8864e+000 +4.8465e+000 +2.3713e+000 -9.2355e-001 -2.3942e+000 +3.0848e-001
1083 +2.185128453e+002 +2.185128453e+002 +1.218512845e+003 +1.218512845e+003 -3.0654e+000 +3.4670e+000 +3.4046e+000 +4.5543e+000 +1.7581e+000 -2.2225e+000 -2.2962e+000 -2.7702e-001 -2.1919e+000 -3.1084e+000 -4.2777e+000 -2.3755e+000 -5.3248e-001 -2.0736e+000 +4.9493e+000 +5.7170e+000 +3.0869e+000 -1.2619e+000 -1.1030e+000 -6.0379e-001
1156 +2.082797996e+002 +2.082797996e+002 +1.208279800e+003 +1.208279800e+003 -2.5436e+000 +3.6241e+000 +3.3575e+000 +2.9729e+000 +1.7777e+000 -1.8332e+000 -2.5534e+000 +3.3603e-001 -3.1397e+000 -2.0431e+000 -2.5212e+000 -2.1892e+000 +1.9235e-001 -4.5242e+000 +5.3419e+000 +4.6783e+000 +2.5931e+000 -1.5751e+000 -1.4111e+000 +7.5238e-001
1188 +1.674813589e+002 +1.674813589e+002 +1.167481359e+003 +1.167481359e+003 -2.3880e+000 +3.5467e+000 +3.5669e+000 +3.5498e+000 +2.0707e+000 -1.7232e+000 -2.2530e+000 +2.9424e-001 -2.4919e+000 -1.6409e+000 -2.4606e+000 -1.9030e+000 -3.4614e-001 -2.7538e+000 +4.1271e+000 +4.8832e+000 +3.5353e+000 -2.2675e-001 -2.0735e+000 -8.3620e-002
1232 +1.610362696e+002 +1.610362696e+002 +1.161036270e+003 +1.161036270e+003 -2.3531e+000 +3.4381e+000 +4.3943e+000 +3.0173e+000 +1.6158e+000 -2.0357e+000 -2.0918e+000 +4.4336e-001 -2.1599e+000 -1.0883e+000 -2.2735e+000 -2.0660e+000 +1.3409e-001 -3.3639e+000 +3.6752e+000 +4.8159e+000 +3.6903e+000 -2.9418e-004 -1.7715e+000 +4.4610e-001
1270 +1.578991324e+002 +1.578991324e+002 +1.157899132e+003 +1.157899132e+003 -2.4588e+000 +3.4934e+000 +4.7593e+000 +2.3634e+000 +2.2097e+000 -2.4883e+000 -2.1768e+000 +7.1562e-001 -2.5468e+000 -1.6458e+000 -2.9290e+000 -2.0959e+000 +3.7267e-001 -3.7732e+000 +4.3190e+000 +3.7807e+000 +4.3280e+000 +1.0168e-001 -7.2352e-001 -3.2421e-001
2035 +1.483611682e+002 +1.483611682e+002 +1.148361168e+003 +1.148361168e+003 -2.6282e+000 +3.8926e+000 +3.2158e+000 +2.4025e+000 +2.4034e+000 -2.6450e+000 -1.3584e+000 -9.5086e-001 -3.2859e+000 -1.7294e-001 -2.6906e+000 -1.2392e+000 -7.0891e-001 -4.1395e+000 +2.2281e+000 +3.8214e+000 +4.3203e+000 -1.6928e+000 -1.6939e+000 -3.1058e-001
2743 +1.460071087e+002 +1.460071087e+002 +1.146007109e+003 +1.146007109e+003 -2.3668e+000 +3.1087e+000 +2.9580e+000 +3.2534e+000 +3.1862e+000 -3.0068e+000 -1.9063e+000 -4.2346e-001 -2.4555e+000 -7.8229e-002 -2.4026e+000 -1.9114e+000 -1.1460e+000 -4.2831e+000 +2.2333e+000 +3.5966e+000 +2.8584e+000 -1.8631e+000 -1.6263e+000 -1.2679e+000
3002 +1.266906697e+002 +1.266906697e+002 +1.126690670e+003 +1.126690670e+003 -2.5021e+000 +2.8548e+000 +2.5315e+000 +3.7736e+000 +2.9778e+000 -2.7335e+000 -1.6881e+000 -1.2771e+000 -2.7245e+000 -5.7246e-001 -2.1450e+000 -1.1861e+000 -9.2368e-001 -3.0082e+000 +3.2270e+000 +3.4105e+000 +4.0622e+000 -1.8194e+000 -1.0499e+000 -9.7268e-001
4026 +1.040414140e+002 +1.040414140e+002 +1.104041414e+003 +1.104041414e+003 -2.2272e+000 +3.8865e+000 +3.6312e+000 +3.2626e+000 +2.7457e+000 -2.1087e+000 -1.9549e+000 -9.6787e-001 -1.8647e+000 -4.6097e-001 -2.3344e+000 -1.5102e+000 -8.1034e-001 -3.2342e+000 +2.8033e+000 +5.1321e+000 +3.7967e+000 -2.1248e+000 -1.0270e+000 -1.7828e+000
4114 +9.570690039e+001 +9.570690039e+001 +1.095706900e+003 +1.095706900e+003 -2.2210e+000 +3.9224e+000 +3.6844e+000 +3.3261e+000 +2.7195e+000 -2.0930e+000 -1.9372e+000 -1.0315e+000 -1.7577e+000 -4.7151e-001 -2.2447e+000 -1.5851e+000 -8.3705e-001 -3.2283e+000 +2.8619e+000 +5.1546e+000 +3.7376e+000 -2.0650e+000 -1.0882e+000 -1.6523e+000
4180 +6.928333007e+001 +6.928333007e+001 +1.069283330e+003 +1.069283330e+003 -2.2347e+000 +3.9114e+000 +3.7623e+000 +3.2709e+000 +2.6770e+000 -2.0617e+000 -1.8986e+000 -9.9331e-001 -1.5581e+000 -5.0284e-001 -2.2626e+000 -1.5614e+000 -7.6833e-001 -3.2862e+000 +2.9202e+000 +5.1779e+000 +3.6452e+000 -2.2068e+000 -1.0908e+000 -1.5868e+000
4862 +5.697769890e+001 +5.697769890e+001 +1.056977699e+003 +1.056977699e+003 -2.1920e+000 +3.8578e+000 +3.4890e+000 +3.0345e+000 +2.6193e+000 -2.0268e+000 -1.6391e+000 -5.8650e-001 -1.4356e+000 -3.2507e-001 -2.0745e+000 -1.6281e+000 -1.1396e+000 -3.2645e+000 +3.2210e+000 +4.9112e+000 +3.3879e+000 -2.1420e+000 -1.1690e+000 -1.3058e+000
5060 +4.995079195e+001 +4.995079195e+001 +1.049950792e+003 +1.049950792e+003 -2.1941e+000 +3.7926e+000 +3.3849e+000 +3.0175e+000 +2.5304e+000 -2.0477e+000 -1.7100e+000 -5.8669e-001 -1.4567e+000 -3.6523e-001 -2.0947e+000 -1.7057e+000 -1.0856e+000 -3.2971e+000 +3.1979e+000 +4.9907e+000 +3.4393e+000 -2.1871e+000 -1.1344e+000 -1.2528e+000
5082 +4.596302531e+001 +4.596302531e+001 +1.045963025e+003 +1.045963025e+003 -2.2136e+000 +3.7706e+000 +3.4170e+000 +3.0455e+000 +2.5418e+000 -2.0492e+000 -1.7004e+000 -5.5863e-001 -1.4215e+000 -3.7987e-001 -2.1093e+000 -1.6900e+000 -1.0685e+000 -3.3288e+000 +3.2209e+000 +5.0098e+000 +3.4213e+000 -2.1306e+000 -1.1713e+000 -1.2373e+000
5126 +4.544894890e+001 +4.544894890e+001 +1.045448949e+003 +1.045448949e+003 -2.2401e+000 +3.7921e+000 +3.4423e+000 +2.9955e+000 +2.5770e+000 -2.0488e+000 -1.7247e+000 -5.6245e-001 -1.4463e+000 -3.9076e-001 -2.1129e+000 -1.6491e+000 -1.0477e+000 -3.2900e+000 +3.2296e+000 +4.9770e+000 +3.4587e+000 -2.1172e+000 -1.1307e+000 -1.2362e+000
5280 +4.365681696e+001 +4.365681696e+001 +1.043656817e+003 +1.043656817e+003 -2.2252e+000 +3.7620e+000 +3.4307e+000 +3.0058e+000 +2.5668e+000 -2.0353e+000 -1.6774e+000 -5.4782e-001 -1.3903e+000 -4.4096e-001 -2.1095e+000 -1.6096e+000 -1.0434e+000 -3.3107e+000 +3.2651e+000 +5.0293e+000 +3.3748e+000 -2.1300e+000 -1.1296e+000 -1.2407e+000
5302 +4.362270493e+001 +4.362270493e+001 +1.043622705e+003 +1.043622705e+003 -2.2204e+000 +3.7671e+000 +3.4434e+000 +3.0122e+000 +2.5765e+000 -2.0380e+000 -1.6808e+000 -5.3613e-001 -1.4225e+000 -4.4708e-001 -2.1082e+000 -1.6330e+000 -1.0308e+000 -3.3288e+000 +3.2629e+000 +5.0116e+000 +3.3792e+000 -2.1140e+000 -1.1271e+000 -1.2477e+000
5390 +4.174481603e+001 +4.174481603e+001 +1.041744816e+003 +1.041744816e+003 -2.2543e+000 +3.7938e+000 +3.4602e+000 +2.9948e+000 +2.5749e+000 -2.0385e+000 -1.6917e+000 -5.5973e-001 -1.4333e+000 -4.3642e-001 -2.1103e+000 -1.6327e+000 -1.0180e+000 -3.3228e+000 +3.2877e+000 +5.0016e+000 +3.4174e+000 -2.1298e+000 -1.1409e+000 -1.2328e+000
5412 +4.044628550e+001 +4.044628550e+001 +1.040446285e+003 +1.040446285e+003 -2.2412e+000 +3.8095e+000 +3.4485e+000 +2.9990e+000 +2.5753e+000 -2.0617e+000 -1.6891e+000 -5.5612e-001 -1.4134e+000 -4.4511e-001 -2.1094e+000 -1.6222e+000 -1.0125e+000 -3.3384e+000 +3.2912e+000 +5.0137e+000 +3.3915e+000 -2.1256e+000 -1.1364e+000 -1.2346e+000
5456 +3.898195256e+001 +3.898195256e+001 +1.038981953e+003 +1.038981953e+003 -2.2564e+000 +3.8066e+000 +3.4315e+000 +2.9989e+000 +2.5829e+000 -2.0568e+000 -1.6844e+000 -5.6885e-001 -1.4025e+000 -4.4216e-001 -2.0897e+000 -1.6179e+000 -1.0178e+000 -3.3358e+000 +3.2937e+000 +5.0082e+000 +3.3821e+000 -2.1384e+000 -1.1240e+000 -1.2397e+000
5478 +3.753351817e+001 +3.753351817e+001 +1.037533518e+003 +1.037533518e+003 -2.2464e+000 +3.8182e+000 +3.4417e+000 +2.9981e+000 +2.5819e+000 -2.0601e+000 -1.6817e+000 -5.6689e-001 -1.3944e+000 -4.3750e-001 -2.0997e+000 -1.6237e+000 -1.0188e+000 -3.3472e+000 +3.2913e+000 +5.0046e+000 +3.3968e+000 -2.1449e+000 -1.1259e+000 -1.2267e+000
5610 +3.654265186e+001 +3.654265186e+001 +1.036542652e+003 +1.036542652e+003 -2.2402e+000 +3.8046e+000 +3.4644e+000 +3.0005e+000 +2.5713e+000 -2.0505e+000 -1.6858e+000 -5.5646e-001 -1.3996e+000 -4.1254e-001 -2.1029e+000 -1.6127e+000 -1.0188e+000 -3.3519e+000 +3.2700e+000 +5.0035e+000 +3.3979e+000 -2.1617e+000 -1.1414e+000 -1.2136e+000
5676 +3.602740412e+001 +3.602740412e+001 +1.036027404e+003 +1.036027404e+003 -2.2337e+000 +3.8079e+000 +3.4486e+000 +3.0147e+000 +2.5732e+000 -2.0384e+000 -1.6816e+000 -5.5790e-001 -1.3934e+000 -4.1842e-001 -2.0955e+000 -1.6100e+000 -1.0103e+000 -3.3407e+000 +3.2771e+000 +4.9917e+000 +3.3965e+000 -2.1640e+000 -1.1400e+000 -1.2201e+000
