% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.311513987e+01 +1.311513987e+01 +1.060551399e+02 +1.060551399e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
751 +1.159640563e+01 +1.159640563e+01 +1.045364056e+02 +1.045364056e+02 +1.4203e-01 +4.9414e-01 -9.4899e-01 -1.9397e+00 -2.1209e+00
773 +1.047513387e+01 +1.047513387e+01 +1.034151339e+02 +1.034151339e+02 -3.6181e-01 +1.3232e+00 -1.3890e+00 -1.8710e+00 -2.0601e+00
794 +9.967894818e+00 +9.967894818e+00 +1.029078948e+02 +1.029078948e+02 -2.4882e-01 +1.5602e+00 -1.0010e+00 -1.2291e+00 -2.0077e+00
833 +8.690659753e+00 +8.690659753e+00 +1.016306598e+02 +1.016306598e+02 -3.5764e-01 +1.4161e+00 -7.7065e-01 -8.7565e-01 -1.4895e+00
848 +8.348593631e+00 +8.348593631e+00 +1.012885936e+02 +1.012885936e+02 -7.2223e-01 +9.5056e-01 -9.7149e-01 -1.0546e+00 -9.6629e-01
852 +7.132075955e+00 +7.132075955e+00 +1.000720760e+02 +1.000720760e+02 -7.2311e-02 +1.1425e+00 -4.3942e-01 -2.4803e-03 -1.3006e+00
854 +4.385499225e+00 +4.385499225e+00 +9.732549923e+01 +9.732549923e+01 -5.5374e-01 +4.8360e-01 -9.7590e-01 +3.7321e-01 +5.6683e-01
1380 +4.232243476e+00 +4.232243476e+00 +9.717224348e+01 +9.717224348e+01 -9.7821e-01 +6.6741e-01 -9.9977e-01 +1.8934e-01 +8.2468e-01
1670 +2.850308699e+00 +2.850308699e+00 +9.579030870e+01 +9.579030870e+01 +3.0175e-01 +6.4138e-01 -1.7667e-01 +1.4061e+00 +9.0769e-01
4143 +2.588024878e+00 +2.588024878e+00 +9.552802488e+01 +9.552802488e+01 -5.0595e-03 +3.5147e-01 -3.8202e-01 +1.9254e+00 +1.3383e+00
4144 +2.540174110e+00 +2.540174110e+00 +9.548017411e+01 +9.548017411e+01 -2.0465e-01 +2.4516e-01 -3.1452e-01 +1.0094e+00 +1.3533e+00
4180 +2.381733138e+00 +2.381733138e+00 +9.532173314e+01 +9.532173314e+01 -8.8394e-01 +3.0084e-01 -6.5330e-01 +1.0256e+00 +1.5926e+00
4220 +1.565687671e+00 +1.565687671e+00 +9.450568767e+01 +9.450568767e+01 -6.6454e-02 +5.7491e-01 -2.4079e-01 +1.8282e+00 +1.5402e+00
4240 +9.802852629e-01 +9.802852629e-01 +9.392028526e+01 +9.392028526e+01 +8.7421e-02 +5.0598e-01 -6.7615e-02 +2.2189e+00 +1.7606e+00
4260 +6.777965530e-01 +6.777965530e-01 +9.361779655e+01 +9.361779655e+01 -4.0028e-01 +4.7211e-01 -5.0913e-02 +2.0789e+00 +1.7494e+00
12632 +2.369004887e-01 +2.369004887e-01 +9.317690049e+01 +9.317690049e+01 -3.3387e-01 +8.1406e-01 +1.9452e-01 +2.7783e+00 +2.2471e+00
12830 +1.579312397e-01 +1.579312397e-01 +9.309793124e+01 +9.309793124e+01 -2.3674e-01 +8.5744e-01 +3.0785e-01 +3.0226e+00 +2.3203e+00
27780 +8.261248894e-02 +8.261248894e-02 +9.302261249e+01 +9.302261249e+01 -3.6888e-01 +7.9733e-01 +1.8609e-01 +3.0736e+00 +2.5628e+00
27789 +7.131452987e-02 +7.131452987e-02 +9.301131453e+01 +9.301131453e+01 -3.0126e-01 +8.3569e-01 +3.2423e-01 +3.3519e+00 +2.5957e+00
27792 +5.289294702e-02 +5.289294702e-02 +9.299289295e+01 +9.299289295e+01 -3.3156e-01 +6.8313e-01 +2.1945e-01 +3.1308e+00 +2.5827e+00
27831 +3.859372583e-02 +3.859372583e-02 +9.297859373e+01 +9.297859373e+01 -2.5149e-01 +6.3772e-01 +3.0624e-01 +3.0522e+00 +2.3419e+00
27878 +3.110640719e-02 +3.110640719e-02 +9.297110641e+01 +9.297110641e+01 -3.3823e-01 +7.6614e-01 +1.7901e-01 +3.0073e+00 +2.4125e+00
27924 +2.092690865e-02 +2.092690865e-02 +9.296092691e+01 +9.296092691e+01 -3.0281e-01 +7.2614e-01 +2.6056e-01 +3.1577e+00 +2.5164e+00
27974 +2.059913591e-02 +2.059913591e-02 +9.296059914e+01 +9.296059914e+01 -3.2714e-01 +8.2011e-01 +2.4882e-01 +3.0985e+00 +2.4225e+00
28088 +1.633719939e-02 +1.633719939e-02 +9.295633720e+01 +9.295633720e+01 -2.5785e-01 +6.9642e-01 +2.4353e-01 +3.0773e+00 +2.4413e+00
28166 +9.011210944e-03 +9.011210944e-03 +9.294901121e+01 +9.294901121e+01 -2.8286e-01 +7.9865e-01 +2.3267e-01 +3.1164e+00 +2.4427e+00
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.644548928e+02 +4.644548928e+02 +4.998048928e+02 +4.998048928e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
48 +2.444333307e+02 +2.444333307e+02 +2.797833307e+02 +2.797833307e+02 -1.7346e+00 +3.6195e+00 +2.7140e+00 +3.4130e+00 +1.2412e+00
66 +2.384857401e+02 +2.384857401e+02 +2.738357401e+02 +2.738357401e+02 -1.7068e+00 +3.5980e+00 +2.6889e+00 +3.3325e+00 +1.4191e+00
209 +2.162795721e+02 +2.162795721e+02 +2.516295721e+02 +2.516295721e+02 +2.0787e+00 -2.5395e+00 +2.9684e+00 +2.6898e+00 +1.4523e+00
446 +1.657363408e+02 +1.657363408e+02 +2.010863408e+02 +2.010863408e+02 +5.2548e+00 +6.5715e-01 +1.3070e+00 -1.1019e+00 -1.2721e-01
457 +9.094678819e+01 +9.094678819e+01 +1.262967882e+02 +1.262967882e+02 +2.4777e+00 +1.0562e+00 +3.5941e+00 -1.3826e+00 -6.6620e-01
494 +7.173164673e+01 +7.173164673e+01 +1.070816467e+02 +1.070816467e+02 +3.2091e+00 +2.2249e+00 +2.3500e+00 -5.9088e-01 -1.2017e+00
513 +3.955311162e+01 +3.955311162e+01 +7.490311162e+01 +7.490311162e+01 +2.1830e+00 +3.0715e+00 +3.7271e+00 +1.5783e-01 -3.6513e+00
573 +2.962511284e+01 +2.962511284e+01 +6.497511284e+01 +6.497511284e+01 -1.4396e+00 +7.3307e+00 +7.2003e-01 +1.1308e+00 -3.5772e+00
582 +2.122504377e+01 +2.122504377e+01 +5.657504377e+01 +5.657504377e+01 +2.4206e+00 +3.8356e+00 +3.1231e+00 +1.2761e+00 -2.3899e+00
670 +1.336711001e+01 +1.336711001e+01 +4.871711001e+01 +4.871711001e+01 +3.4351e+00 -5.7535e-01 +4.2916e+00 +2.3049e+00 -2.4872e-01
747 +5.538522590e+00 +5.538522590e+00 +4.088852259e+01 +4.088852259e+01 +3.2282e+00 +7.5081e-02 +3.9069e+00 +1.2654e+00 -1.5146e+00
824 +4.934140920e+00 +4.934140920e+00 +4.028414092e+01 +4.028414092e+01 +3.0965e+00 +3.0132e-01 +3.7287e+00 +1.1681e+00 -1.4292e+00
886 +4.243616940e+00 +4.243616940e+00 +3.959361694e+01 +3.959361694e+01 +1.7858e+00 +6.1395e-01 +3.8727e+00 +1.0635e+00 -1.9566e+00
