% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
6644 +2.132626674e+05 +2.132626674e+05 +2.132077274e+05 +2.132077274e+05
6776 +2.064937379e+05 +2.064937379e+05 +2.064387979e+05 +2.064387979e+05
6820 +2.032698438e+05 +2.032698438e+05 +2.032149038e+05 +2.032149038e+05
6854 +1.988018903e+05 +1.988018903e+05 +1.987469503e+05 +1.987469503e+05
7062 +1.948197069e+05 +1.948197069e+05 +1.947647669e+05 +1.947647669e+05
7194 +1.896854143e+05 +1.896854143e+05 +1.896304743e+05 +1.896304743e+05
7348 +1.855722320e+05 +1.855722320e+05 +1.855172920e+05 +1.855172920e+05
7439 +1.788336293e+05 +1.788336293e+05 +1.787786893e+05 +1.787786893e+05
7605 +1.776613087e+05 +1.776613087e+05 +1.776063687e+05 +1.776063687e+05
7660 +1.732165848e+05 +1.732165848e+05 +1.731616448e+05 +1.731616448e+05
7778 +1.683697312e+05 +1.683697312e+05 +1.683147912e+05 +1.683147912e+05
7836 +1.659316458e+05 +1.659316458e+05 +1.658767058e+05 +1.658767058e+05
7964 +1.613504710e+05 +1.613504710e+05 +1.612955310e+05 +1.612955310e+05
8030 +1.583044284e+05 +1.583044284e+05 +1.582494884e+05 +1.582494884e+05
8118 +1.543983594e+05 +1.543983594e+05 +1.543434194e+05 +1.543434194e+05
8206 +1.510761644e+05 +1.510761644e+05 +1.510212244e+05 +1.510212244e+05
8312 +1.477735870e+05 +1.477735870e+05 +1.477186470e+05 +1.477186470e+05
8470 +1.429666820e+05 +1.429666820e+05 +1.429117420e+05 +1.429117420e+05
8536 +1.398528911e+05 +1.398528911e+05 +1.397979511e+05 +1.397979511e+05
8602 +1.376019906e+05 +1.376019906e+05 +1.375470506e+05 +1.375470506e+05
8734 +1.347359867e+05 +1.347359867e+05 +1.346810467e+05 +1.346810467e+05
9042 +1.316988097e+05 +1.316988097e+05 +1.316438697e+05 +1.316438697e+05
9218 +1.287814052e+05 +1.287814052e+05 +1.287264652e+05 +1.287264652e+05
9276 +1.257410734e+05 +1.257410734e+05 +1.256861334e+05 +1.256861334e+05
9464 +1.218136198e+05 +1.218136198e+05 +1.217586798e+05 +1.217586798e+05
9516 +1.200673698e+05 +1.200673698e+05 +1.200124298e+05 +1.200124298e+05
9709 +1.166587212e+05 +1.166587212e+05 +1.166037812e+05 +1.166037812e+05
9790 +1.145876774e+05 +1.145876774e+05 +1.145327374e+05 +1.145327374e+05
9922 +1.113127547e+05 +1.113127547e+05 +1.112578147e+05 +1.112578147e+05
9966 +1.086967120e+05 +1.086967120e+05 +1.086417720e+05 +1.086417720e+05
10098 +1.069748914e+05 +1.069748914e+05 +1.069199514e+05 +1.069199514e+05
10208 +1.041132700e+05 +1.041132700e+05 +1.040583300e+05 +1.040583300e+05
10340 +1.018259010e+05 +1.018259010e+05 +1.017709610e+05 +1.017709610e+05
10736 +9.976380931e+04 +9.976380931e+04 +9.970886931e+04 +9.970886931e+04
10846 +9.744719463e+04 +9.744719463e+04 +9.739225463e+04 +9.739225463e+04
10985 +9.514440712e+04 +9.514440712e+04 +9.508946712e+04 +9.508946712e+04
11162 +9.257442747e+04 +9.257442747e+04 +9.251948747e+04 +9.251948747e+04
11242 +9.096783314e+04 +9.096783314e+04 +9.091289314e+04 +9.091289314e+04
11374 +8.906626834e+04 +8.906626834e+04 +8.901132834e+04 +8.901132834e+04
11432 +8.701823543e+04 +8.701823543e+04 +8.696329543e+04 +8.696329543e+04
11709 +8.505166868e+04 +8.505166868e+04 +8.499672868e+04 +8.499672868e+04
12054 +8.316001193e+04 +8.316001193e+04 +8.310507193e+04 +8.310507193e+04
12364 +8.065752536e+04 +8.065752536e+04 +8.060258536e+04 +8.060258536e+04
12518 +7.924832212e+04 +7.924832212e+04 +7.919338212e+04 +7.919338212e+04
12950 +7.760487071e+04 +7.760487071e+04 +7.754993071e+04 +7.754993071e+04
