% function evaluation | noise-free fitness - Fopt (-1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.287602554e+001 +8.287602554e+001 -9.171239745e+002 -9.171239745e+002 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
370 +7.935861287e+001 +7.935861287e+001 -9.206413871e+002 -9.206413871e+002 +3.9233e+000 +7.4561e-001 -5.6362e-002 +2.8559e+000 -2.8489e+000 -4.2774e-001 -1.6584e+000 +1.9361e-001 -2.8821e+000 -3.6951e+000 -3.2025e+000 -2.5911e+000 -7.7940e-001 -1.3421e-001 +4.1677e+000 +3.7471e+000 -3.8494e-001 +3.5195e+000 +3.7262e+000 +2.6302e+000
399 +7.652095684e+001 +7.652095684e+001 -9.234790432e+002 -9.234790432e+002 +3.8974e+000 +2.9612e+000 -7.8740e-001 +3.8949e+000 -2.2644e+000 -1.2955e-001 -2.6139e+000 +1.7848e+000 -2.6951e+000 -1.4447e-001 -3.4772e+000 -1.9743e+000 -9.5021e-001 +4.7414e-001 +3.3401e+000 +3.1325e+000 +9.0565e-002 +3.0291e+000 +5.0047e+000 +3.5133e+000
403 +7.295955483e+001 +7.295955483e+001 -9.270404452e+002 -9.270404452e+002 +3.1503e+000 +8.6643e-001 -8.4269e-001 +4.5901e+000 -4.3188e+000 -7.8629e-001 -3.5425e+000 +1.5750e+000 -2.7158e+000 -2.7314e+000 -5.4475e+000 -1.8925e+000 -2.7658e+000 -2.8598e-001 +3.4331e+000 +2.2102e+000 -1.1895e-001 +3.9930e+000 +3.7756e+000 +2.8466e+000
420 +7.237998774e+001 +7.237998774e+001 -9.276200123e+002 -9.276200123e+002 +4.0425e+000 +8.8358e-001 -1.8223e+000 +2.8685e+000 -2.9980e+000 -1.4172e+000 -4.6201e+000 +2.5820e+000 -2.2058e+000 -3.3963e+000 -4.3168e+000 -9.5299e-001 -1.6415e+000 +5.0628e-002 +2.6575e+000 +2.1838e+000 +1.1407e+000 +1.9255e+000 +2.5355e+000 +1.3863e+000
424 +7.075185820e+001 +7.075185820e+001 -9.292481418e+002 -9.292481418e+002 +2.1325e+000 +1.6875e+000 +4.5954e-001 +3.7148e+000 -2.1328e+000 -1.4582e+000 -2.8833e+000 +2.6899e+000 -2.2517e+000 -3.4080e+000 -4.6815e+000 -1.3943e+000 -1.0331e+000 -1.2497e+000 +2.9850e+000 +1.5681e+000 +7.8544e-001 +3.3534e+000 +4.2697e+000 +2.5227e+000
440 +6.695390288e+001 +6.695390288e+001 -9.330460971e+002 -9.330460971e+002 +3.3102e+000 +1.7652e+000 -7.6439e-001 +4.0748e+000 -3.2036e+000 -5.0222e-001 -3.1823e+000 +2.0505e+000 -2.5278e+000 -2.6020e+000 -4.8247e+000 -7.9201e-001 -1.4218e+000 -5.7441e-001 +2.5818e+000 +2.2603e+000 +1.2188e+000 +3.5021e+000 +3.8781e+000 +2.9128e+000
462 +5.901109312e+001 +5.901109312e+001 -9.409889069e+002 -9.409889069e+002 +2.6601e+000 +1.3952e+000 -4.7641e-002 +3.3855e+000 -3.8067e+000 -3.0925e-001 -3.6086e+000 +2.6475e+000 -1.8347e+000 -1.2479e+000 -4.7103e+000 -1.5444e+000 -1.2686e+000 -1.4466e+000 +2.1058e+000 +2.4819e+000 +1.8590e+000 +3.4749e+000 +2.8760e+000 +3.3316e+000
484 +5.173754319e+001 +5.173754319e+001 -9.482624568e+002 -9.482624568e+002 +3.5023e+000 +4.0829e-001 +2.4309e-001 +3.5589e+000 -3.3672e+000 -6.4007e-001 -3.1653e+000 +2.2178e+000 -1.1763e+000 -1.2818e+000 -4.2330e+000 -1.2111e+000 -1.2555e+000 -1.0214e+000 +1.1891e+000 +1.8474e+000 +1.6009e+000 +3.4829e+000 +3.0428e+000 +3.1407e+000
557 +4.280162563e+001 +4.280162563e+001 -9.571983744e+002 -9.571983744e+002 +2.6820e+000 +5.4512e-001 +1.0297e+000 +3.6165e+000 -3.5175e+000 +5.3321e-001 -3.1761e+000 +1.0643e+000 +1.6223e+000 -1.8326e+000 -1.4568e+000 -1.3513e+000 -2.5317e+000 -1.8046e-001 +1.2452e+000 +1.6236e+000 +2.7934e+000 +3.8978e+000 +3.9422e+000 +3.5487e+000
