% function evaluation | noise-free fitness - Fopt (1.238300000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1672 +2.034754920e+001 +2.034754920e+001 +1.441775492e+002 +1.441775492e+002 -1.3806e-001 +5.2537e-001 +7.3991e-001 -1.0926e-001 -6.0063e-001 +1.3691e-002 +5.4589e-001 +1.5764e-001 +3.2115e-002 -9.6136e-001 +1.7025e-001 +2.6074e-001 -3.8550e-001 +7.6194e-002 +6.0246e-001 +5.5550e-001 -9.7016e-001 +4.9310e-002 -1.0170e-001 +3.6360e-002
1694 +1.972252766e+001 +1.972252766e+001 +1.435525277e+002 +1.435525277e+002 -1.4543e-001 +5.5392e-001 +7.2793e-001 -7.9361e-002 -6.1211e-001 +2.2142e-002 +5.7957e-001 +1.6630e-001 +7.4550e-002 -9.5792e-001 +1.8245e-001 +2.0581e-001 -3.7351e-001 +7.5738e-002 +6.1106e-001 +5.6189e-001 -9.9330e-001 +6.1961e-002 -7.9074e-002 +2.8641e-002
1782 +1.934653019e+001 +1.934653019e+001 +1.431765302e+002 +1.431765302e+002 -1.2620e-001 +5.3398e-001 +7.0279e-001 -3.7428e-002 -6.0889e-001 +3.3050e-002 +5.5986e-001 +1.3054e-001 +7.0037e-002 -9.3743e-001 +1.9367e-001 +2.2962e-001 -3.6471e-001 +9.6514e-002 +6.3124e-001 +5.8435e-001 -1.0095e+000 +2.2153e-002 -1.0774e-001 -2.5104e-002
1826 +1.892458571e+001 +1.892458571e+001 +1.427545857e+002 +1.427545857e+002 -1.4011e-001 +5.2519e-001 +6.8661e-001 -3.6071e-002 -6.0041e-001 +3.2707e-002 +5.6920e-001 +1.2836e-001 +8.9633e-002 -9.8292e-001 +2.3576e-001 +2.0626e-001 -3.5544e-001 +9.1709e-002 +6.4440e-001 +5.4570e-001 -9.9431e-001 -9.4936e-003 -1.2093e-001 -2.3270e-002
1892 +1.841569875e+001 +1.841569875e+001 +1.422456988e+002 +1.422456988e+002 -1.4462e-001 +5.2988e-001 +7.0708e-001 -5.0176e-002 -6.4336e-001 +8.2910e-003 +5.7172e-001 +1.1448e-001 +7.0649e-002 -1.0055e+000 +2.2151e-001 +2.1782e-001 -3.3611e-001 +7.4241e-002 +6.3924e-001 +5.6638e-001 -9.8961e-001 -2.7573e-002 -9.9334e-002 -2.8177e-002
2134 +1.807730247e+001 +1.807730247e+001 +1.419073025e+002 +1.419073025e+002 -1.1798e-001 +5.6499e-001 +7.2797e-001 -7.9547e-002 -6.2909e-001 -1.5196e-002 +5.1601e-001 +9.6052e-002 +9.2049e-002 -9.7878e-001 +1.8372e-001 +2.3212e-001 -3.5697e-001 +1.0023e-001 +6.1485e-001 +5.5560e-001 -1.0094e+000 -3.4739e-002 -4.7099e-002 -1.2725e-002
2684 +1.777436447e+001 +1.777436447e+001 +1.416043645e+002 +1.416043645e+002 -1.1549e-001 +5.4232e-001 +7.4267e-001 -9.5373e-002 -6.1438e-001 -2.9865e-002 +5.0800e-001 +1.1332e-001 +9.6469e-002 -9.6804e-001 +1.6405e-001 +2.2498e-001 -3.4935e-001 +1.2610e-001 +6.0062e-001 +5.6158e-001 -1.0170e+000 -6.7290e-002 -2.1173e-002 -3.4226e-003
3454 +1.737774748e+001 +1.737774748e+001 +1.412077475e+002 +1.412077475e+002 -1.1265e-001 +5.5656e-001 +7.7153e-001 -1.2593e-001 -5.6841e-001 -5.2310e-002 +4.5891e-001 +1.0537e-001 +1.1664e-001 -9.1356e-001 +1.0629e-001 +2.6766e-001 -3.4984e-001 +1.6443e-001 +5.8336e-001 +5.8382e-001 -1.0094e+000 -1.0292e-001 +4.4515e-002 +1.0984e-002
4334 +1.698063046e+001 +1.698063046e+001 +1.408106305e+002 +1.408106305e+002 -1.1470e-001 +5.3003e-001 +8.1929e-001 -1.5817e-001 -5.3068e-001 -7.8102e-002 +4.0967e-001 +9.3535e-002 +1.0302e-001 -8.5323e-001 +4.5166e-002 +3.0231e-001 -3.4010e-001 +2.1207e-001 +5.7845e-001 +5.9132e-001 -1.0189e+000 -1.3573e-001 +1.3371e-001 +2.6840e-002
5302 +1.658778692e+001 +1.658778692e+001 +1.404177869e+002 +1.404177869e+002 -1.0529e-001 +5.0198e-001 +8.6051e-001 -2.0123e-001 -4.8309e-001 -1.0460e-001 +3.6518e-001 +8.2305e-002 +8.9648e-002 -7.7768e-001 -1.9729e-002 +3.5908e-001 -3.3280e-001 +2.3723e-001 +5.7964e-001 +5.9691e-001 -1.0151e+000 -1.6073e-001 +2.1527e-001 +6.3435e-002
6138 +1.621182899e+001 +1.621182899e+001 +1.400418290e+002 +1.400418290e+002 -1.0756e-001 +4.6349e-001 +8.7661e-001 -2.4097e-001 -4.4477e-001 -1.2888e-001 +3.3246e-001 +8.7814e-002 +6.3389e-002 -7.3359e-001 -6.4363e-002 +3.9437e-001 -3.2329e-001 +2.5787e-001 +5.8032e-001 +5.9488e-001 -1.0072e+000 -1.6783e-001 +2.7566e-001 +1.1993e-001
6908 +1.584693976e+001 +1.584693976e+001 +1.396769398e+002 +1.396769398e+002 -1.0752e-001 +4.2353e-001 +8.7730e-001 -2.7518e-001 -3.8683e-001 -1.5438e-001 +3.1107e-001 +6.8736e-002 +2.6862e-002 -6.7952e-001 -1.1135e-001 +4.4710e-001 -3.0946e-001 +2.6817e-001 +5.8901e-001 +6.0575e-001 -9.8950e-001 -1.6320e-001 +3.3639e-001 +1.7085e-001
7810 +1.546193335e+001 +1.546193335e+001 +1.392919333e+002 +1.392919333e+002 -1.0038e-001 +3.9290e-001 +8.6713e-001 -3.1992e-001 -3.3680e-001 -1.7693e-001 +3.0888e-001 +6.6728e-002 -1.3813e-002 -6.2562e-001 -1.5360e-001 +5.0336e-001 -2.9614e-001 +2.8031e-001 +5.8980e-001 +5.9806e-001 -9.7330e-001 -1.6885e-001 +4.1019e-001 +2.3592e-001
8558 +1.512805396e+001 +1.512805396e+001 +1.389580540e+002 +1.389580540e+002 -9.8259e-002 +3.5987e-001 +8.3803e-001 -3.4875e-001 -2.7769e-001 -2.0632e-001 +3.1358e-001 +4.4664e-002 -5.2443e-002 -5.8739e-001 -1.8224e-001 +5.4343e-001 -2.8386e-001 +2.7828e-001 +5.9555e-001 +6.0167e-001 -9.5828e-001 -1.4991e-001 +4.7590e-001 +3.1150e-001
9548 +1.478076510e+001 +1.478076510e+001 +1.386107651e+002 +1.386107651e+002 -9.3886e-002 +3.4133e-001 +7.9412e-001 -3.7801e-001 -2.3270e-001 -2.2195e-001 +3.1092e-001 +3.1129e-002 -7.3167e-002 -5.5334e-001 -2.1462e-001 +5.8722e-001 -2.7612e-001 +2.7988e-001 +5.8891e-001 +5.9512e-001 -9.2081e-001 -1.3861e-001 +5.2382e-001 +3.7236e-001
10516 +1.444907357e+001 +1.444907357e+001 +1.382790736e+002 +1.382790736e+002 -9.8652e-002 +3.3778e-001 +7.4866e-001 -3.9530e-001 -1.8228e-001 -2.2792e-001 +3.3028e-001 +2.1371e-002 -9.0822e-002 -5.1859e-001 -2.4753e-001 +6.1930e-001 -2.6100e-001 +2.7457e-001 +5.7127e-001 +6.0031e-001 -8.9820e-001 -1.2648e-001 +5.7791e-001 +4.6380e-001
11462 +1.411937825e+001 +1.411937825e+001 +1.379493782e+002 +1.379493782e+002 -1.0297e-001 +3.2858e-001 +7.0700e-001 -4.0864e-001 -1.3341e-001 -2.3495e-001 +3.4135e-001 +1.7346e-003 -1.0449e-001 -4.9445e-001 -2.7019e-001 +6.5423e-001 -2.4500e-001 +2.6079e-001 +5.3514e-001 +5.9424e-001 -8.6776e-001 -1.0829e-001 +6.2267e-001 +5.3328e-001
12386 +1.380363079e+001 +1.380363079e+001 +1.376336308e+002 +1.376336308e+002 -1.1946e-001 +3.3192e-001 +6.5617e-001 -4.0579e-001 -9.2422e-002 -2.2808e-001 +3.6257e-001 +2.6605e-003 -1.1493e-001 -4.7132e-001 -2.9065e-001 +6.7556e-001 -2.2568e-001 +2.4600e-001 +5.0077e-001 +5.8501e-001 -8.4824e-001 -9.0312e-002 +6.6994e-001 +6.1336e-001
13530 +1.348818860e+001 +1.348818860e+001 +1.373181886e+002 +1.373181886e+002 -1.3109e-001 +3.3065e-001 +6.0482e-001 -3.9772e-001 -6.2345e-002 -2.1558e-001 +3.6583e-001 +8.1938e-003 -1.1846e-001 -4.5359e-001 -3.1652e-001 +6.9764e-001 -2.0090e-001 +2.1940e-001 +4.5589e-001 +5.7018e-001 -8.2651e-001 -7.1067e-002 +7.1979e-001 +6.7595e-001
