% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.960016909e+06 +4.960016909e+06 +4.959961969e+06 +4.959961969e+06 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
90 +4.888843310e+06 +4.888843310e+06 +4.888788370e+06 +4.888788370e+06 -1.6594e+00 +7.4862e-01 +2.9569e+00 +5.8546e-01 +4.2361e+00 +3.4358e+00 -3.8953e+00 -2.7400e+00 -3.6020e+00 +5.9814e+00 +2.8027e+00 -2.3891e-01 +3.9413e+00 -1.3787e+00 +1.1910e+00 +2.5046e-01 -5.6450e-01 -1.6153e+00 +1.8092e+00 -7.8714e-01
100 +4.608256787e+06 +4.608256787e+06 +4.608201847e+06 +4.608201847e+06 -2.0039e+00 +6.7118e-01 +2.7362e+00 +3.8447e-01 +4.2768e+00 +3.6990e+00 -4.0824e+00 -2.9274e+00 -3.5681e+00 +6.1862e+00 +2.7243e+00 +8.7571e-03 +3.7870e+00 -1.2940e+00 +1.2230e+00 +4.8410e-01 -6.5630e-01 -1.7536e+00 +1.5036e+00 -7.7790e-01
112 +4.541498333e+06 +4.541498333e+06 +4.541443393e+06 +4.541443393e+06 -1.7074e+00 +4.1563e-01 +2.9168e+00 +6.1128e-01 +4.3243e+00 +3.5776e+00 -4.0734e+00 -2.9097e+00 -3.7562e+00 +6.0756e+00 +2.6716e+00 -1.8447e-01 +4.1009e+00 -1.4557e+00 +1.0650e+00 +3.8942e-01 -2.0160e-02 -1.9837e+00 +1.5964e+00 -8.4865e-01
114 +4.424501148e+06 +4.424501148e+06 +4.424446208e+06 +4.424446208e+06 -1.5712e+00 +7.5465e-01 +2.5712e+00 +6.6741e-01 +3.9174e+00 +3.2597e+00 -3.8428e+00 -2.8912e+00 -3.6787e+00 +6.0050e+00 +2.7429e+00 +2.8451e-01 +3.9741e+00 -1.3197e+00 +1.0762e+00 +2.4619e-01 -3.8342e-01 -1.5182e+00 +1.5507e+00 -9.4866e-01
118 +4.300254708e+06 +4.300254708e+06 +4.300199768e+06 +4.300199768e+06 -1.7098e+00 +7.2362e-01 +2.9253e+00 +5.8495e-01 +4.1569e+00 +3.5119e+00 -3.9582e+00 -3.0139e+00 -3.6205e+00 +5.9752e+00 +2.5846e+00 -1.8162e-01 +3.8217e+00 -1.4704e+00 +1.1625e+00 +4.3087e-01 -2.5877e-01 -1.9833e+00 +1.5891e+00 -5.7440e-01
136 +4.245757699e+06 +4.245757699e+06 +4.245702759e+06 +4.245702759e+06 -1.3454e+00 +5.6104e-01 +2.6180e+00 +9.4716e-01 +3.9027e+00 +3.7199e+00 -4.0023e+00 -2.9370e+00 -3.7069e+00 +5.9779e+00 +2.3804e+00 +1.1786e-01 +3.9489e+00 -1.4023e+00 +1.1386e+00 -3.9155e-02 -5.0037e-01 -1.8179e+00 +1.5339e+00 -9.3475e-01
142 +3.967098413e+06 +3.967098413e+06 +3.967043473e+06 +3.967043473e+06 -1.3157e+00 +5.1523e-01 +2.9337e+00 +4.7646e-01 +3.8447e+00 +3.7279e+00 -4.0210e+00 -2.8639e+00 -3.6206e+00 +6.1648e+00 +2.7938e+00 +3.2856e-01 +3.8267e+00 -1.3904e+00 +1.2259e+00 +4.7432e-01 -3.2847e-01 -1.8025e+00 +1.4388e+00 -9.2408e-01
157 +3.761879211e+06 +3.761879211e+06 +3.761824271e+06 +3.761824271e+06 -1.6214e+00 +3.9890e-01 +2.5673e+00 +6.5468e-01 +4.0566e+00 +3.7540e+00 -4.2536e+00 -3.1060e+00 -3.6240e+00 +6.1818e+00 +2.4619e+00 +5.1928e-01 +4.3331e+00 -1.0373e+00 +1.1118e+00 +2.4982e-01 -7.1917e-02 -1.7284e+00 +2.0318e+00 -7.0360e-01
178 +3.604348651e+06 +3.604348651e+06 +3.604293711e+06 +3.604293711e+06 -1.3661e+00 +8.2054e-01 +2.4861e+00 +4.8088e-01 +3.7476e+00 +3.2835e+00 -4.1414e+00 -2.8429e+00 -3.0896e+00 +5.8800e+00 +2.7110e+00 +3.0715e-01 +3.9235e+00 -1.4027e+00 +8.1914e-01 +2.6038e-01 -8.1566e-02 -1.6688e+00 +2.0918e+00 -7.8383e-01
