% function evaluation | noise-free fitness - Fopt (-9.210000000000e+000) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.992761284e+002 +3.992761284e+002 +3.900661284e+002 +3.900661284e+002 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
2 +3.954219902e+002 +3.954219902e+002 +3.862119902e+002 +3.862119902e+002 -5.1982e-001 +4.7225e+000 -1.7080e+000 -1.4951e+000 +3.0532e-001 +1.4661e+000 -1.0986e+000 -2.9327e+000 -3.5352e-001 +1.2739e-001 -2.9209e-001 +7.5592e-001 -1.3284e+000 -1.6400e+000 +3.0666e+000 -2.5104e+000 +1.1565e+000 +3.0365e+000 -2.7764e-001 -5.9476e-001
46 +3.872661265e+002 +3.872661265e+002 +3.780561265e+002 +3.780561265e+002 -6.1637e-001 +4.9091e+000 -1.8168e+000 -1.4985e+000 +1.6977e-001 +1.2574e+000 -1.1072e+000 -2.8531e+000 -3.7777e-001 +2.3953e-001 -5.0971e-001 +5.6476e-001 -1.1480e+000 -1.6526e+000 +2.7937e+000 -2.7329e+000 +1.4026e+000 +3.3140e+000 -3.1409e-001 -6.6079e-001
113 +3.798696631e+002 +3.798696631e+002 +3.706596631e+002 +3.706596631e+002 -4.3955e-001 +4.8501e+000 -1.8113e+000 -1.5971e+000 +2.3048e-001 +1.3712e+000 -1.1823e+000 -2.8291e+000 -4.5165e-001 +2.8934e-001 -5.1951e-001 +8.3905e-001 -1.0710e+000 -1.5900e+000 +2.9809e+000 -2.7505e+000 +1.5347e+000 +3.4800e+000 -7.2038e-001 -3.3868e-001
142 +3.695194031e+002 +3.695194031e+002 +3.603094031e+002 +3.603094031e+002 -7.1435e-001 +4.8755e+000 -1.4424e+000 -1.5843e+000 -5.1960e-002 +1.2595e+000 -1.0504e+000 -2.6239e+000 -3.0247e-001 +3.1945e-001 -8.8624e-001 +6.0919e-001 -1.0513e+000 -1.7648e+000 +2.8500e+000 -2.7822e+000 +1.5033e+000 +3.5378e+000 -1.0752e+000 -2.2017e-002
158 +3.620477535e+002 +3.620477535e+002 +3.528377535e+002 +3.528377535e+002 -3.1397e-001 +4.7640e+000 -1.6059e+000 -1.2983e+000 -2.8307e-001 +1.4084e+000 -1.3973e+000 -2.9516e+000 -1.0958e-001 -2.3420e-001 -8.3538e-001 +1.2001e+000 -1.0294e+000 -1.1920e+000 +3.0590e+000 -2.7618e+000 +1.5692e+000 +3.4769e+000 -1.2924e+000 +4.3642e-001
190 +3.494541874e+002 +3.494541874e+002 +3.402441874e+002 +3.402441874e+002 -8.5299e-001 +4.5585e+000 -1.4914e+000 -8.9711e-001 -1.9477e-001 +1.5045e+000 -7.1765e-001 -2.2615e+000 -5.5195e-001 -5.4014e-002 -7.6565e-001 +9.6059e-001 -1.1807e+000 -1.1446e+000 +2.3607e+000 -2.7287e+000 +1.5915e+000 +3.8569e+000 -1.1209e+000 +1.0179e+000
228 +3.455984718e+002 +3.455984718e+002 +3.363884718e+002 +3.363884718e+002 -1.1895e+000 +5.5749e+000 -2.2666e+000 -1.9130e+000 -5.1940e-001 +9.0509e-001 -4.4287e-001 -2.8765e+000 -7.4882e-002 +3.5026e-002 -1.1307e+000 +7.5153e-001 -1.1378e+000 -1.0202e+000 +2.9762e+000 -2.7324e+000 +1.7136e+000 +4.3696e+000 -7.2105e-001 +1.5969e+000
231 +3.376387970e+002 +3.376387970e+002 +3.284287970e+002 +3.284287970e+002 -4.0624e-001 +5.0915e+000 -1.1600e+000 -6.6465e-001 +2.4249e-001 +9.9393e-001 -1.0447e+000 -2.3623e+000 -4.6418e-001 -8.2188e-002 -8.2010e-001 +5.3419e-001 -7.2821e-001 -1.3389e+000 +1.8976e+000 -3.4384e+000 +1.6617e+000 +4.1775e+000 -1.5046e+000 +6.4366e-001
246 +3.241333931e+002 +3.241333931e+002 +3.149233931e+002 +3.149233931e+002 -7.2801e-001 +5.2738e+000 -1.4680e+000 -1.3169e+000 -2.8278e-001 +1.5532e+000 -1.1799e+000 -2.1264e+000 -9.2681e-001 -4.3727e-001 -1.1297e+000 +3.0141e-001 -1.0045e+000 -1.1695e+000 +2.3362e+000 -3.4937e+000 +1.9839e+000 +4.6626e+000 -8.7765e-001 +1.9609e+000
259 +3.217227136e+002 +3.217227136e+002 +3.125127136e+002 +3.125127136e+002 -5.4916e-001 +4.9912e+000 -1.2582e+000 -1.5846e+000 -4.0327e-001 +1.1298e+000 -1.5149e+000 -2.3648e+000 +9.1315e-002 +2.1138e-001 -1.2227e+000 +8.6311e-001 -8.2476e-001 -8.2605e-001 +2.2351e+000 -3.9286e+000 +2.2328e+000 +4.9387e+000 -1.9258e+000 +6.0195e-001
266 +3.139899535e+002 +3.139899535e+002 +3.047799535e+002 +3.047799535e+002 -8.5219e-001 +6.1418e+000 -1.1875e+000 -1.5631e+000 -8.7593e-001 +5.7708e-002 -1.2694e+000 -2.0912e+000 +4.0787e-001 +2.2159e-001 -1.9315e-001 +3.4416e-001 -1.7243e+000 -1.0642e+000 +1.9778e+000 -3.8277e+000 +3.9010e+000 +4.4530e+000 -6.7487e-001 +2.2179e+000
292 +2.821248396e+002 +2.821248396e+002 +2.729148396e+002 +2.729148396e+002 -4.9913e-001 +4.6374e+000 -1.2789e+000 -1.2137e+000 -8.0692e-001 +9.0152e-001 -7.0783e-001 -2.5989e+000 +1.4639e+000 +3.3331e-001 -4.9245e-001 +1.5118e+000 -2.9362e-001 -1.3309e+000 +2.5511e+000 -3.9887e+000 +3.9810e+000 +4.7861e+000 -2.2309e+000 +3.3619e+000
310 +2.789195676e+002 +2.789195676e+002 +2.697095676e+002 +2.697095676e+002 -1.3577e+000 +4.9513e+000 -2.4830e+000 -1.4114e-001 -1.9070e+000 +2.6519e+000 -1.3220e+000 -1.8821e+000 +9.8461e-001 +5.5380e-001 -1.6504e+000 +1.2767e+000 -9.2987e-001 -1.1987e+000 +2.8480e+000 -3.0984e+000 +4.6547e+000 +4.4137e+000 -2.1949e+000 +3.6806e+000
313 +2.744955626e+002 +2.744955626e+002 +2.652855626e+002 +2.652855626e+002 -6.3811e-001 +4.6430e+000 -1.4331e+000 -1.4555e+000 -1.1145e+000 +6.9010e-001 -1.3316e+000 -1.5070e+000 +2.0096e+000 +7.5450e-001 -1.8032e+000 +4.9188e-001 -1.2085e+000 -9.7328e-001 +1.6259e+000 -4.5165e+000 +3.6906e+000 +6.2682e+000 -2.9301e+000 +2.0134e+000
