% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.581765120e+02 +1.581765120e+02 +1.412365120e+02 +1.412365120e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
359 +1.531491675e+02 +1.531491675e+02 +1.362091675e+02 +1.362091675e+02 -5.7497e-01 -7.0177e-02 +3.1219e-01 +1.8046e+00 +2.1041e+00 +1.6548e+00 +6.6831e-01 +1.5546e+00 -9.3882e-01 -7.4081e-01 +2.8169e-01 -3.5746e+00 -2.2057e-01 -1.0515e+00 -2.4112e+00 -1.7490e+00 +2.2363e+00 -2.3295e+00 +1.1619e+00 +1.7259e+00
398 +1.456447497e+02 +1.456447497e+02 +1.287047497e+02 +1.287047497e+02 -3.1111e-01 +1.1158e-01 +9.8792e-01 +1.6802e+00 +1.8651e+00 +1.8222e+00 +1.1071e+00 +1.8555e+00 -6.0419e-01 -1.0864e+00 +3.5300e-01 -3.7902e+00 -2.2491e-01 -1.5971e+00 -2.1334e+00 -2.0418e+00 +2.1820e+00 -2.2182e+00 +1.2799e+00 +1.3244e+00
413 +1.423962037e+02 +1.423962037e+02 +1.254562037e+02 +1.254562037e+02 -8.1937e-01 +4.8203e-01 +2.8870e-01 +1.5725e+00 +1.9253e+00 +1.4605e+00 +1.3135e+00 +1.7678e+00 -1.9257e-01 -1.1181e+00 +8.9345e-01 -3.5618e+00 -2.9399e-01 -1.0896e+00 -1.6326e+00 -1.6020e+00 +2.1306e+00 -2.4418e+00 +1.2245e+00 +1.9067e+00
446 +1.197707866e+02 +1.197707866e+02 +1.028307866e+02 +1.028307866e+02 -3.4052e-01 +1.0564e+00 +1.7371e-01 +1.3518e+00 +1.5946e+00 +1.5245e+00 +1.0031e+00 +1.7382e+00 -6.5121e-01 -7.7581e-01 +8.0890e-01 -3.6531e+00 +6.2636e-01 -1.8886e+00 -2.1447e+00 -1.5407e+00 +2.1979e+00 -2.1368e+00 +2.0280e-01 +7.1345e-01
453 +1.007274409e+02 +1.007274409e+02 +8.378744086e+01 +8.378744086e+01 +6.0890e-02 +5.4554e-01 -2.9630e-01 +1.7579e+00 +2.0595e+00 +1.1568e+00 +1.1647e+00 +2.2440e+00 -3.7487e-01 -1.4540e+00 +1.0150e+00 -3.5996e+00 -3.7934e-01 -8.9348e-01 -1.6226e+00 -1.9608e+00 +2.0517e+00 -2.1993e+00 +7.3730e-01 +1.7778e+00
510 +9.245900498e+01 +9.245900498e+01 +7.551900498e+01 +7.551900498e+01 -7.8772e-01 +1.8309e+00 +8.9994e-03 +1.3036e+00 +1.9802e+00 +1.8448e+00 +1.4107e+00 +1.9815e+00 +5.8717e-01 -1.1802e+00 +1.5380e+00 -3.1243e+00 -4.6707e-01 -2.4177e+00 -1.3688e+00 -2.2197e+00 +2.1167e+00 -2.9966e+00 +1.5308e+00 +1.6117e+00
530 +6.164356298e+01 +6.164356298e+01 +4.470356298e+01 +4.470356298e+01 -3.3921e-01 +9.3501e-01 -1.1730e+00 +2.0299e+00 +1.9749e+00 +1.6503e+00 +1.9435e+00 +1.3334e+00 -1.7243e+00 -1.8523e+00 +2.0695e+00 -2.8024e+00 +1.0974e-01 -3.5765e+00 -6.1795e-01 -1.8189e+00 +2.0971e+00 -2.8529e+00 +1.2831e+00 +1.6923e+00
577 +4.605142389e+01 +4.605142389e+01 +2.911142389e+01 +2.911142389e+01 -1.2890e-01 +1.9714e+00 -1.7755e+00 +7.9856e-01 +2.5058e+00 +9.0962e-01 +2.0146e+00 +1.2977e+00 -8.3020e-02 -2.4617e+00 +1.3903e+00 -2.9782e+00 -1.7658e-01 -3.3072e+00 -7.9856e-01 -1.4309e+00 +2.0967e+00 -3.4303e+00 +1.2269e+00 +1.3174e+00
620 +4.317471323e+01 +4.317471323e+01 +2.623471323e+01 +2.623471323e+01 +1.6126e+00 +3.5833e-01 +1.3176e-01 +1.1579e+00 +4.0551e+00 +9.5821e-01 +2.6828e+00 +1.0685e+00 +9.3594e-02 -1.8230e+00 +2.0531e+00 -3.2449e+00 -6.4324e-01 -3.3649e+00 +3.0556e-01 -1.4018e+00 +1.5518e+00 -2.4103e+00 +7.0741e-01 +1.5428e+00
