% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.605689310e+04 +2.605689310e+04 +2.620604310e+04 +2.620604310e+04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
254 +2.029272690e+04 +2.029272690e+04 +2.044187690e+04 +2.044187690e+04 -2.6690e+00 -3.4234e+00 -1.3749e+00 -1.0875e+00 -1.6129e+00 -2.6751e+00 -3.6605e+00 -2.1351e+00 -8.5406e-01 +1.9477e+00 -8.8893e-01 -2.0331e+00 +3.1580e+00 -2.7075e+00 +4.0666e-01 +1.0956e+00 +1.4103e+00 +5.9113e-01 -4.0403e+00 -2.2641e-01
268 +1.953746131e+04 +1.953746131e+04 +1.968661131e+04 +1.968661131e+04 -2.4062e+00 -3.4064e+00 -1.2512e+00 -1.1307e+00 -1.5800e+00 -2.8223e+00 -3.5251e+00 -1.7163e+00 -5.3904e-01 +2.1248e+00 -1.0458e+00 -1.7249e+00 +3.8941e+00 -2.8515e+00 -3.7707e-01 +6.3489e-01 +1.1872e+00 +6.4848e-01 -3.4633e+00 -3.3868e-01
286 +1.805296577e+04 +1.805296577e+04 +1.820211577e+04 +1.820211577e+04 -2.6207e+00 -3.4255e+00 -1.2638e+00 -1.3442e+00 -1.7395e+00 -3.1811e+00 -3.8067e+00 -1.5533e+00 -8.7003e-01 +1.7135e+00 -9.2918e-01 -1.8257e+00 +3.0953e+00 -3.2425e+00 +2.2572e-01 +8.3956e-01 +9.3137e-01 +5.0134e-01 -3.9485e+00 -8.3242e-02
290 +1.388585922e+04 +1.388585922e+04 +1.403500922e+04 +1.403500922e+04 -2.3690e+00 -3.5986e+00 -1.8698e+00 -1.1976e+00 -1.9913e+00 -3.0266e+00 -3.4209e+00 -1.6037e+00 -1.8030e+00 +1.5333e+00 -1.0911e+00 -1.3624e+00 +3.1176e+00 -2.8786e+00 +2.3386e-02 +2.2686e-01 +1.0097e+00 +1.4295e-02 -4.1238e+00 -5.6192e-01
308 +1.338375942e+04 +1.338375942e+04 +1.353290942e+04 +1.353290942e+04 -2.2664e+00 -3.3587e+00 -1.2954e+00 -1.1481e+00 -2.4192e+00 -3.1187e+00 -3.5466e+00 -1.5554e+00 -1.1193e+00 +1.5387e+00 -9.4725e-01 -1.8064e+00 +3.1718e+00 -3.0240e+00 +5.1688e-02 +7.4071e-01 +1.0368e+00 +4.4998e-01 -3.9247e+00 -4.2861e-02
327 +1.257311371e+04 +1.257311371e+04 +1.272226371e+04 +1.272226371e+04 -2.4246e+00 -3.4260e+00 -1.3862e+00 -8.6096e-01 -2.8055e+00 -2.2084e+00 -3.2418e+00 -1.7391e+00 -1.0652e+00 +1.4596e+00 -9.6245e-01 -1.5542e+00 +3.1109e+00 -3.7512e+00 +1.7884e-01 +1.5953e-01 +1.1184e+00 +9.9292e-01 -4.5424e+00 -4.3533e-01
330 +1.221652622e+04 +1.221652622e+04 +1.236567622e+04 +1.236567622e+04 -2.1879e+00 -3.5057e+00 -1.2152e+00 -1.1915e+00 -2.7259e+00 -2.7589e+00 -3.4368e+00 -1.7648e+00 -1.2191e+00 +1.6859e+00 -1.0933e+00 -1.6195e+00 +3.3289e+00 -3.0214e+00 +8.7120e-02 -1.7780e-02 +7.5690e-01 +4.3720e-01 -3.8839e+00 -2.9269e-01
338 +1.024110608e+04 +1.024110608e+04 +1.039025608e+04 +1.039025608e+04 -2.3817e+00 -3.3241e+00 -1.0694e+00 -3.7591e-01 -2.7634e+00 -2.7522e+00 -3.4436e+00 -1.4254e+00 -1.4318e+00 +1.3033e+00 -1.0967e+00 -2.0870e+00 +2.9480e+00 -3.4483e+00 +2.8287e-01 -1.1463e-01 +3.5195e-02 +7.3199e-01 -3.3502e+00 -9.6235e-01
374 +8.417111262e+03 +8.417111262e+03 +8.566261262e+03 +8.566261262e+03 -1.8075e+00 -3.2070e+00 -9.9682e-01 -4.2752e-01 -2.7156e+00 -3.0604e+00 -3.2178e+00 -2.0257e+00 -9.3275e-01 +1.2483e+00 -9.5038e-01 -1.7227e+00 +3.1045e+00 -2.5697e+00 +1.3480e-01 -5.9702e-02 +7.8730e-01 +6.5851e-01 -3.6896e+00 -2.9789e-01
