% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.707168231e+01 +3.707168231e+01 +2.013168231e+01 +2.013168231e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
609 +3.584999560e+01 +3.584999560e+01 +1.890999560e+01 +1.890999560e+01 +5.7212e+00 -3.1419e+00 +3.1556e+00 +1.6079e-01 +1.3890e-01 -3.1316e-01 +4.2590e+00 +1.2042e+00 +7.5566e-01 +2.1655e-01 -4.2162e+00 +1.6347e+00 +1.0764e+00 +2.1028e+00 +2.2450e+00 -3.6239e+00 +2.1188e+00 -2.0804e+00 +2.2508e+00 +2.7918e+00
610 +3.295815903e+01 +3.295815903e+01 +1.601815903e+01 +1.601815903e+01 +5.1494e+00 -2.9357e+00 +3.3588e+00 +9.6099e-01 +1.6728e-01 +1.1565e-01 +4.6861e+00 +1.0589e+00 +1.4752e+00 -1.0635e+00 -4.0207e+00 +1.6459e+00 +9.2970e-01 +1.8026e+00 +1.9688e+00 -3.5656e+00 +2.8920e+00 -2.4173e+00 +1.9158e+00 +3.0567e+00
628 +3.151138872e+01 +3.151138872e+01 +1.457138872e+01 +1.457138872e+01 +5.4433e+00 -2.5604e+00 +3.6268e+00 +1.1039e+00 +6.3602e-01 +8.2568e-02 +4.6719e+00 +7.7450e-01 +5.9201e-01 -4.8782e-01 -3.5005e+00 +2.6415e+00 +1.0911e+00 +1.3471e+00 +2.1517e+00 -4.0083e+00 +2.9282e+00 -2.3880e+00 +2.1572e+00 +2.8332e+00
677 +2.706885629e+01 +2.706885629e+01 +1.012885629e+01 +1.012885629e+01 +4.9816e+00 -2.9585e+00 +3.2950e+00 +5.6858e-01 +2.3673e-01 +2.0607e-01 +4.6875e+00 +1.1886e+00 +1.2061e+00 -4.6665e-01 -3.4655e+00 +2.7227e+00 +3.5338e-01 +1.7416e+00 +2.1375e+00 -4.1494e+00 +2.5668e+00 -1.9675e+00 +2.0675e+00 +2.9581e+00
702 +2.686017089e+01 +2.686017089e+01 +9.920170891e+00 +9.920170891e+00 +4.9133e+00 -3.2046e+00 +3.2833e+00 +8.6340e-03 +8.6423e-01 -4.1753e-01 +4.6843e+00 +1.1810e+00 +1.0811e+00 -4.6134e-01 -3.5101e+00 +2.9663e+00 -5.1700e-01 +2.0247e+00 +2.3269e+00 -3.1039e+00 +2.3618e+00 -1.9470e+00 +2.2841e+00 +3.0907e+00
740 +2.493044528e+01 +2.493044528e+01 +7.990445281e+00 +7.990445281e+00 +4.8412e+00 -3.3134e+00 +2.8652e+00 +8.0537e-01 +5.9566e-01 -4.9137e-01 +3.9290e+00 +1.4489e+00 +1.2782e+00 -4.9097e-01 -2.7071e+00 +2.4843e+00 -8.1082e-01 +1.9044e+00 +2.0009e+00 -2.8687e+00 +2.9060e+00 -2.1697e+00 +1.7598e+00 +3.2764e+00
758 +2.258285586e+01 +2.258285586e+01 +5.642855858e+00 +5.642855858e+00 +4.5353e+00 -3.1154e+00 +3.0609e+00 +7.0429e-01 +5.2769e-01 -4.3959e-01 +4.2628e+00 +1.5403e+00 +1.0295e+00 -6.1445e-01 -2.5134e+00 +2.3997e+00 -7.3606e-02 +1.7661e+00 +1.7653e+00 -3.0875e+00 +3.9079e+00 -2.1222e+00 +2.9840e+00 +2.5566e+00
776 +2.168915162e+01 +2.168915162e+01 +4.749151622e+00 +4.749151622e+00 +4.8259e+00 -3.3506e+00 +3.4601e+00 +6.1255e-01 +7.1022e-01 +3.4858e-01 +3.2355e+00 +1.8727e+00 +1.6852e+00 -2.7086e-01 -1.7133e+00 +3.0608e+00 -3.7598e-01 +2.0160e+00 +1.6808e+00 -2.6164e+00 +3.4171e+00 -1.6378e+00 +1.5498e+00 +2.3974e+00
808 +1.809754096e+01 +1.809754096e+01 +1.157540958e+00 +1.157540958e+00 +5.3456e+00 -3.0639e+00 +3.0416e+00 +4.6543e-01 +1.0641e+00 +1.9455e-01 +3.6905e+00 +1.1016e+00 +1.5379e+00 -6.7102e-01 -2.1949e+00 +2.3621e+00 -1.5275e+00 +1.0571e+00 +1.7407e+00 -1.3224e+00 +2.9781e+00 -2.2775e+00 +1.2543e+00 +1.4345e+00
836 +1.652103563e+01 +1.652103563e+01 -4.189643654e-01 -4.189643654e-01 +4.9374e+00 -3.0550e+00 +3.1690e+00 +5.1108e-01 +6.7591e-01 -1.8888e-01 +4.3725e+00 +1.3206e+00 +9.9106e-01 -7.9083e-01 -2.1712e+00 +2.4204e+00 -1.4736e+00 +1.8173e+00 +2.1805e+00 -1.6644e+00 +3.1508e+00 -2.0220e+00 +1.5983e+00 +2.3700e+00
866 +1.545621166e+01 +1.545621166e+01 -1.483788341e+00 -1.483788341e+00 +3.6421e+00 -3.1506e+00 +2.8321e+00 +3.1491e-01 +4.6262e-01 -8.7065e-02 +4.0473e+00 +1.8256e+00 +9.3002e-01 -1.5385e+00 -1.7310e+00 +2.8204e+00 -1.3959e+00 +1.0083e+00 +2.3264e+00 -1.1536e+00 +2.6041e+00 -5.0008e-01 +1.9150e+00 +2.4795e+00
874 +1.488882096e+01 +1.488882096e+01 -2.051179037e+00 -2.051179037e+00 +4.2239e+00 -2.5964e+00 +3.1912e+00 +1.9125e-01 +1.2704e+00 -6.9004e-01 +4.3352e+00 +8.8925e-01 +7.4664e-01 -1.5029e+00 -1.3706e+00 +2.6235e+00 -1.3933e+00 +1.8641e+00 +2.7486e+00 +7.5282e-02 +3.2027e+00 -2.6768e+00 +1.4714e+00 +2.6820e+00
891 +1.345490980e+01 +1.345490980e+01 -3.485090196e+00 -3.485090196e+00 +3.2269e+00 -2.7129e+00 +3.0828e+00 +2.4455e-01 +5.7654e-01 +2.4333e-01 +5.0266e+00 +9.9099e-01 +1.1187e+00 -2.0088e+00 -9.2285e-01 +2.3320e+00 -1.3419e+00 +1.2891e+00 +2.3629e+00 -1.1806e+00 +2.4648e+00 -2.5771e+00 +1.5968e+00 +2.0283e+00
893 +1.074779152e+01 +1.074779152e+01 -6.192208481e+00 -6.192208481e+00 +3.4677e+00 -1.9383e+00 +2.5654e+00 +1.0528e-01 +1.6967e+00 -5.9796e-01 +4.5160e+00 +2.9009e-01 +2.9112e-01 -1.9448e+00 -1.4866e-02 +2.5238e+00 -1.7857e+00 +1.6184e+00 +2.3602e+00 -1.4403e+00 +3.1123e+00 -2.1279e+00 +1.1799e+00 +2.6728e+00
914 +9.187756339e+00 +9.187756339e+00 -7.752243661e+00 -7.752243661e+00 +3.9693e+00 -2.3835e+00 +2.9205e+00 +5.4306e-01 +3.6491e-01 +5.9384e-01 +4.7646e+00 +5.1840e-01 +1.2074e+00 -9.7619e-01 +2.1618e-01 +1.7479e+00 -1.8791e+00 +1.6061e+00 +2.9226e+00 +2.0019e-01 +3.7178e+00 -2.1153e+00 +1.7142e-01 +2.2959e+00
941 +8.786740488e+00 +8.786740488e+00 -8.153259512e+00 -8.153259512e+00 +3.2549e+00 -1.7842e+00 +2.6915e+00 +2.1802e-01 +9.9848e-01 -4.8213e-01 +3.5548e+00 +2.0862e-01 +1.1094e+00 -3.3058e+00 -9.5758e-01 +3.0711e+00 -2.1592e+00 -4.5597e-02 +1.3137e+00 +3.5450e-01 +3.4323e+00 -1.5755e+00 +2.2552e-01 +2.8825e+00
990 +7.715848659e+00 +7.715848659e+00 -9.224151341e+00 -9.224151341e+00 +3.7492e+00 -2.0165e+00 +2.8751e+00 +4.0393e-01 +1.1504e+00 +5.4653e-01 +4.4737e+00 +4.2522e-02 +9.8242e-01 -1.9699e+00 +3.9095e-01 +2.3993e+00 -1.7031e+00 -3.0714e-02 +2.1800e+00 +2.3362e+00 +4.0282e+00 -2.1414e+00 +7.7748e-01 +2.1712e+00
1042 +7.556268249e+00 +7.556268249e+00 -9.383731751e+00 -9.383731751e+00 +2.6111e+00 -1.3606e+00 +1.6907e+00 +1.0618e+00 +1.6933e+00 +7.2767e-01 +3.9183e+00 +2.2280e-01 +2.2604e+00 -2.8587e+00 +2.8313e+00 +2.2110e+00 -2.9502e+00 +2.8707e-01 +1.7076e+00 +2.4061e+00 +4.0011e+00 -2.7504e+00 +1.3045e+00 +2.7048e+00
1062 +7.212027716e+00 +7.212027716e+00 -9.727972284e+00 -9.727972284e+00 +4.2995e+00 -1.0150e+00 +2.2035e+00 +5.4208e-01 +2.1103e+00 +2.8718e-03 +3.4401e+00 -2.3357e-01 +9.4138e-01 -1.9594e+00 +2.5296e+00 +1.3992e+00 -1.2572e+00 +6.4412e-01 +1.4351e+00 +3.9564e+00 +3.9173e+00 -2.3652e+00 +1.2774e+00 +1.4279e+00
1104 +6.985557397e+00 +6.985557397e+00 -9.954442603e+00 -9.954442603e+00 +2.7345e+00 -6.4400e-01 +1.4763e+00 +8.2688e-01 +1.0050e+00 +1.1281e-01 +2.5431e+00 +4.9505e-01 +8.1574e-01 -1.6823e+00 +2.1835e+00 +1.5346e+00 -1.3373e+00 +3.4107e-01 +1.8353e+00 +4.3106e+00 +4.0248e+00 -2.6052e+00 +1.0184e+00 +2.3640e+00
1107 +6.579980922e+00 +6.579980922e+00 -1.036001908e+01 -1.036001908e+01 +3.1541e+00 -1.4364e+00 +2.3299e+00 +1.3819e+00 +1.0901e+00 -6.5054e-01 +3.8851e+00 +2.4324e-01 +5.6438e-01 -1.7917e+00 +1.8630e+00 +5.3566e-01 -2.1438e+00 +6.1538e-01 +2.2430e+00 +2.5275e+00 +4.9717e+00 -2.7827e+00 +1.5019e+00 +1.9298e+00
1142 +5.786276450e+00 +5.786276450e+00 -1.115372355e+01 -1.115372355e+01 +3.0673e+00 +8.9017e-03 +2.3486e+00 +1.6095e+00 +7.9880e-01 -9.9323e-01 +4.5520e+00 -8.7979e-01 +1.7293e+00 -2.1984e+00 +2.6766e+00 +4.3290e-01 -2.5039e+00 +6.9592e-02 +2.0939e+00 +4.9938e+00 +5.0066e+00 -3.4077e+00 +1.4469e+00 +2.7974e+00
