% function evaluation | noise-free fitness - Fopt (-1.694000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.707168231e+001 +3.707168231e+001 +2.013168231e+001 +2.013168231e+001 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
167 +3.615620538e+001 +3.615620538e+001 +1.921620538e+001 +1.921620538e+001 +2.1177e+000 -1.5740e+000 +1.3973e+000 -1.3077e+000 -2.3283e+000 +2.8280e+000 -2.2807e+000 +1.2637e+000 +3.1953e+000 -4.7990e+000 -7.1916e-001 +1.5059e-001 +4.7371e-001 -2.2724e+000 -1.0711e+000 +2.0984e+000 -5.3837e+000 -1.1489e+000 -1.2103e+000 -8.8029e-001
369 +3.488160539e+001 +3.488160539e+001 +1.794160539e+001 +1.794160539e+001 +1.6623e+000 -1.4977e+000 +1.4099e+000 -1.7382e+000 -2.1730e+000 +2.8652e+000 -2.7141e+000 +1.4014e+000 +3.2695e+000 -5.1654e+000 -9.6550e-001 -1.3662e-001 +4.8445e-001 -2.4948e+000 -9.9520e-001 +1.9899e+000 -5.2701e+000 -1.0654e+000 -1.1777e+000 -1.1240e+000
374 +3.263361431e+001 +3.263361431e+001 +1.569361431e+001 +1.569361431e+001 +1.6751e+000 -1.3498e+000 +1.2965e+000 -1.6355e+000 -2.1949e+000 +2.8684e+000 -2.6421e+000 +1.4442e+000 +3.2382e+000 -5.1192e+000 -8.6021e-001 -8.5157e-002 +5.0357e-001 -2.5630e+000 -9.6977e-001 +2.1581e+000 -5.3570e+000 -1.2072e+000 -1.0731e+000 -1.0846e+000
625 +3.227328825e+001 +3.227328825e+001 +1.533328825e+001 +1.533328825e+001 +1.8401e+000 -1.3033e+000 +1.3381e+000 -1.4401e+000 -2.0797e+000 +2.8125e+000 -2.8096e+000 +1.4931e+000 +3.1629e+000 -5.1550e+000 -1.2009e+000 -1.4660e-001 +4.5625e-001 -2.5761e+000 -9.0301e-001 +2.2770e+000 -5.2613e+000 -1.3291e+000 -1.1982e+000 -1.3530e+000
710 +3.104922070e+001 +3.104922070e+001 +1.410922070e+001 +1.410922070e+001 +1.6775e+000 -1.3713e+000 +1.2889e+000 -1.5222e+000 -1.9604e+000 +2.8959e+000 -2.8071e+000 +1.7355e+000 +3.2093e+000 -5.0717e+000 -1.3452e+000 -1.7044e-001 +3.2289e-001 -2.7573e+000 -1.0123e+000 +2.1671e+000 -5.1148e+000 -1.1284e+000 -1.1736e+000 -1.1692e+000
846 +3.062594175e+001 +3.062594175e+001 +1.368594175e+001 +1.368594175e+001 +1.8428e+000 -1.4835e+000 +1.3823e+000 -1.5910e+000 -2.0967e+000 +2.9041e+000 -2.7069e+000 +1.6744e+000 +3.3411e+000 -5.2238e+000 -1.1383e+000 -1.9841e-001 +3.1911e-001 -2.5743e+000 -1.0404e+000 +2.1667e+000 -5.2227e+000 -1.1943e+000 -1.2482e+000 -1.1780e+000
1066 +2.922541529e+001 +2.922541529e+001 +1.228541529e+001 +1.228541529e+001 +1.8040e+000 -1.5230e+000 +1.3517e+000 -1.5634e+000 -1.9777e+000 +2.9109e+000 -2.8203e+000 +1.5933e+000 +3.3027e+000 -5.0787e+000 -1.3505e+000 -1.8625e-002 +3.2798e-001 -2.6779e+000 -1.0585e+000 +2.0693e+000 -5.1700e+000 -1.1553e+000 -1.0996e+000 -1.1112e+000
1116 +2.816375343e+001 +2.816375343e+001 +1.122375343e+001 +1.122375343e+001 +1.7660e+000 -1.4905e+000 +1.3847e+000 -1.5394e+000 -1.9253e+000 +2.9978e+000 -2.7922e+000 +1.6097e+000 +3.2357e+000 -5.0739e+000 -1.4017e+000 -1.1201e-001 +2.4038e-001 -2.6542e+000 -1.0610e+000 +2.0409e+000 -5.2246e+000 -1.1129e+000 -1.1373e+000 -1.1336e+000
1196 +2.747138141e+001 +2.747138141e+001 +1.053138141e+001 +1.053138141e+001 +1.7265e+000 -1.5462e+000 +1.4134e+000 -1.5945e+000 -1.9872e+000 +2.9419e+000 -2.7561e+000 +1.6097e+000 +3.3706e+000 -5.0801e+000 -1.3125e+000 -7.9390e-002 +2.5797e-001 -2.7248e+000 -1.0559e+000 +2.1244e+000 -5.2974e+000 -1.1393e+000 -1.1399e+000 -1.1899e+000
