% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1479 +3.521517399e+00 +3.521517399e+00 -5.429784826e+02 -5.429784826e+02 +1.6955e+00 +1.8434e+00 +1.2041e+00 +2.0065e-01 -4.4309e-01 +6.1480e-01 -2.1015e+00 +3.0711e-01 -1.3955e+00 +6.8655e-01 +1.2540e+00 +1.3327e+00 +9.9961e-01 -1.6796e+00 +6.9754e-01 -1.7827e+00 +2.1925e+00 -1.9701e+00 -1.5210e+00 +1.6903e+00
1505 +3.426723386e+00 +3.426723386e+00 -5.430732766e+02 -5.430732766e+02 +2.2888e+00 +1.0629e+00 +1.4861e+00 +3.5252e-02 -1.8615e-01 +2.8639e-01 -2.6245e+00 +6.5095e-02 -1.1899e+00 +1.3443e+00 +1.3243e+00 +4.2605e-01 +1.1064e+00 -1.8723e+00 +5.6210e-01 -1.3993e+00 +2.3161e+00 -1.5408e+00 -1.2959e+00 +1.8449e+00
1754 +3.162425577e+00 +3.162425577e+00 -5.433375744e+02 -5.433375744e+02 +1.5557e+00 +1.2063e+00 +9.4437e-01 +4.0749e-01 -1.0516e-01 +5.9865e-02 -2.6818e+00 +1.6899e-01 -5.7662e-01 +1.3425e+00 +1.2617e+00 +1.8001e+00 +1.1931e+00 -1.8110e+00 +5.4521e-01 -1.4583e+00 +2.1748e+00 -1.6926e+00 -1.5692e+00 +1.8179e+00
2235 +3.098953105e+00 +3.098953105e+00 -5.434010469e+02 -5.434010469e+02 +1.4277e+00 +1.9283e+00 +1.0815e+00 +5.7813e-01 -1.3296e-02 +2.4232e-02 -2.5264e+00 +4.8087e-01 -1.9449e+00 +1.1800e+00 +8.9587e-01 +1.7921e+00 +2.0115e+00 -1.3223e+00 +5.9940e-01 -1.5008e+00 +9.1838e-01 -1.7244e+00 -1.1121e+00 +1.2399e+00
2251 +2.980498379e+00 +2.980498379e+00 -5.435195016e+02 -5.435195016e+02 +1.3704e+00 +1.8529e+00 +1.1824e+00 +6.8719e-01 +1.0921e-01 -4.6249e-02 -2.5326e+00 +6.0128e-01 -2.3752e+00 +1.1789e+00 +8.6528e-01 +2.1650e+00 +2.1334e+00 -1.3738e+00 +9.7767e-01 -1.3410e+00 +9.1755e-01 -1.7626e+00 -1.2534e+00 +1.1325e+00
2486 +2.885247720e+00 +2.885247720e+00 -5.436147523e+02 -5.436147523e+02 +1.6205e+00 +2.0023e+00 +9.4982e-01 +6.5775e-01 -9.0172e-02 -2.7306e-01 -2.6379e+00 +8.6999e-01 -2.2960e+00 +1.3533e+00 +9.8785e-01 +2.2294e+00 +2.0753e+00 -1.1118e+00 +7.6293e-01 -1.3614e+00 +1.0007e+00 -2.0568e+00 -1.1649e+00 +1.5382e+00
2596 +2.618026750e+00 +2.618026750e+00 -5.438819733e+02 -5.438819733e+02 +1.5409e+00 +2.0700e+00 +9.7507e-01 +6.3201e-01 +1.2504e-02 +4.7499e-02 -2.6126e+00 +8.4731e-01 -2.3082e+00 +1.3169e+00 +1.0102e+00 +2.3231e+00 +2.0311e+00 -9.0794e-01 +9.7704e-01 -1.3201e+00 +1.1719e+00 -1.9700e+00 -1.2030e+00 +1.3836e+00
2618 +2.499148410e+00 +2.499148410e+00 -5.440008516e+02 -5.440008516e+02 +1.5481e+00 +2.0617e+00 +8.8170e-01 +5.6271e-01 -1.0437e-01 +3.3234e-02 -2.6096e+00 +8.2848e-01 -2.2956e+00 +1.3752e+00 +1.0372e+00 +2.2976e+00 +2.0251e+00 -8.3893e-01 +9.5757e-01 -1.2981e+00 +1.0023e+00 -1.9800e+00 -1.1277e+00 +1.4331e+00
2684 +2.160944482e+00 +2.160944482e+00 -5.443390555e+02 -5.443390555e+02 +1.5929e+00 +1.9672e+00 +9.6646e-01 +6.3607e-01 -1.2286e-02 +1.6432e-01 -2.6834e+00 +8.3242e-01 -2.3526e+00 +1.4815e+00 +1.1048e+00 +2.3203e+00 +1.9594e+00 -9.0709e-01 +8.3073e-01 -1.2702e+00 +9.9352e-01 -1.9753e+00 -1.2148e+00 +1.1981e+00
2838 +2.084133405e+00 +2.084133405e+00 -5.444158666e+02 -5.444158666e+02 +1.5500e+00 +1.9021e+00 +6.9403e-01 +5.4727e-01 -2.0026e-02 +5.8209e-02 -2.7321e+00 +8.7127e-01 -2.4097e+00 +1.4075e+00 +1.2206e+00 +2.2405e+00 +2.0751e+00 -1.1256e+00 +8.5334e-01 -1.3123e+00 +9.6815e-01 -1.7376e+00 -9.7840e-01 +1.2386e+00
3058 +1.978638168e+00 +1.978638168e+00 -5.445213618e+02 -5.445213618e+02 +1.4755e+00 +1.9194e+00 +5.8706e-01 +5.0116e-01 -5.9498e-02 -5.5150e-02 -2.6650e+00 +6.8264e-01 -2.4542e+00 +1.4267e+00 +1.2521e+00 +2.2969e+00 +2.0312e+00 -1.1414e+00 +8.0428e-01 -1.2759e+00 +9.3202e-01 -1.7421e+00 -9.5054e-01 +1.2448e+00
3212 +1.945051841e+00 +1.945051841e+00 -5.445549482e+02 -5.445549482e+02 +1.4585e+00 +1.8917e+00 +5.7793e-01 +5.4039e-01 -1.4170e-01 -6.9189e-02 -2.6095e+00 +5.9994e-01 -2.4867e+00 +1.3929e+00 +1.3773e+00 +2.2981e+00 +2.1037e+00 -1.0843e+00 +8.3254e-01 -1.3175e+00 +9.1987e-01 -1.7762e+00 -9.5830e-01 +1.2776e+00
3278 +1.888616060e+00 +1.888616060e+00 -5.446113839e+02 -5.446113839e+02 +1.5017e+00 +1.9470e+00 +5.8024e-01 +5.2410e-01 -7.7536e-02 -5.7498e-02 -2.6574e+00 +5.9984e-01 -2.4819e+00 +1.3681e+00 +1.3166e+00 +2.2748e+00 +2.0596e+00 -1.0746e+00 +7.8644e-01 -1.3634e+00 +9.4202e-01 -1.7916e+00 -9.7376e-01 +1.2527e+00
3564 +1.854601234e+00 +1.854601234e+00 -5.446453988e+02 -5.446453988e+02 +1.4459e+00 +1.9381e+00 +6.1277e-01 +5.1768e-01 -8.7482e-02 +1.3054e-02 -2.6623e+00 +6.1094e-01 -2.4916e+00 +1.3928e+00 +1.3469e+00 +2.2974e+00 +2.0555e+00 -1.1736e+00 +7.8858e-01 -1.3384e+00 +9.1649e-01 -1.7322e+00 -9.9951e-01 +1.2378e+00
3784 +1.818527564e+00 +1.818527564e+00 -5.446814724e+02 -5.446814724e+02 +1.4630e+00 +1.9356e+00 +5.8133e-01 +5.0718e-01 -9.3963e-02 +5.5494e-03 -2.6336e+00 +6.0728e-01 -2.4812e+00 +1.3973e+00 +1.3103e+00 +2.3268e+00 +2.0564e+00 -1.1083e+00 +7.8902e-01 -1.3516e+00 +9.2136e-01 -1.7578e+00 -9.9465e-01 +1.2311e+00
4620 +1.778251683e+00 +1.778251683e+00 -5.447217483e+02 -5.447217483e+02 +1.5135e+00 +1.9810e+00 +5.5681e-01 +5.2556e-01 -8.3480e-02 +1.5417e-02 -2.6317e+00 +6.1621e-01 -2.4779e+00 +1.3832e+00 +1.3149e+00 +2.3058e+00 +2.0539e+00 -1.1011e+00 +8.0635e-01 -1.3318e+00 +9.2331e-01 -1.7663e+00 -9.7755e-01 +1.2439e+00
43308 +1.720583955e+00 +1.720583955e+00 -5.447794160e+02 -5.447794160e+02 +5.9946e-01 -6.0636e-01 +5.2263e-01 -1.5520e+00 -5.3610e-01 -1.5287e-01 -1.8712e+00 +1.4892e+00 -3.7912e-02 +5.6515e-01 +4.9277e-01 +2.4884e+00 +1.4552e+00 -6.2244e-01 +1.7341e+00 -1.4651e+00 +8.8959e-01 -2.3925e+00 -2.0216e+00 +2.1232e+00
43352 +1.690781245e+00 +1.690781245e+00 -5.448092188e+02 -5.448092188e+02 +5.6879e-01 -5.9775e-01 +4.7887e-01 -1.5489e+00 -5.7380e-01 -1.1506e-01 -1.8691e+00 +1.4966e+00 -7.4546e-02 +5.4264e-01 +5.1754e-01 +2.5105e+00 +1.4645e+00 -6.0159e-01 +1.7367e+00 -1.4656e+00 +8.9407e-01 -2.3780e+00 -2.0232e+00 +2.1306e+00
43484 +1.656988473e+00 +1.656988473e+00 -5.448430115e+02 -5.448430115e+02 +6.0462e-01 -5.6204e-01 +4.1672e-01 -1.5807e+00 -5.2579e-01 -1.1929e-01 -1.8264e+00 +1.4441e+00 -5.3418e-02 +5.4457e-01 +4.9850e-01 +2.5220e+00 +1.4742e+00 -6.3311e-01 +1.7042e+00 -1.5215e+00 +8.8812e-01 -2.4056e+00 -2.0356e+00 +2.1153e+00
43594 +1.619017059e+00 +1.619017059e+00 -5.448809829e+02 -5.448809829e+02 +6.4907e-01 -5.5611e-01 +4.1661e-01 -1.6076e+00 -5.4805e-01 -9.8075e-02 -1.8730e+00 +1.4415e+00 -4.5660e-02 +5.0878e-01 +5.4307e-01 +2.5130e+00 +1.4873e+00 -6.2188e-01 +1.7242e+00 -1.4987e+00 +8.9503e-01 -2.4186e+00 -2.0283e+00 +2.1200e+00
43814 +1.584140320e+00 +1.584140320e+00 -5.449158597e+02 -5.449158597e+02 +6.2971e-01 -6.1791e-01 +4.1753e-01 -1.6012e+00 -5.9095e-01 -1.0477e-01 -1.8680e+00 +1.4439e+00 -5.9049e-02 +5.2400e-01 +5.0962e-01 +2.5039e+00 +1.4945e+00 -6.0739e-01 +1.7181e+00 -1.4879e+00 +8.8913e-01 -2.4070e+00 -2.0357e+00 +2.1344e+00
49118 +1.542262710e+00 +1.542262710e+00 -5.449577373e+02 -5.449577373e+02 -2.0189e+00 -1.2664e+00 +2.9547e+00 -9.7621e-01 -4.8197e-01 -8.4263e-01 -2.3677e+00 +1.3212e+00 -2.2858e+00 +2.0528e+00 +1.7260e-01 +2.5837e+00 +2.3256e-01 -2.5643e+00 +1.1791e+00 -1.2660e+00 +9.4134e-01 -1.4187e+00 -1.5962e+00 +1.0909e+00
49188 +1.498573031e+00 +1.498573031e+00 -5.450014270e+02 -5.450014270e+02 -2.0720e+00 -1.3337e+00 +2.9240e+00 -9.3259e-01 -4.9825e-01 -7.3718e-01 -2.4354e+00 +1.2847e+00 -2.2631e+00 +2.0305e+00 +1.2945e-01 +2.5843e+00 +2.3900e-01 -2.5639e+00 +1.2142e+00 -1.2192e+00 +9.2382e-01 -1.4234e+00 -1.5699e+00 +1.0958e+00
49294 +1.458501320e+00 +1.458501320e+00 -5.450414987e+02 -5.450414987e+02 -2.0947e+00 -1.3004e+00 +2.9139e+00 -9.7059e-01 -4.6184e-01 -7.5560e-01 -2.4385e+00 +1.3272e+00 -2.3001e+00 +2.0321e+00 +1.4333e-01 +2.5934e+00 +2.4297e-01 -2.5382e+00 +1.2126e+00 -1.2592e+00 +9.4941e-01 -1.4272e+00 -1.5662e+00 +1.0960e+00
49360 +1.437867902e+00 +1.437867902e+00 -5.450621321e+02 -5.450621321e+02 -2.0793e+00 -1.3143e+00 +2.9394e+00 -9.3856e-01 -4.5086e-01 -7.5946e-01 -2.4281e+00 +1.3284e+00 -2.3233e+00 +2.0536e+00 +1.2435e-01 +2.5958e+00 +2.3059e-01 -2.5533e+00 +1.2222e+00 -1.2057e+00 +9.6181e-01 -1.4066e+00 -1.5391e+00 +1.1013e+00
49624 +1.407643055e+00 +1.407643055e+00 -5.450923569e+02 -5.450923569e+02 -2.1019e+00 -1.3141e+00 +2.9366e+00 -9.5769e-01 -4.5188e-01 -7.5648e-01 -2.4385e+00 +1.3106e+00 -2.3079e+00 +2.0565e+00 +1.5252e-01 +2.5757e+00 +2.3551e-01 -2.5723e+00 +1.2287e+00 -1.2282e+00 +9.4810e-01 -1.4220e+00 -1.5311e+00 +1.1068e+00
142074 +1.376315281e+00 +1.376315281e+00 -5.451236847e+02 -5.451236847e+02 -2.1675e+00 +4.1051e-01 +2.5334e+00 +9.9895e-01 +2.8683e+00 +1.1751e-02 -1.8395e+00 +3.9706e-01 -1.8706e+00 +5.7129e-01 +5.1102e-01 +2.5143e+00 +2.0072e+00 -2.1325e+00 +2.0852e+00 -2.1056e+00 +7.3864e-01 -2.4345e+00 -1.1108e+00 +1.4925e+00
142252 +1.340688759e+00 +1.340688759e+00 -5.451593112e+02 -5.451593112e+02 -2.1165e+00 +4.5273e-01 +2.5207e+00 +1.0089e+00 +2.8616e+00 +4.0797e-02 -1.8593e+00 +3.8343e-01 -1.8596e+00 +5.9063e-01 +5.1459e-01 +2.5031e+00 +1.9964e+00 -2.1198e+00 +2.0964e+00 -2.1037e+00 +7.3446e-01 -2.4493e+00 -1.1017e+00 +1.4967e+00
142910 +1.318074298e+00 +1.318074298e+00 -5.451819257e+02 -5.451819257e+02 -2.0948e+00 +4.3708e-01 +2.5253e+00 +1.0010e+00 +2.8730e+00 +9.6701e-02 -1.8810e+00 +3.6595e-01 -1.8703e+00 +5.8715e-01 +5.0657e-01 +2.5082e+00 +2.0008e+00 -2.1313e+00 +2.0977e+00 -2.1045e+00 +7.3199e-01 -2.4473e+00 -1.0980e+00 +1.4924e+00
307826 +1.287023784e+00 +1.287023784e+00 -5.452129762e+02 -5.452129762e+02 +1.5096e+00 -3.7746e-01 +1.7551e+00 +8.3961e-01 +1.9918e+00 +5.4905e-01 -2.0237e+00 -2.4037e-01 -2.0239e+00 +2.6308e-02 +2.6296e+00 +5.7547e-01 +2.4885e+00 -3.6360e-01 +2.0742e+00 -2.1128e+00 +7.3285e-01 -2.4455e+00 -8.0611e-01 +1.2866e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
